chr	start	end	8Cell_siTfap2c_Klf5_ds
chr2	13672921	13673148	11.869426076107613
chr2	13746650	13746948	9.66851102745773
chr2	13912138	13913185	11.09316008821941
chr2	13960289	13960664	11.019066206614177
chr2	14295595	14295818	14.511736703025921
chr2	15054748	15055112	17.300258484515513
chr2	15386194	15386543	8.879079703956757
chr2	15452368	15452683	9.944947516728961
chr2	15510192	15510454	11.78678981766446
chr2	17846305	17846635	13.272206003015691
chr2	17883418	17883858	18.70697588487105
chr2	17934590	17934895	18.882954112818982
chr2	17942322	17942723	25.461302127029533
chr2	17943322	17943843	18.83868224515567
chr2	17953677	17954837	22.822391265014122
chr2	17977977	17978250	40.06813405634283
chr2	17978503	17978786	56.641273741166074
chr2	17985533	17985798	21.934339134648162
chr2	18027305	18028025	22.547071470154656
chr2	18056180	18056567	15.557557749193768
chr2	18064767	18065153	17.449722677932503
chr2	18075308	18076239	14.404932297646168
chr2	18085910	18086150	12.227152049541473
chr2	18111898	18112392	18.355314663064625
chr2	18135673	18135927	9.49190819545055
chr2	18191107	18191712	15.573228287499798
chr2	18210288	18210565	22.536988038018293
chr2	18321200	18321513	10.06056331597959
chr2	18672047	18672339	11.389670269130027
chr2	18726212	18726856	21.26850162085539
chr2	18972095	18973056	20.54137375649999
chr2	18977685	18977932	17.699102672005473
chr2	19028400	19028659	8.860769467004017
chr2	19238736	19238988	10.833725645428611
chr2	19414620	19415254	21.574307098749685
chr2	19657390	19657977	19.18700339725111
chr2	19715831	19716146	10.096225463019477
chr2	19726692	19727305	12.567257870274306
chr2	19909471	19909817	16.62725103245994
chr2	19910157	19910385	8.308195358828494
chr2	19913878	19914394	13.524972582972326
chr2	19919356	19919609	11.375817347892188
chr2	20235336	20235600	18.609107888106145
chr2	20426648	20426938	12.20336869338463
chr2	20433259	20433583	10.657623239505439
chr2	20462875	20463253	12.172410228265026
chr2	20494045	20494677	20.362703700608844
chr2	20500563	20501684	23.54646735442312
chr2	20516697	20517022	23.809904896662786
chr2	20526077	20527131	27.532353312512278
chr2	20547420	20547788	11.963042903205622
chr2	20668081	20668412	17.26520859871026
chr2	20768818	20769276	13.697525363822171
chr2	20813818	20814209	16.278812913333667
chr2	20848095	20849072	10.53184991385578
chr2	20880783	20881228	11.351418676269189
chr2	20929937	20930203	14.021026912488436
chr2	20969381	20969628	17.49347883680089
chr2	20982717	20983232	13.414867319644076
chr2	20991838	20992310	24.69208119279247
chr2	21205061	21205980	30.959342755223254
chr2	21261414	21262013	13.494297521938266
chr2	21280802	21281210	12.30091655254364
chr2	22587287	22587862	287.17568113907527
chr2	22588841	22589355	125.03575573635473
chr2	22590066	22590580	178.53608543840363
chr2	22739273	22739819	204.21068409423688
chr2	22744916	22745215	25.272162957335
chr2	22795320	22795576	11.65399906411767
chr2	22795895	22796259	14.594024228525686
chr2	22941684	22941994	14.261979632223806
chr2	22967486	22967873	11.05003862233125
chr2	23007566	23008002	14.728091034320517
chr2	23039907	23040507	19.34085269610087
chr2	23067916	23069623	16.41086306066351
chr2	23077088	23078182	15.88847732151666
chr2	23085948	23087343	19.890218929577898
chr2	23155377	23155861	14.898522061749924
chr2	23156123	23156548	26.497695171131806
chr2	23193092	23193314	16.797153012172597
chr2	23235228	23235754	29.798386249252147
chr2	23321158	23321567	13.63683225589743
chr2	23489177	23489448	11.425426333592826
chr2	23684040	23684674	13.33879481655566
chr2	24065687	24066195	8.943865318936625
chr2	24385532	24385787	11.318553591709511
chr2	24409152	24409446	11.71741534576935
chr2	24485663	24485897	15.193498766320383
chr2	24490499	24490757	13.911389709443085
chr2	24593862	24594090	10.524810625795732
chr2	24621155	24622063	20.49873914697622
chr2	24755280	24755757	11.74800108663691
chr2	24805301	24805972	16.25614276976948
chr2	24922168	24923716	29.319886063420494
chr2	24934794	24935170	18.95441898640166
chr2	24935454	24935863	32.831092130292596
chr2	24940966	24941195	23.34535489644546
chr2	24941643	24941963	21.865832269191742
chr2	24957263	24957661	18.42501632652091
chr2	24964816	24965047	19.79632870562665
chr2	24966542	24967063	15.164341309706675
chr2	24975173	24975732	16.170509014232
chr2	24991166	24992309	21.710275819399644
chr2	25035701	25036174	12.075358831353217
chr2	25055642	25055864	16.158813566774935
chr2	25070149	25070519	23.961149117753312
chr2	25140114	25140391	13.753992318246338
chr2	25147810	25148541	17.08687768328206
chr2	25150788	25151013	18.62429453108046
chr2	25193342	25193808	14.87252765561378
chr2	25224362	25224787	31.103807251874137
chr2	25225039	25225365	21.651885383699568
chr2	25258568	25259298	29.118403854108838
chr2	25261983	25262420	29.700149575414592
chr2	25271937	25272232	18.209474663815257
chr2	25276994	25277238	21.105832287522613
chr2	25293087	25293311	21.29393851331302
chr2	25356036	25356358	31.48408895990123
chr2	25371414	25372347	25.696264187239375
chr2	25390079	25390793	27.9372307419443
chr2	25400779	25401056	18.908353203040168
chr2	25402610	25403065	20.25800110743596
chr2	25408256	25408697	15.186710798821482
chr2	25427981	25428231	11.133607341766357
chr2	25445391	25445627	4.561931060532392
chr2	25456453	25456748	29.81277011289435
chr2	25460648	25460941	13.85465760279841
chr2	25546614	25546889	14.321435692527077
chr2	25551838	25552435	15.977274297270144
chr2	25552896	25553246	19.146012543269567
chr2	25579780	25580035	14.741439333149032
chr2	25612007	25612295	11.685030609369278
chr2	25612998	25613293	15.254976156202414
chr2	25621091	25621812	10.55434206686139
chr2	25804788	25805043	5.702324814889945
chr2	25819869	25820450	15.728711730641875
chr2	25835082	25836668	24.156199950738934
chr2	25847131	25847418	12.984186248912213
chr2	25865738	25866380	10.613664478527793
chr2	25923431	25924012	17.305476433233633
chr2	25951704	25952077	15.137880013391735
chr2	25959714	25960362	16.703467452967608
chr2	25983405	25984141	21.452890589185383
chr2	26021339	26021584	15.294499658078564
chr2	26042536	26043402	13.487007828287384
chr2	26055073	26055339	12.891900535812951
chr2	26077389	26078281	13.476299375696566
chr2	26083953	26084360	13.799357140093528
chr2	26100564	26100976	30.24065435742869
chr2	26105997	26107311	24.744433866788263
chr2	26124434	26124882	25.145718059369496
chr2	26125581	26126163	21.99895629194594
chr2	26126487	26127104	32.09455099677731
chr2	26153628	26154329	11.604142665863037
chr2	26174013	26174747	12.429612854845843
chr2	26237718	26238125	29.65852407506994
chr2	26312082	26313237	15.382676564253769
chr2	26325401	26326201	14.260300306081772
chr2	26351602	26352019	12.044449867962076
chr2	26380195	26380638	22.394864560249967
chr2	26389933	26390170	18.644310854658297
chr2	26444818	26445223	22.50663697042583
chr2	26445459	26446093	33.810347617236594
chr2	26449720	26450419	18.069145837055256
chr2	26458308	26459168	34.02384821536929
chr2	26503526	26504165	16.37450644593097
chr2	26569798	26570169	16.123709462723642
chr2	26585969	26586853	16.597230187908018
chr2	26594073	26594635	20.263666673911423
chr2	26610983	26611591	24.871980789460633
chr2	26625209	26625495	18.401004577850127
chr2	26857682	26858137	31.922192734938402
chr2	26868188	26868427	14.07807727239122
chr2	26900504	26900730	22.600936914967225
chr2	26910239	26910564	22.305029109074518
chr2	26913912	26914569	24.872322059294586
chr2	26921748	26922213	45.430912782812634
chr2	26929718	26930853	31.046151286389858
chr2	26967247	26967702	25.617410588526464
chr2	27009768	27010094	12.961889648730038
chr2	27280735	27281406	13.716231505312969
chr2	27289174	27289406	15.594762676748736
chr2	27387164	27387390	11.830394993841121
chr2	27400053	27401385	23.78913277691907
chr2	27426760	27427369	15.60787845088539
chr2	27427954	27428249	22.27135468499135
chr2	27438028	27438920	24.84303146868009
chr2	27462494	27462731	13.81060773310279
chr2	27486697	27486946	26.49405009871027
chr2	27493902	27494458	27.90748991040017
chr2	27505307	27506276	32.65619911670193
chr2	27511966	27512223	49.501456234705586
chr2	27549575	27549844	25.559183219994754
chr2	27550075	27550912	28.63452280379538
chr2	27552559	27553050	30.17422320643656
chr2	27585213	27585501	13.655379398001564
chr2	27613376	27614723	19.296055244355177
chr2	27630825	27632673	25.849232225783535
chr2	27662063	27663421	35.67441375125666
chr2	27668992	27669280	22.71906892127461
chr2	27676257	27676729	19.50312564130557
chr2	27764897	27765149	16.484506694097366
chr2	27790887	27791332	21.64181428116359
chr2	27791590	27792019	24.213132422565025
chr2	27792805	27793205	20.190477514266966
chr2	28032589	28032842	17.048857255415484
chr2	28075326	28076085	15.221459476687063
chr2	28204037	28204860	20.826193345998067
chr2	28245376	28245834	9.855926034752459
chr2	28279799	28280021	16.421490927000303
chr2	28281096	28281321	18.994943983289932
chr2	28281740	28282116	23.045139594280972
chr2	28288027	28289144	18.71781052834452
chr2	28320130	28321009	12.92374340150679
chr2	28369973	28370322	10.307423199486937
chr2	28383945	28384387	13.539381074689633
chr2	28410623	28411225	14.265533429839682
chr2	28418253	28418491	15.480864741221195
chr2	28423429	28423818	21.676966777497515
chr2	28428639	28429856	26.217918686721788
chr2	28430556	28431210	23.876174113072388
chr2	28447882	28448369	18.93073539126825
chr2	28449154	28449421	16.8923331628578
chr2	28457528	28458141	17.602966722423062
chr2	28469465	28469840	20.366050796508787
chr2	28512566	28513086	18.977400673352754
chr2	28513766	28514134	24.594012110129647
chr2	28514416	28514902	25.407739040782914
chr2	28517439	28517796	19.957916267779694
chr2	28523417	28523784	14.63703637032158
chr2	28582434	28582722	16.16569482286771
chr2	28607183	28608081	15.33647924223562
chr2	28640019	28640303	21.23963691483081
chr2	28640565	28641030	15.500533724343905
chr2	28660480	28661543	22.947174090208698
chr2	28688452	28688845	10.63882691744933
chr2	28697034	28697281	14.287222097759788
chr2	28755446	28756350	12.628057615419404
chr2	28790183	28790642	20.2180639175548
chr2	28815765	28816463	19.706640855630695
chr2	28840350	28840927	24.54449876920809
chr2	28923602	28923941	11.856297076627568
chr2	28935836	28936325	23.736223275432312
chr2	28971239	28971684	21.98139124238089
chr2	28972623	28973319	23.958806780563005
chr2	28973674	28974012	15.32150050168912
chr2	28988573	28989197	15.83560788937104
chr2	28989547	28989769	14.596888202804703
chr2	29014903	29015187	23.895703070600266
chr2	29031471	29032178	15.725498287141576
chr2	29036926	29037350	13.461981649668711
chr2	29053666	29054526	18.358958410662275
chr2	29062058	29062656	32.59943782525716
chr2	29096377	29096728	19.848910016551656
chr2	29097777	29098198	32.80232707225229
chr2	29103238	29103472	38.87607774979029
chr2	29109236	29110332	23.428505387619463
chr2	29112690	29113503	22.287834643731113
chr2	29119000	29119314	17.463070255935573
chr2	29136780	29137230	27.143577766418456
chr2	29142044	29142277	20.651725212391867
chr2	29142601	29142984	27.839945974922678
chr2	29169268	29169537	21.85059736032025
chr2	29174136	29174433	15.490040021311955
chr2	29211916	29212441	15.574310028439477
chr2	29224279	29224573	16.691029834098558
chr2	29237577	29238087	16.098767932256063
chr2	29272886	29273204	12.26460780737535
chr2	29340428	29340821	29.318999322012786
chr2	29341076	29341319	30.368529488520366
chr2	29345090	29345388	31.423214835608565
chr2	29437459	29437687	13.219949726472821
chr2	29437911	29438145	15.121159753228865
chr2	29461654	29461982	13.320633542246934
chr2	29502377	29503039	17.60807706942371
chr2	29575928	29576558	16.199360166655648
chr2	29584183	29584504	16.175898299410335
chr2	29595537	29595882	10.521424827022829
chr2	29707784	29708413	16.67270508176382
chr2	29770434	29770660	13.373023121757845
chr2	29787457	29788154	22.287125382225003
chr2	29809930	29810345	16.023348061435193
chr2	29817820	29818140	22.58299532532692
chr2	29827401	29827896	22.20712670605592
chr2	29843624	29843863	14.14103948122288
chr2	29868927	29869365	15.164768608737754
chr2	29889285	29889618	20.242057273337792
chr2	29893909	29894208	19.003923113130806
chr2	29910301	29910954	13.075521149277504
chr2	29953142	29953573	15.111352250083693
chr2	29961514	29961741	24.44601185836456
chr2	29971565	29971839	26.468119509898834
chr2	29972709	29973107	20.627506050033187
chr2	29979206	29979811	22.934906521316403
chr2	29986391	29986640	22.746953022049134
chr2	30002247	30002523	16.518695351870164
chr2	30010986	30011222	13.728327543048536
chr2	30013451	30013858	16.057913827076003
chr2	30018359	30018611	18.23870339090862
chr2	30030489	30031059	15.352414935931824
chr2	30042488	30043303	26.842401665997652
chr2	30059911	30060225	23.02848617286439
chr2	30066668	30066969	42.84242026988058
chr2	30076872	30077304	29.376225374363088
chr2	30106600	30106853	11.960702651103023
chr2	30128773	30129536	28.29539355381757
chr2	30133065	30134036	34.1749259563725
chr2	30157001	30158007	31.912628424096535
chr2	30168715	30169390	18.346536954243977
chr2	30178595	30178868	18.884503458882428
chr2	30183523	30184646	24.90266551020309
chr2	30205685	30206214	16.59801086360881
chr2	30215044	30215354	17.016867637634277
chr2	30216462	30217152	22.481416962112206
chr2	30237257	30237493	9.6818192833561
chr2	30272005	30272796	21.047231943055742
chr2	30285962	30286834	19.29349723321582
chr2	30301998	30302835	19.894269111478344
chr2	30319940	30320182	16.70448137708932
chr2	30330615	30330970	15.00464783252125
chr2	30362668	30363024	16.183106331343062
chr2	30363830	30364086	19.876482482999563
chr2	30379359	30379608	14.389042218526205
chr2	30392454	30392936	19.84780876468326
chr2	30415696	30416034	24.07214012371718
chr2	30423731	30424279	18.856773724521165
chr2	30436019	30436381	9.47997896710812
chr2	30441360	30441617	11.093846881436003
chr2	30472889	30473122	23.76267659919968
chr2	30494512	30494843	15.861482369575615
chr2	30495956	30496620	17.198086121714258
chr2	30545272	30545614	13.767231575926843
chr2	30550248	30550986	14.352946187099468
chr2	30577120	30577586	10.453698271845543
chr2	30677941	30678765	14.258918824705106
chr2	30690513	30691190	19.312074520387185
chr2	30699566	30700253	19.058347187014473
chr2	30718309	30718873	12.177133296398406
chr2	30728592	30728836	39.906567245233255
chr2	30747250	30747867	25.903487794403127
chr2	30757195	30757473	13.68872101872945
chr2	30775807	30776523	11.989819026526126
chr2	30783184	30783730	17.717712646875626
chr2	30794603	30795172	28.1591938652347
chr2	30806941	30808236	26.525203251930737
chr2	30820501	30820768	19.139793446001487
chr2	30828055	30828278	14.652328012235497
chr2	30873507	30873757	10.43634716796875
chr2	30891267	30891573	18.85403682359683
chr2	30893542	30894034	21.74351751125925
chr2	30905444	30907215	17.107544319945337
chr2	30913100	30913941	19.684820799992004
chr2	30928443	30929685	25.179276027925155
chr2	30929912	30930186	19.499821206949054
chr2	30938727	30939040	22.03030101178934
chr2	30968297	30968643	19.668187673381297
chr2	30981745	30982652	19.810649411286644
chr2	30985155	30985521	22.982671190480715
chr2	31007544	31007847	11.439725941950732
chr2	31025522	31025780	9.03608554832695
chr2	31060349	31060983	14.412864817429792
chr2	31094187	31095631	15.705791314883246
chr2	31150791	31151362	12.79653441133516
chr2	31161963	31162251	21.754577173127068
chr2	31162575	31162803	29.242301188017194
chr2	31163670	31164009	31.41271081434942
chr2	31176284	31176664	18.31432826644496
chr2	31224127	31224945	14.864062508627372
chr2	31237997	31239394	17.69652248333417
chr2	31239651	31240045	14.57295578990491
chr2	31255064	31255498	14.742501608237692
chr2	31446080	31446593	18.801217066149498
chr2	31471972	31472797	17.784951556812633
chr2	31474191	31474480	13.523540939014262
chr2	31483155	31483378	15.377774717561866
chr2	31555647	31556548	19.241081255786824
chr2	31572251	31573013	22.709794054506958
chr2	31601391	31601672	10.543529866853218
chr2	31616908	31617328	15.922156072798229
chr2	31637688	31638143	14.153038303668682
chr2	31670708	31671121	15.964295583544862
chr2	31700444	31700721	12.991140355271984
chr2	31707337	31707887	20.394543800354004
chr2	31725392	31725761	23.290304411394487
chr2	31726029	31726314	20.797701357122055
chr2	31736301	31736688	25.068355259661217
chr2	31759063	31759341	22.46267648738065
chr2	31766593	31766875	14.715262683570808
chr2	31772108	31773006	21.4985896479048
chr2	31773286	31773603	24.15560936551741
chr2	31778917	31779180	21.00443710211112
chr2	31779409	31779650	17.486703326593297
chr2	31785005	31785239	14.925545839162973
chr2	31793323	31793976	16.5611658140127
chr2	31815189	31815609	14.480000911440168
chr2	31847807	31848766	24.98718549014381
chr2	31929148	31929573	13.226724394629983
chr2	32003578	32003836	12.630576625350834
chr2	32072824	32073144	9.427057357132435
chr2	32134298	32134646	27.726405280759966
chr2	32137711	32137979	24.613405547924895
chr2	32146789	32147183	22.802360684738545
chr2	32161279	32161528	13.454767916575971
chr2	32175511	32176189	16.27142852597532
chr2	32192342	32192598	9.398147691041231
chr2	32226236	32226464	12.238139848960074
chr2	32260278	32260833	17.781753631110664
chr2	32288260	32288621	15.696665246070587
chr2	32311164	32311507	11.708883859673325
chr2	32363108	32363784	17.481799393715942
chr2	32372342	32372570	10.087541716140613
chr2	32381477	32381865	19.544687644722536
chr2	32395669	32396143	36.6880652592655
chr2	32404900	32405354	17.90359858164178
chr2	32412463	32412740	17.504866328050085
chr2	32423722	32424060	21.927630102846045
chr2	32424346	32424789	18.850625750711757
chr2	32425416	32425673	18.27424530296474
chr2	32451583	32452009	49.82119456815048
chr2	32471111	32472138	24.771175876680577
chr2	32480454	32481330	17.07663249316281
chr2	32487258	32488795	34.73610300201833
chr2	32497865	32498129	9.856773138046265
chr2	32505583	32506186	17.667152570847847
chr2	32534747	32535164	24.800150427601036
chr2	32554220	32554522	16.242662935067486
chr2	32570555	32571342	20.976528265879146
chr2	32587127	32587353	16.591416616355424
chr2	32602755	32603033	26.795526648596894
chr2	32604943	32605278	17.695438180040956
chr2	32606634	32606894	24.873939007979175
chr2	32612126	32612724	16.851248631110558
chr2	32629579	32629890	12.159618702732098
chr2	32641567	32641921	13.877994176358152
chr2	32652908	32653742	14.425531676633181
chr2	32694224	32694969	25.403689532952022
chr2	32713426	32713838	36.38161699517259
chr2	32727531	32728233	26.65517337098081
chr2	32756350	32757697	26.699424504348766
chr2	32758668	32759031	29.360010042006646
chr2	32759798	32760225	25.946255708466648
chr2	32768938	32769208	18.520711580912273
chr2	32771519	32771953	28.61525912218929
chr2	32775477	32775708	35.45588978854093
chr2	32778745	32779142	32.09873865833811
chr2	32786630	32787320	23.10480917363927
chr2	32808958	32809345	17.652523501590856
chr2	32842535	32843065	23.756280125312085
chr2	32854469	32854774	26.18532404039727
chr2	32869979	32870330	17.50691174509858
chr2	32870763	32871748	19.854994919094338
chr2	32902470	32902745	10.055330085754395
chr2	32912415	32912824	14.801982429616316
chr2	32920950	32921213	17.487806425348435
chr2	32922066	32922294	19.581035945499153
chr2	32922849	32923223	16.292806092430563
chr2	32928389	32928853	10.216319957683826
chr2	32939649	32940059	14.64046230781369
chr2	32978496	32979179	26.621836637159042
chr2	32990394	32990623	26.625655869729655
chr2	33020541	33020914	19.478376365538896
chr2	33037844	33038431	15.4814251943585
chr2	33076576	33077685	17.26518556940545
chr2	33097563	33098560	14.407297036831931
chr2	33105527	33106146	13.03499585707854
chr2	33129919	33131689	33.35442999524286
chr2	33154581	33155299	14.742277615581715
chr2	33219370	33219641	17.603212469178374
chr2	33225281	33226140	24.851398559055173
chr2	33267607	33267963	10.943138355619451
chr2	33307144	33307408	15.514336210308652
chr2	33316898	33317531	22.011552699180953
chr2	33320314	33320577	33.011035520314266
chr2	33326353	33326612	29.206669685923455
chr2	33328854	33329535	28.768026301514208
chr2	33349002	33349629	20.564094426339132
chr2	33370313	33370713	16.00817476272583
chr2	33400070	33400481	18.342631203124704
chr2	33420578	33420935	17.743114236356163
chr2	33431662	33432227	18.26941322056593
chr2	33432685	33433073	19.793566317902396
chr2	33445125	33445404	25.159996832570723
chr2	33468732	33469155	17.100374057219664
chr2	33476163	33477139	29.052329178716317
chr2	33478208	33478562	23.476565097011417
chr2	33486822	33487274	15.788187233747633
chr2	33489469	33489748	14.34987356329477
chr2	33500069	33500834	11.230049350838256
chr2	33510535	33511422	20.504058264019523
chr2	33542962	33543770	14.77176429434578
chr2	33558050	33558387	12.306227399616638
chr2	33580808	33581047	11.370560793697086
chr2	33682153	33682731	11.535023325454818
chr2	33734745	33735214	11.202361773834554
chr2	33821594	33821860	10.831657825556016
chr2	33933463	33933825	15.873318659007879
chr2	34025688	34026291	9.029065093393152
chr2	34186354	34186901	12.40769670824682
chr2	34187136	34187395	12.327619250676808
chr2	34214160	34214541	11.064434809947578
chr2	34372855	34373704	23.744551653013914
chr2	34405997	34406235	13.705156851215524
chr2	34414664	34414964	13.752923949559529
chr2	34432023	34432411	15.893998959629807
chr2	34444707	34445400	14.773726686254724
chr2	34494012	34494344	13.315016286918915
chr2	34497698	34497921	14.672009793097663
chr2	34504399	34505617	17.495159013713717
chr2	34518702	34518927	14.310287200080024
chr2	34521586	34521828	16.18886421928721
chr2	34554108	34554680	17.22367653479943
chr2	34616527	34617093	16.21423334957433
chr2	34634511	34634982	15.556010051897378
chr2	34639110	34639412	19.76817937876215
chr2	34642155	34642523	22.562972400499426
chr2	34644377	34645217	28.85771264121646
chr2	34692597	34693612	16.546887928629157
chr2	34704165	34704399	12.931890548803867
chr2	34772557	34772821	94.25924854386936
chr2	34774027	34774774	101.66832586688051
chr2	34775548	34776345	176.3088040800585
chr2	34801775	34802213	21.499518570834642
chr2	34805652	34805926	17.04662262088191
chr2	34815500	34815779	17.932254849368952
chr2	34827849	34828091	12.571743472548556
chr2	34846179	34847004	20.587973503343985
chr2	34870661	34871369	18.804802794914462
chr2	34904528	34905724	24.182720611725365
chr2	34927409	34927698	13.870679492356455
chr2	34928853	34929175	14.542505326478377
chr2	34935655	34936158	15.234535983258166
chr2	34944703	34945327	16.763084667615402
chr2	34964710	34964985	26.358210026134145
chr2	35034971	35035366	18.187140921097768
chr2	35108231	35108713	16.142863795965045
chr2	35181386	35182440	18.302349601343867
chr2	35200762	35201476	14.930233387720017
chr2	35267409	35267704	11.817972894442283
chr2	35268039	35268344	14.658183645029537
chr2	35321482	35321734	23.35450279712677
chr2	35373018	35373245	15.046034712098244
chr2	35397278	35397880	12.14799330876119
chr2	35461401	35462082	11.295803192603605
chr2	35483548	35483912	14.20126608963851
chr2	35506507	35506841	15.168955991368094
chr2	35544594	35544859	15.52912618888999
chr2	35569682	35570039	12.047131167072543
chr2	35633571	35633813	14.121205743679331
chr2	35734959	35735437	12.502622678190095
chr2	35906261	35906641	13.218844422541167
chr2	35979786	35980068	10.817419008160314
chr2	36049046	36049340	16.46922490061546
chr2	36117726	36117955	11.78767430209697
chr2	36136295	36136844	13.935218411499468
chr2	36188351	36189014	11.619499129587348
chr2	36213831	36214644	20.90959846078983
chr2	37338698	37339176	12.368824913910743
chr2	37358414	37359314	25.349568853378297
chr2	37380065	37380318	15.839421619068492
chr2	37393141	37394328	19.758679639821104
chr2	37409352	37409757	15.497784360249836
chr2	37416806	37417308	15.966863926663342
chr2	37423040	37423308	27.177693160612193
chr2	37430595	37430834	16.96663055260311
chr2	37431095	37431381	27.87227857362974
chr2	37438973	37439582	19.62026621124819
chr2	37447840	37448090	23.563907928466797
chr2	37455180	37455718	23.647785486341853
chr2	37488982	37489246	11.474240151318638
chr2	37645491	37645721	16.297407108804453
chr2	37703554	37704080	15.569731581800337
chr2	37771746	37772226	24.893219872315726
chr2	37815834	37816257	12.312383470242187
chr2	37948543	37948868	10.188795022230883
chr2	38006381	38007034	16.332637375018134
chr2	38085283	38085635	10.203541426496072
chr2	38151219	38151460	14.255245699427434
chr2	38210498	38211415	12.870943909253002
chr2	38319429	38319816	12.842034100870137
chr2	38332816	38333741	17.283750454670674
chr2	38375626	38376125	11.31801336131736
chr2	38429913	38430149	10.656902220289586
chr2	38439147	38440189	16.231252544900965
chr2	38451217	38451502	9.387885752895421
chr2	38486478	38487352	14.658513657288365
chr2	38640069	38640296	14.938304487304015
chr2	38642177	38642399	12.876790375322908
chr2	38672405	38672647	15.38563714539709
chr2	38739231	38739851	10.429990677679738
chr2	38768093	38768604	16.613317189151292
chr2	38774542	38775096	16.639010580868497
chr2	38798649	38799514	21.846131808771563
chr2	38831801	38832115	13.335440459524749
chr2	38847095	38847569	20.145761952621523
chr2	38855436	38855768	30.486676681472595
chr2	38896839	38898107	19.168523176987463
chr2	38898586	38898899	15.765991168281142
chr2	38926471	38927208	14.857367674078352
chr2	38939685	38940402	13.69503608341829
chr2	38998099	38998711	23.518877637152578
