id	length	midBlast_Ctrl_rep1	midBlast_Ctrl_rep2	midBlast_Ctrl_rep3	midBlast_siTfap2c_rep1	midBlast_siTfap2c_rep2	midBlast_siTfap2c_rep3
1110051M20Rik	1979	28	53	50	61	70	71
1110058D11Rik	667	24	31	8	23	4	10
1110059E24Rik	1428	715	889	865	498	484	463
1110059G10Rik	3361	127	202	257	126	187	192
1110065P20Rik	762	12	14	17	17	9	24
1190002F15Rik	607	0	0	2	7	9	0
1190002N15Rik	3950	135	257	245	421	417	224
1190003K10Rik	1097	0	1	0	11	0	1
1190005I06Rik	734	0	0	0	0	0	4
1190007I07Rik	748	70	51	40	18	29	17
1200014J11Rik	6284	1125	1423	1511	911	1108	922
1300002E11Rik	3959	124	199	162	134	95	120
1300017J02Rik	2275	32	44	47	193	204	194
1500004A13Rik	3629	32	74	38	49	41	43
1500009C09Rik	1904	3	2	10	10	33	15
1500009L16Rik	1194	1078	1277	1328	1093	1138	1157
1500011B03Rik	1739	204	164	133	197	179	166
1500011K16Rik	811	44	64	46	10	22	16
1500012F01Rik	738	215	242	257	201	269	192
1500012K07Rik	2626	2	0	0	5	10	8
1500015A07Rik	1864	40	96	84	74	50	78
1500015L24Rik	778	0	0	0	4	0	3
1500015O10Rik	888	4	1	4	3	4	4
1500017E21Rik	2662	4	0	4	32	8	13
1500026H17Rik	3035	0	0	2	8	9	2
1600002D24Rik	2215	20	26	18	57	35	50
1600002H07Rik	2143	363	505	380	758	793	501
1600002K03Rik	651	91	69	122	83	105	130
1600010M07Rik	616	23	20	26	11	13	5
1600012H06Rik	2756	221	279	325	240	275	248
1600014C10Rik	3450	74	79	93	50	60	64
1600014C23Rik	518	0	0	0	2	1	4
1600014K23Rik	840	16	38	16	88	113	46
1600015I10Rik	2484	0	4	8	12	12	18
1600019K03Rik	477	0	0	0	5	6	2
1600020E01Rik	681	36	66	69	73	49	42
1600023N17Rik	1008	4	14	30	8	24	30
1600025M17Rik	547	2	0	0	11	2	12
1600027J07Rik	489	0	0	0	4	9	3
1600029I14Rik	864	0	1	0	1	9	0
1600029O15Rik	1809	0	8	0	8	5	18
1700001C02Rik	712	0	0	0	6	9	8
1700001C19Rik	1801	7	1	8	18	24	23
1700001D01Rik	565	21	37	48	12	21	7
1700001F09Rik	883	5	2	0	3	0	1
1700001G01Rik	1562	0	0	1	8	9	24
1700001G11Rik	769	0	0	0	4	6	4
1700001G17Rik	889	8	0	2	8	2	2
1700001J03Rik	778	4	0	2	4	5	4
1700001J11Rik	2468	0	0	0	26	12	10
1700001K19Rik	954	49	59	84	67	59	39
1700001K23Rik	488	3	2	2	0	4	4
1700001L05Rik	6003	120	82	100	156	199	121
1700001L19Rik	1808	15	14	4	10	8	9
1700001O22Rik	1591	6	9	9	15	15	10
1700001P01Rik	624	4	4	8	21	20	5
1700003C15Rik	709	0	0	0	0	0	2
1700003D09Rik	1389	1	0	2	7	9	11
1700003E16Rik	2050	0	0	1	12	27	34
1700003E24Rik	1016	0	0	0	0	0	0
1700003F12Rik	733	8	6	21	23	9	6
1700003G13Rik	705	0	0	0	4	0	4
1700003G18Rik	620	6	2	4	2	1	11
1700003H04Rik	757	0	0	0	1	4	0
1700003I22Rik	482	0	0	0	2	0	10
1700003L19Rik	746	0	0	0	9	6	6
1700003M02Rik	1716	4	2	3	18	36	23
1700003M07Rik	2315	75	72	88	557	569	549
1700003P14Rik	994	0	0	0	1	2	10
1700006A11Rik	1983	1	0	0	2	4	10
1700006E09Rik	698	0	0	2	8	14	8
1700006F04Rik	439	0	0	0	5	7	7
1700006H21Rik	622	0	0	0	4	0	4
1700007B14Rik	2161	0	1	0	6	0	9
1700007F19Rik	1642	0	0	0	8	15	26
1700007G11Rik	861	1	7	2	6	19	11
1700007J10Rik	1111	46	44	65	14	40	29
1700007K09Rik	676	13	9	0	5	7	8
1700007K13Rik	804	169	238	257	666	707	532
1700007L15Rik	747	54	75	62	54	41	27
1700007P06Rik	823	0	2	4	17	6	9
1700008C04Rik	799	2	0	0	2	0	11
1700008J07Rik	2432	45	43	63	53	69	51
1700008K24Rik	947	0	0	0	0	2	6
1700008O03Rik	911	0	5	1	11	52	20
1700008P02Rik	788	0	0	0	6	0	8
1700009C05Rik	787	0	0	0	2	12	0
1700009J07Rik	914	0	0	0	2	9	0
1700009N14Rik	1262	0	0	0	1	0	0
1700010B08Rik	896	0	0	2	8	11	4
1700010D01Rik	503	6	2	0	0	7	4
1700010I02Rik	436	0	0	0	0	0	4
1700010I14Rik	1878	0	12	8	17	28	10
1700010J16Rik	887	0	0	4	2	0	5
1700010K23Rik	376	0	0	0	0	0	0
1700011A15Rik	903	0	0	2	18	11	8
1700011B04Rik	648	0	0	0	7	11	16
1700011C11Rik	363	0	0	0	0	8	8
1700011E24Rik	847	4	3	9	5	14	9
1700011H14Rik	1167	1	0	9	11	5	12
1700011I03Rik	967	0	0	0	14	3	9
1700011L22Rik	978	1	0	0	10	9	3
1700011M02Rik	420	0	0	0	0	0	2
1700012A03Rik	915	0	0	0	7	6	19
1700012B07Rik	1470	0	4	4	18	17	33
1700012B09Rik	685	0	0	0	5	1	1
1700012C14Rik	498	0	0	0	8	6	8
1700012D01Rik	695	2	0	4	14	16	14
1700012D14Rik	629	15	9	15	12	25	6
1700012D16Rik	579	6	0	1	1	3	8
1700012H19Rik	405	2	1	0	2	6	6
1700012I11Rik	1039	0	0	0	2	11	18
1700012L04Rik	525	4	2	3	0	0	2
1700012P22Rik	972	0	2	0	21	11	26
1700013D24Rik	534	0	1	1	3	3	13
1700013F07Rik	592	0	3	0	5	9	9
1700013G24Rik	1036	0	0	2	22	15	26
1700013H16Rik	1224	88	64	2	11	9	26
1700015E13Rik	713	0	0	0	10	4	4
1700015F17Rik	710	0	0	0	0	2	4
1700015G11Rik	388	0	0	4	3	0	1
1700016C15Rik	749	17	20	4	17	14	16
1700016D06Rik	1263	0	4	2	5	2	25
1700016G22Rik	593	2	0	0	3	6	1
1700016H13Rik	946	9	15	24	22	13	14
1700016K19Rik	921	196	169	223	123	112	102
1700016L04Rik	910	0	0	0	2	3	4
1700016L21Rik	394	0	0	0	5	8	13
1700016P04Rik	429	0	0	0	3	6	0
1700017B05Rik	4934	500	587	606	387	343	180
1700017D01Rik	1194	0	0	0	5	14	18
1700017G19Rik	2439	0	0	0	8	20	18
1700017J07Rik	472	1	2	1	0	0	0
1700017L05Rik	564	0	0	0	7	6	5
1700017N19Rik	1690	1	1	0	3	9	13
1700018A04Rik	714	0	0	0	10	6	10
1700018B08Rik	1080	2	2	6	14	45	31
1700018B24Rik	3370	4	18	10	4	16	30
1700018C11Rik	671	0	0	0	4	9	8
1700018F24Rik	1119	0	0	0	6	12	12
1700018G05Rik	399	0	0	0	3	6	4
1700018L02Rik	1247	2	0	0	2	1	12
1700019A02Rik	627	10	10	2	3	1	10
1700019B03Rik	1613	0	0	0	13	24	26
1700019B21Rik	778	0	0	0	44	30	22
1700019C18Rik	410	0	0	0	4	7	6
1700019D03Rik	834	47	67	46	0	10	2
1700019E08Rik	635	0	0	3	0	10	3
1700019G17Rik	3278	94	80	68	58	70	85
1700019G24Rik	515	1	0	0	7	0	2
1700019L03Rik	1675	32	52	38	29	46	23
1700019M22Rik	602	0	0	0	0	0	0
1700019N19Rik	923	4	1	2	2	1	2
1700019O17Rik	1721	0	2	2	10	27	22
1700020A23Rik	733	4	6	2	9	12	2
1700020D05Rik	1019	4	2	8	8	13	7
1700020D14Rik	1208	0	0	0	0	0	0
1700020G17Rik	610	0	0	0	2	8	3
1700020I14Rik	1549	577	775	780	471	459	442
1700020L24Rik	931	0	0	0	2	0	14
1700020M21Rik	642	2	2	4	8	13	8
1700020N01Rik	1061	0	0	0	8	3	2
1700020N15Rik	546	0	0	0	2	4	9
1700020N18Rik	547	0	0	0	0	0	6
1700021F05Rik	898	903	1046	1135	746	841	761
1700021F07Rik	641	0	0	0	22	4	13
1700021K19Rik	5343	330	312	367	253	255	228
1700021N21Rik	905	0	0	0	4	12	5
1700022A21Rik	1448	5	15	12	25	19	1
1700022A22Rik	855	0	0	0	2	3	4
1700022E09Rik	385	0	0	0	4	7	1
1700022H01Rik	684	4	1	4	5	3	5
1700022H16Rik	476	0	0	0	4	4	2
1700022I11Rik	3726	32	58	54	78	61	30
1700023C21Rik	389	0	0	0	0	1	1
1700023F02Rik	345	0	0	2	0	0	0
1700023F06Rik	1199	2	4	0	16	16	24
1700024B18Rik	423	0	0	0	0	0	0
1700024F13Rik	669	0	4	4	3	7	2
1700024G13Rik	398	0	0	0	3	2	0
1700024I08Rik	759	0	0	0	9	12	3
1700024N05Rik	985	0	0	0	0	0	0
1700024P04Rik	476	2	0	0	6	3	2
1700024P16Rik	3258	5	40	20	45	44	41
1700025B11Rik	552	0	0	0	2	3	10
1700025C18Rik	702	0	0	0	1	0	10
1700025F22Rik	631	0	4	2	0	1	6
1700025F24Rik	894	3	2	4	10	24	16
1700025G04Rik	9754	275	393	334	87	96	92
1700025J12Rik	630	5	0	0	0	10	8
1700025K24Rik	740	0	0	0	2	0	2
1700025M24Rik	770	0	1	2	2	24	10
1700025N23Rik	902	1	0	1	9	14	11
1700026D08Rik	1294	0	4	0	4	14	16
1700026D11Rik	847	1	4	8	9	16	20
1700026F02Rik	482	1	0	0	2	0	0
1700026J14Rik	794	0	0	2	12	20	12
1700026L06Rik	671	3	3	7	4	10	6
1700027A15Rik	571	0	0	0	6	5	6
1700027F06Rik	403	4	5	2	3	6	4
1700027F09Rik	766	0	0	0	2	3	13
1700027H10Rik	583	0	0	0	2	2	0
1700027I24Rik	696	5	5	2	8	4	3
1700027J07Rik	1060	0	0	0	6	8	10
1700028B04Rik	552	0	1	6	3	4	16
1700028D13Rik	716	1	2	2	5	9	7
1700028E10Rik	2718	18	21	25	23	10	23
1700028I16Rik	1056	0	0	0	6	21	8
1700028J19Rik	1187	13	8	6	6	8	17
1700028K03Rik	3253	33	49	33	31	24	16
1700028M03Rik	468	0	0	0	0	4	9
1700028P14Rik	868	0	0	0	9	19	20
1700028P15Rik	856	0	0	0	2	2	2
1700029B22Rik	697	0	0	0	5	5	7
1700029F12Rik	1183	14	32	16	25	25	25
1700029H14Rik	1432	0	2	0	7	24	12
1700029I15Rik	364	6	2	11	18	38	9
1700029J03Rik	789	0	0	0	2	4	2
1700029J07Rik	2740	11	24	10	33	56	35
1700029M20Rik	2963	0	4	2	35	20	21
1700029N11Rik	565	0	0	0	4	1	7
1700029P11Rik	1024	290	429	412	294	316	235
1700030A11Rik	888	0	0	3	0	2	0
1700030C10Rik	1724	144	212	216	130	130	56
1700030F04Rik	418	2	1	0	4	1	15
1700030F18Rik	621	0	2	4	9	10	11
1700030J22Rik	2971	110	108	93	65	102	53
1700030K09Rik	2427	27	38	36	33	52	37
1700030L20Rik	985	0	2	0	5	8	4
1700030M09Rik	964	0	6	6	22	19	16
1700030N03Rik	395	0	2	1	5	0	0
1700030O20Rik	594	0	8	0	11	7	4
1700031A10Rik	656	0	0	0	0	12	6
1700031F05Rik	1360	0	0	0	6	8	4
1700031M16Rik	824	1	0	2	35	21	14
1700031P21Rik	304	5	0	2	0	2	3
1700034E13Rik	477	0	0	0	9	5	5
1700034G24Rik	1081	0	0	0	6	10	10
1700034H15Rik	4362	30	30	33	117	70	62
1700034I23Rik	2345	0	0	20	6	16	19
1700034J05Rik	2034	13	25	12	22	36	20
1700034K08Rik	617	0	0	0	1	0	0
1700034O15Rik	741	13	10	9	9	8	20
1700034P13Rik	1494	4	6	14	4	17	8
1700036G14Rik	539	0	0	0	8	26	26
1700037C18Rik	1097	2	10	28	12	26	29
1700037H04Rik	1241	87	108	145	104	117	83
1700039E15Rik	1732	0	4	4	1	12	14
1700039E22Rik	770	0	0	0	0	4	7
1700040L02Rik	1238	0	0	0	7	9	0
1700041A01Rik	369	0	4	0	0	0	2
1700041C23Rik	397	0	0	0	12	5	2
1700041M19Rik	1129	2	2	0	13	1	6
1700042G07Rik	392	0	2	0	2	5	2
1700042G15Rik	2030	45	25	62	47	14	22
1700042O10Rik	1075	0	12	2	18	6	14
1700044C05Rik	893	1	0	0	6	3	8
1700044K03Rik	378	4	3	5	12	2	1
1700045H11Rik	593	0	1	0	5	13	13
1700046C09Rik	562	0	1	0	2	0	2
1700047A11Rik	620	1	10	3	11	2	5
1700047E10Rik	568	1	5	6	3	12	0
1700047G03Rik	840	15	4	2	14	6	8
1700047I17Rik2	7682	0	0	0	0	0	0
1700047L14Rik	514	0	3	0	6	1	3
1700047M11Rik	686	0	2	2	4	1	8
1700048M11Rik	483	2	6	0	9	14	4
1700048O20Rik	1848	32	75	32	91	110	61
1700049E15Rik	921	0	0	1	6	3	2
1700049E22Rik	507	3	0	0	6	3	2
1700049G17Rik	5158	37	24	68	17	26	27
1700049L16Rik	806	0	0	0	2	4	10
1700051A21Rik	1358	0	0	0	10	20	18
1700052I22Rik	377	0	0	0	3	2	3
1700052K11Rik	2413	110	108	105	94	94	53
1700054A03Rik	780	0	0	0	2	14	0
1700054K19Rik	451	0	0	0	0	6	0
1700054M17Rik	445	0	0	0	20	12	10
1700055C04Rik	355	0	1	0	0	1	5
1700056E22Rik	967	22	33	22	42	49	58
1700057G04Rik	1052	4	0	0	0	0	4
1700057H15Rik	980	1	6	2	12	17	14
1700057H21Rik	506	0	0	1	6	4	7
1700060C16Rik	645	0	0	0	3	6	9
1700060C20Rik	590	2	0	0	2	2	7
1700061F12Rik	883	0	0	0	0	4	4
1700061G19Rik	2455	53	67	72	137	155	89
1700061I17Rik	1962	0	0	0	7	8	16
1700061J23Rik	537	0	0	0	0	16	0
1700063A18Rik	356	0	0	0	0	0	1
1700063D05Rik	709	0	0	0	9	0	8
1700063O14Rik	492	0	0	0	7	1	8
1700064J06Rik	386	1	0	1	7	5	5
1700064M15Rik	645	0	0	0	4	6	0
1700065D16Rik	758	0	0	1	18	10	25
1700065I16Rik	843	0	0	0	2	6	16
1700065J11Rik	428	0	0	0	6	3	5
1700065J18Rik	404	0	1	0	7	6	6
1700065L07Rik	635	0	0	0	7	2	6
1700065O20Rik	702	0	0	0	5	0	1
1700066B17Rik	531	0	0	0	9	0	4
1700066B19Rik	2504	2	5	15	22	33	28
1700066J03Rik	516	0	0	0	11	6	4
1700066M21Rik	3007	124	170	152	92	75	89
1700066N21Rik	774	0	0	0	4	0	2
1700066O22Rik	960	0	0	0	2	1	2
1700067G17Rik	603	5	6	8	5	10	21
1700067K01Rik	1084	15	26	8	22	28	22
1700067P10Rik	794	0	0	0	4	1	5
1700069L16Rik	704	3	10	2	4	7	20
1700069P05Rik	787	0	0	0	2	4	7
1700071K01Rik	1038	0	0	0	8	14	9
1700071M16Rik	2504	4	0	0	17	17	15
1700072B07Rik	445	0	0	0	5	0	6
1700072I22Rik	878	0	0	2	5	7	2
1700072O05Rik	668	0	0	1	2	1	8
1700073E17Rik	4599	2	0	0	24	18	39
1700074H08Rik	547	0	0	2	1	2	4
1700074P13Rik	1647	0	1	0	13	19	9
1700080E11Rik	871	0	1	0	0	16	0
1700080N15Rik	434	0	0	0	6	3	0
1700080O16Rik	1454	42	40	52	98	116	103
1700081H04Rik	1126	0	0	0	1	4	9
1700084C01Rik	1440	2	2	4	2	10	27
1700084D21Rik	451	0	4	0	6	3	3
1700084E18Rik	434	2	11	4	12	26	14
1700084F23Rik	1044	1	0	2	17	3	7
1700084J12Rik	731	0	2	0	2	6	5
1700084M14Rik	558	0	0	0	0	0	10
1700085C21Rik	1082	0	2	1	4	0	6
1700086L19Rik	1046	0	0	0	2	13	16
1700086O06Rik	1931	30	52	76	65	43	59
1700088E04Rik	1253	0	3	0	9	0	4
1700091H14Rik	1388	0	4	0	4	10	0
1700092C02Rik	358	0	3	0	6	0	4
1700092C10Rik	569	0	0	0	0	1	8
1700092E19Rik	1641	0	0	0	6	1	12
1700092K14Rik	395	0	0	0	12	3	4
1700092M07Rik	380	26	22	37	34	42	45
1700093K21Rik	1447	0	2	9	35	44	30
1700094D03Rik	3097	67	60	43	53	42	41
1700094J05Rik	997	10	7	8	14	4	6
1700094M24Rik	664	0	0	0	4	1	0
1700095A21Rik	1069	10	14	51	10	11	8
1700095B10Rik	1047	0	0	4	2	2	4
1700095J12Rik	752	4	8	22	15	9	8
1700096J18Rik	454	0	3	8	0	0	1
1700096K18Rik	1449	45	74	102	116	107	85
1700096P03Rik	437	0	0	0	2	0	2
1700097N02Rik	845	0	0	0	7	0	0
1700099I09Rik	885	10	13	6	5	1	0
1700100I10Rik	1407	0	0	0	0	0	2
1700100L14Rik	682	6	6	0	12	0	4
1700101E01Rik	931	55	46	63	25	33	19
1700101I11Rik	806	0	0	0	6	10	8
1700101O22Rik	339	0	0	0	0	0	0
1700102H20Rik	563	1	6	0	1	8	13
1700102P08Rik	1098	5	3	10	6	20	6
1700104L18Rik	598	0	0	0	0	10	10
1700105P06Rik	555	6	0	4	8	20	10
1700106J16Rik	1219	0	0	0	3	2	11
1700108F19Rik	868	7	15	5	9	21	19
1700108J01Rik	468	7	3	21	15	9	4
1700109G14Rik	798	0	0	0	3	14	6
1700109G15Rik	384	0	0	0	2	4	6
1700109H08Rik	715	66	61	74	34	45	41
1700109I08Rik	396	0	0	0	6	0	8
1700109K24Rik	1090	60	53	107	67	99	67
1700110C19Rik	722	0	3	2	5	3	0
1700110I01Rik	5106	0	0	0	3	0	0
1700110I07Rik	726	0	0	0	4	1	18
1700110K17Rik	708	4	7	2	8	5	1
1700111N16Rik	1132	0	1	0	2	9	5
1700112E06Rik	911	6	4	2	22	6	2
1700112H15Rik	778	0	0	0	9	1	6
1700112J05Rik	800	2	3	1	4	23	1
1700112J16Rik	2490	2	3	10	37	18	7
1700113A16Rik	983	47	48	56	26	42	31
1700113B09Rik	430	2	10	0	8	8	3
1700113H08Rik	1343	4	4	0	7	13	12
1700116B05Rik	414	0	0	0	0	2	0
1700119H24Rik	586	1	0	0	2	0	10
1700120C14Rik	388	2	1	0	2	0	5
1700120E14Rik	1932	54	54	60	37	28	19
1700120G07Rik	884	6	2	0	24	7	15
1700120K04Rik	543	6	14	4	6	0	6
1700121L16Rik	561	0	2	0	0	0	4
1700121N20Rik	1028	0	4	0	7	10	2
1700122C19Rik	799	3	0	2	3	4	0
1700122O11Rik	771	0	2	0	12	15	5
1700123I01Rik	1613	99	139	132	106	180	141
1700123J17Rik	1847	0	1	4	25	34	41
1700123K08Rik	1047	0	1	4	4	3	10
1700123L14Rik	1703	0	0	0	8	10	6
1700123M08Rik	1066	4	11	12	20	21	19
1700123O12Rik	568	0	0	0	6	6	8
1700123O20Rik	1889	286	405	395	215	262	258
1700123O21Rik	675	0	0	0	4	11	4
1700124L16Rik	346	1	4	3	4	12	3
1700125G02Rik	519	4	4	3	5	8	6
1700125G22Rik	861	0	0	4	18	5	10
1700125H03Rik	760	0	0	0	5	4	3
1700125H20Rik	975	4	4	4	25	34	22
1700126H18Rik	404	5	3	6	13	5	2
1700128A07Rik	860	0	1	2	2	4	9
1700128F08Rik	1110	1	0	3	8	3	3
1700129C05Rik	1067	0	0	0	9	13	12
1810006J02Rik	1687	0	0	0	1	0	5
1810007C17Rik	708	0	0	0	0	0	2
1810007D17Rik	742	0	0	0	10	2	13
1810008I18Rik	691	0	2	0	6	6	0
1810009A15Rik	813	0	6	10	7	6	2
1810009J06Rik	856	0	0	0	2	3	0
1810010D01Rik	935	9	28	12	51	71	41
1810010H24Rik	1099	8	0	19	27	11	10
1810011H11Rik	1473	0	1	0	10	19	26
1810011O10Rik	1331	0	4	0	13	30	5
1810012K16Rik	542	0	0	10	2	5	7
1810013A23Rik	417	5	0	14	13	19	4
1810013L24Rik	4074	1936	2296	2339	1625	1785	1385
1810014B01Rik	1620	38	54	30	20	33	26
1810018F18Rik	1447	0	0	0	5	7	20
1810019D21Rik	1646	120	200	181	192	226	137
1810020O05Rik	1047	0	8	8	13	14	4
1810021B22Rik	654	6	0	2	4	8	18
1810022K09Rik	401	1101	1469	1534	748	1025	1020
1810024B03Rik	1266	6	6	9	8	18	9
1810026B05Rik	5143	228	257	301	170	281	191
1810026J23Rik	3170	524	586	626	515	603	388
1810030O07Rik	2572	369	345	464	135	170	117
1810032O08Rik	1997	117	177	232	112	151	116
1810034E14Rik	1802	132	183	231	98	107	64
1810037I17Rik	976	118	215	193	198	300	270
1810041H14Rik	499	21	43	36	43	66	32
1810041L15Rik	5917	10	12	14	24	62	31
1810043G02Rik	1696	22	36	24	31	34	25
1810043H04Rik	494	222	330	261	195	289	252
1810044D09Rik	486	13	14	16	24	34	20
1810046K07Rik	1318	2	0	2	18	14	15
1810053B23Rik	2583	0	0	0	17	25	29
1810055G02Rik	1882	514	548	440	249	288	126
1810058I24Rik	1302	167	202	201	129	150	226
1810062G17Rik	911	4	0	2	12	5	14
1810062O18Rik	751	9	2	5	4	7	0
1810063I02Rik	274	0	2	0	0	0	2
1810064F22Rik	2302	0	0	10	18	8	16
1810065E05Rik	925	0	0	2	26	17	5
2010001A14Rik	764	10	8	8	18	31	9
2010001E11Rik	2285	2	4	0	12	22	19
2010003K11Rik	1167	1	0	2	6	12	6
2010005H15Rik	528	12	8	14	6	5	19
2010009K17Rik	570	3	3	4	9	15	10
2010010A06Rik	1204	5	2	5	21	19	18
2010012O05Rik	2176	55	48	82	91	159	142
2010016I18Rik	1558	0	2	0	9	1	5
2010106C02Rik	657	12	4	3	26	13	19
2010106E10Rik	1287	0	0	0	4	1	6
2010107E04Rik	365	2928	3677	3245	3511	3235	2717
2010107G12Rik	2158	14	7	1	28	52	40
2010107G23Rik	1731	108	127	112	98	94	61
2010109A12Rik	548	0	2	3	2	5	6
2010109I03Rik	1887	0	0	0	18	22	14
2010111I01Rik	9141	245	259	267	276	298	209
2010204K13Rik	946	0	16	6	16	16	13
2010300C02Rik	4361	332	463	478	1103	1363	807
2010308F09Rik	701	0	0	0	4	8	9
2010310C07Rik	845	2	2	6	1	0	4
2010315B03Rik	2759	15	27	22	16	21	15
2010320M18Rik	745	62	92	158	62	81	71
2200002D01Rik	507	754	926	812	633	700	680
2200002J24Rik	610	7	19	10	7	15	17
2210010C04Rik	2142	2	0	0	6	0	2
2210011C24Rik	907	26	25	15	25	16	28
2210013O21Rik	856	9	28	12	38	17	10
2210015D19Rik	1840	283	379	318	147	149	129
2210016F16Rik	2822	869	1114	1061	840	1005	923
2210016L21Rik	1320	931	1066	1070	729	699	565
2210018M11Rik	4014	1037	1205	1282	893	1006	557
2210019I11Rik	1442	8	9	8	22	25	7
2210039B01Rik	1039	8	17	0	35	29	32
2210404E10Rik	583	0	0	2	10	8	4
2210404O09Rik	2221	237	358	357	185	248	306
2210406O10Rik	1704	2	2	8	6	14	9
2210407C18Rik	879	0	0	0	2	1	2
2210408F21Rik	1041	2	0	3	25	24	8
2210408I21Rik	5632	55	61	75	43	68	81
2210409D07Rik	458	0	0	0	3	4	7
2210409E12Rik	377	1624	1848	2329	1241	1704	1269
2210414B05Rik	874	0	0	0	8	3	4
2210416O15Rik	1504	0	0	0	2	11	5
2210417A02Rik	550	0	0	0	1	6	10
2210420H20Rik	627	2	0	6	15	6	10
2300002M23Rik	1248	2	0	0	8	11	6
2300003K06Rik	919	0	0	2	4	4	8
2300005B03Rik	464	0	0	0	4	4	7
2300009A05Rik	598	41	23	11	14	32	31
2310001H17Rik	769	0	0	2	0	14	4
2310001K24Rik	459	0	0	0	4	2	2
2310002D06Rik	508	2	0	0	10	6	6
2310002F09Rik	2554	0	0	0	4	10	11
2310002L09Rik	2158	0	0	0	2	4	10
2310003N18Rik	458	6	0	6	3	10	6
2310005A03Rik	1394	2	5	0	4	8	13
2310005E17Rik	1186	0	2	0	9	6	19
2310007B03Rik	2362	0	0	0	15	28	23
2310008N11Rik	564	0	4	0	6	2	8
2310009A05Rik	492	53	80	78	56	34	24
2310009B15Rik	571	41	40	28	41	4	29
2310010G23Rik	1038	6	14	6	14	7	11
2310010J17Rik	538	2	5	2	7	10	26
2310011J03Rik	1659	232	228	266	191	228	142
2310015A10Rik	4845	38	57	58	22	41	20
2310015D24Rik	2917	16	9	16	24	31	31
2310016D03Rik	1547	0	2	0	8	0	4
2310020H05Rik	718	0	2	8	2	0	0
2310022A10Rik	2719	472	510	533	629	669	388
2310022B05Rik	3307	158	216	152	176	178	128
2310030A07Rik	610	0	0	0	27	5	6
2310030G06Rik	1242	30	50	76	28	31	35
2310033P09Rik	1241	603	666	860	402	439	283
2310034C09Rik	943	0	0	0	0	16	2
2310034G01Rik	788	22	23	30	12	9	0
2310034O05Rik	1107	0	2	10	0	7	14
2310035C23Rik	5406	1035	1214	1195	655	702	539
2310036O22Rik	892	3124	3713	3411	2563	2596	1860
2310039H08Rik	773	32	46	44	34	37	32
2310039L15Rik	642	0	0	0	2	3	6
2310040G24Rik	775	93	73	161	155	186	276
2310043L19Rik	698	18	25	6	2	7	16
2310043O21Rik	621	0	0	0	8	9	7
2310045N01Rik	2783	123	104	152	109	158	81
2310045n01rik-mef2b	1549	0	0	0	0	0	0
2310047M10Rik	1802	52	80	80	84	84	64
2310050C09Rik	1067	0	0	0	6	18	7
2310057J18Rik	1319	0	2	1	3	6	1
2310057M21Rik	2214	326	386	428	308	324	285
2310057N15Rik	1026	0	0	0	0	3	3
2310061I04Rik	1240	268	324	227	54	81	50
2310061N02Rik	792	2	0	2	4	0	6
2310065F04Rik	2724	2	0	1	4	9	22
