chr	start	end	8Cell_Tead4_ds
chr1	39349010	39349582	34.01006140492179
chr1	39478709	39479048	17.19534513872985
chr1	39521206	39521697	33.38093601079191
chr1	39535422	39536038	16.03669181272581
chr1	39614787	39615064	43.68230606932933
chr1	39811750	39812424	13.481477509620282
chr1	40085729	40086150	23.641059651227575
chr1	42034881	42035871	21.757758439189256
chr1	42218987	42219256	14.67615044249921
chr1	42850813	42851104	20.330140566088488
chr1	42994030	42994374	21.234241893125134
chr1	42994716	42995274	20.932650677192168
chr1	43141321	43141977	19.709999237845583
chr1	43171190	43171887	17.45770636384764
chr1	43269494	43270098	43.068412599184654
chr1	43270509	43271030	36.071981576491225
chr1	43287399	43288036	30.3868821501919
chr1	43432234	43432550	18.685316568688503
chr1	43483609	43484428	24.547729675004188
chr1	44147725	44148157	12.68459763791826
chr1	44395367	44395711	18.42977712320727
chr1	44597108	44597463	17.334057920751437
chr1	45580303	45581352	36.81179983759063
chr1	45594758	45595169	34.784155537032156
chr1	45792786	45793155	19.523390004951455
chr1	46913743	46914670	15.328426718583255
chr1	47207191	47207464	10.95027893890828
chr1	47319603	47320315	15.859868861316295
chr1	49932049	49932966	28.67024547271146
chr1	51400228	51400672	16.100617754566777
chr1	51420715	51421031	22.665426187877415
chr1	51530819	51531177	14.520309317711344
chr1	51612386	51612825	18.264668335404103
chr1	51624801	51625211	18.063608637088684
chr1	51911692	51912334	33.41640855738679
chr1	51914476	51914971	23.962494052540173
chr1	51920633	51921312	21.957959788888473
chr1	51956819	51957235	14.417510548463234
chr1	52113553	52113808	15.45727565241795
chr1	52233096	52233627	19.064872585447496
chr1	52857955	52858226	19.733952385033188
chr1	52937571	52937851	24.626612768854415
chr1	52938304	52938966	19.800056588613735
chr1	53297128	53297414	20.30872378315959
chr1	53347224	53347539	13.781950466216557
chr1	53525542	53526549	34.00276684216497
chr1	53532060	53533089	18.205905442566866
chr1	53855326	53855757	42.468242977168885
chr1	53867785	53868494	31.893770435801347
chr1	54250737	54251003	25.619866830065735
chr1	54328152	54328474	19.526465768399447
chr1	54610126	54610470	18.505826828091642
chr1	54983330	54983829	16.508869264789954
chr1	55052276	55052628	19.58341257680546
chr1	55162186	55162698	21.468600779771805
chr1	55163007	55163356	30.58702081390643
chr1	55202087	55202567	20.37552433212598
chr1	55236991	55237326	15.520363878847947
chr1	55487385	55487790	13.65424503514796
chr1	56742140	56742648	12.00626875941209
chr1	56953296	56954343	49.255428984604684
chr1	57406444	57406953	22.218007179515066
chr1	57477048	57477575	34.04314390034106
chr1	57929102	57929384	15.661866191431141
chr1	57953621	57954489	23.09204702553112
chr1	58366670	58367018	22.95356993565614
chr1	58392532	58393112	25.37402051070641
chr1	58409575	58410229	18.000768697954463
chr1	58457677	58458238	36.07951621873281
chr1	58585719	58586635	20.823076520944788
chr1	58632505	58633061	25.88025417087747
chr1	58651337	58652524	17.62841896380109
chr1	58700243	58700589	14.627752193825783
chr1	58960850	58961612	19.758466094810505
chr1	58973579	58973940	16.953221395075158
chr1	59236955	59237564	21.097119923295647
chr1	59270197	59270566	15.011897448924822
chr1	59481741	59482511	17.934730062237033
chr1	59609821	59610081	17.920780930152308
chr1	59613799	59614449	22.56415591753446
chr1	59660879	59661353	24.028545673386457
chr1	59676760	59677129	23.544323489594913
chr1	59729875	59730268	26.99743987221754
chr1	59883205	59883647	14.057090099041279
chr1	59938661	59938916	49.07178961061964
chr1	60097774	60098140	20.772646203067133
chr1	60180646	60181556	38.76096279018528
chr1	60188925	60189564	19.91669302255335
chr1	60350209	60350693	22.224147725696405
chr1	60356139	60356498	19.84571223139431
chr1	60545610	60545912	28.857806969952108
chr1	60566926	60567241	15.429540634155273
chr1	61095014	61096135	33.56162801371633
chr1	61376857	61377186	13.386303820508592
chr1	62066412	62067926	24.901634818181652
chr1	62690989	62692016	16.2607249289664
chr1	62703052	62703361	15.387119521600914
chr1	62706431	62707058	15.570118522339842
chr1	62715576	62716232	17.295097806831684
chr1	62914962	62915255	22.869739532470703
chr1	62991250	62991542	15.250918140150096
chr1	63011059	63011660	17.525086990013694
chr1	63107632	63108013	39.143399371249785
chr1	63133587	63133916	31.28874192629179
chr1	63138306	63138655	44.68127265427379
chr1	63138910	63139419	56.62832802733176
chr1	63139843	63140352	36.18235097933846
chr1	63192819	63193162	15.332256121121064
chr1	63200185	63200464	17.73546509418009
chr1	63647091	63647362	14.046582155122088
chr1	64248986	64249698	25.71348957399304
chr1	64301856	64302349	46.680396008443154
chr1	64617299	64617772	24.112528383605827
chr1	64737990	64738288	17.25425577803746
chr1	64824034	64824510	14.703863075801305
chr1	64956985	64958176	35.78589478628061
chr1	64990097	64991264	50.32168514869513
chr1	65037932	65038425	33.89072350894703
chr1	65134096	65134453	22.500935872395832
chr1	65151118	65151561	20.48060685194373
chr1	65178556	65179903	26.15566273132075
chr1	65420849	65421912	38.24250849035699
chr1	65498416	65498730	11.409890446693275
chr1	66613603	66614145	21.199223252680028
chr1	66700204	66700684	27.209488828976948
chr1	66864030	66864462	19.62150850340172
chr1	67311158	67311436	13.726778030395508
chr1	67709950	67710458	21.4131240112575
chr1	68075402	68075660	27.96759013057679
chr1	69277368	69278055	16.954846635482543
chr1	69727876	69728533	36.168374374395455
chr1	70177921	70178345	13.116406213562444
chr1	70468197	70469566	32.24196223711079
chr1	71102664	71102921	21.684299584028786
chr1	71103303	71103961	26.411618428389716
chr1	71547483	71548249	34.958498578781246
chr1	71557141	71557503	25.73965736515614
chr1	72121646	72122001	23.2260571735006
chr1	72238128	72238518	33.13981663141495
chr1	72242881	72243135	33.260767756484626
chr1	72243619	72243966	45.50870301744093
chr1	72283175	72283467	13.545231557872198
chr1	72739731	72740374	24.16208737671468
chr1	72741134	72741838	28.53535831245509
chr1	72793021	72793855	27.6617986607037
chr1	72824546	72824822	19.835187507712323
chr1	73663219	73664041	26.8079630928318
chr1	73932593	73933753	33.31003225671834
chr1	74094751	74095660	29.528052006879918
chr1	74125373	74125731	15.175022106596877
chr1	74205217	74205469	25.37401352988349
chr1	74236194	74236791	17.053603301695244
chr1	74284878	74285185	18.57188412731556
chr1	74309456	74310182	38.48148358426475
chr1	74314686	74315096	26.365496433071975
chr1	74370953	74371402	27.5407026031766
chr1	74397459	74397750	23.436838553123867
chr1	74405164	74405415	15.036621492697423
chr1	74474036	74474465	30.9027092051117
chr1	74505484	74506269	27.7649648143987
chr1	74514395	74515520	40.10080987294515
chr1	74556933	74557356	26.141457203713998
chr1	74563496	74563903	22.482403705981206
chr1	74587841	74588522	16.806156099630346
chr1	74594415	74594819	21.356960820679618
chr1	74673924	74674294	23.05931436951096
chr1	74675355	74675685	23.73314039634936
chr1	74683622	74684244	15.069474602818872
chr1	74779002	74779259	19.63638628503228
chr1	74784169	74784577	16.233846367574206
chr1	74803023	74803450	17.80267895245161
chr1	74858264	74858535	30.45228194486611
chr1	74876795	74877285	22.82754458213339
chr1	74893233	74893607	17.897084531937054
chr1	75124265	75125220	34.10226200263538
chr1	75142448	75142695	23.28237054029457
chr1	75156685	75157216	24.814877616034615
chr1	75168620	75168961	28.233061480032735
chr1	75180597	75180880	19.03397561804566
chr1	75204311	75204964	21.130527089602367
chr1	75251544	75251841	19.55653322264803
chr1	75298490	75298773	17.762096290453584
chr1	75317057	75317970	34.563958576448904
chr1	75411355	75411714	17.39160208582546
chr1	75518057	75518614	20.31273176254875
chr1	75521575	75521961	26.906929954963644
chr1	75545152	75545580	22.887704477131923
chr1	75664928	75665307	20.89112832867061
chr1	75801897	75802515	32.37253050973886
chr1	75861148	75861629	21.949444768830297
chr1	77468680	77468926	16.23971762695933
chr1	77515294	77515559	13.065579882207906
chr1	77516197	77516703	17.945133782187
chr1	78488662	78489332	20.341381955502637
chr1	78534741	78535553	21.67055070341514
chr1	78656448	78657719	20.072498175218104
chr1	78676262	78676565	26.62496612410341
chr1	79656356	79657131	58.11632212485036
chr1	79690621	79690898	20.80991306373789
chr1	79691191	79691544	29.700945416523446
chr1	79711802	79712466	15.91116650851376
chr1	79712834	79713183	22.516042236612314
chr1	80185587	80185856	20.199641692150923
chr1	80186353	80186924	20.54769470061187
chr1	80341018	80341365	18.9911262253863
chr1	80372050	80372429	27.748998100965192
chr1	80388068	80388370	23.089019636444696
chr1	80758838	80759286	19.731193387082644
chr1	82432883	82433470	15.823619751548442
chr1	82751832	82752098	11.879625607253914
chr1	82819581	82820760	29.611100345673048
chr1	84332670	84333203	15.846423324456135
chr1	84541162	84541799	14.78033134289776
chr1	84697037	84697429	17.029898993822993
chr1	84715774	84716168	39.42139018489625
chr1	84763787	84764608	19.50470537796671
chr1	84839585	84839836	27.250977892324745
chr1	84849801	84850189	23.014340071334054
chr1	84859776	84860821	35.602960761768394
chr1	84880979	84881332	32.40722327732162
chr1	84890397	84890962	27.529205913037327
chr1	84898351	84898884	23.777499637281693
chr1	84904905	84905212	19.7954665566112
chr1	84924403	84924724	20.441341923033338
chr1	84933593	84933891	26.232506870423386
chr1	85266811	85267138	15.733677064971458
chr1	85277697	85277958	32.100126953417316
chr1	85591029	85593423	45.46434925695538
chr1	85743455	85744207	36.427471723962334
chr1	85751380	85751955	24.393628908240277
chr1	85783757	85784397	27.67924825102091
chr1	85789241	85789745	25.62521174975804
chr1	85806488	85806769	32.73475866215933
chr1	85812483	85812774	30.585083381416872
chr1	85919881	85920577	21.25476068463819
chr1	86154234	86154624	21.667515561519526
chr1	86250693	86251084	23.413110974499638
chr1	86279177	86279834	22.07052851811936
chr1	86381002	86381444	16.511979135452894
chr1	86429917	86430453	17.8641069913978
chr1	86432682	86433227	19.696370294553425
chr1	86472543	86473244	28.563437547561275
chr1	86482192	86482503	30.273528218652658
chr1	86501241	86501653	39.2203721305699
chr1	86509232	86509506	25.417930770094376
chr1	86532307	86532573	42.11757642702949
chr1	86533421	86534097	31.152157734131674
chr1	86582314	86582822	37.242246325560444
chr1	86597682	86598117	17.855318266769935
chr1	86647751	86648157	34.45483806685274
chr1	86996380	86996792	14.633690581738371
chr1	87074684	87075267	19.309936459641104
chr1	87081180	87082509	24.082608550181508
chr1	87086147	87086555	35.75800988720913
chr1	87090867	87091125	44.30363292841948
chr1	87091606	87092242	26.668789842593593
chr1	87184856	87185308	13.630348525216094
chr1	87257926	87258283	23.11058484138895
chr1	87311115	87311618	29.017002511451068
chr1	87326540	87326787	34.275403420452164
chr1	87331429	87331873	26.010300455866634
chr1	87413829	87414398	27.08926654574322
chr1	87525000	87525602	17.46294389135418
chr1	87541587	87542023	12.210640770579698
chr1	87636535	87637067	23.36195887479567
chr1	87659209	87659464	38.538529093125284
chr1	87674066	87674316	30.268842300415038
chr1	87676092	87676398	19.986672884498546
chr1	87686596	87686935	15.010061214807111
chr1	87755734	87756392	16.91017902585873
chr1	87840287	87841067	46.84028270917061
chr1	88223840	88224126	33.282013686386854
chr1	88277101	88277906	49.645101838674606
chr1	88538562	88538890	14.371375485164362
chr1	88800715	88801282	26.201216354571955
chr1	89191354	89192975	57.740327983929156
chr1	89215802	89216469	13.1899892658308
chr1	89226457	89227394	33.12811829415304
chr1	89837482	89837809	16.111260561403515
chr1	89939450	89940483	20.507671424518595
chr1	90064506	90065200	17.10798893606972
chr1	90202416	90202893	30.901345748821395
chr1	90203355	90203768	22.25460096825699
chr1	90518990	90519772	22.99964640146631
chr1	90628628	90628898	19.710156027475993
chr1	90958931	90959318	12.905001584873643
chr1	90972614	90973169	18.440289093567444
chr1	91176014	91176261	38.850534562639865
chr1	91247510	91248079	18.725825328190005
chr1	91304135	91304887	31.5087949658962
chr1	91352361	91353024	29.70815462368466
chr1	91366547	91366917	14.470764560957212
chr1	91913080	91913395	24.962952265663752
chr1	91914771	91916074	23.225297822461894
chr1	91929277	91929585	13.215288697899162
chr1	92180326	92180864	24.9412680088809
chr1	92592901	92593458	36.45319621652846
chr1	92934335	92934680	28.524429141611293
chr1	93029981	93031045	20.477601330083115
chr1	93237037	93237390	15.61819560669637
chr1	93343231	93343898	19.381808966532283
chr1	93363939	93364680	23.48570359058869
chr1	93380385	93380784	33.963143320011916
chr1	93462873	93463943	33.34045222585446
chr1	93478035	93479221	29.487511544766353
chr1	93511612	93511989	29.716916425790963
chr1	93529030	93529365	22.582444390254235
chr1	93529640	93529906	17.001242279110098
chr1	93537229	93538185	44.72491554036799
chr1	93603800	93604562	46.0160806297943
chr1	93635929	93636205	31.762061374774877
chr1	93667978	93668926	37.22492208259518
chr1	93672185	93672730	33.464030992000474
chr1	93702867	93703293	24.893819759709174
chr1	93713275	93713688	19.59185705923861
chr1	93747514	93747759	37.57040401380889
chr1	93790881	93791199	52.41952873925743
chr1	93791555	93792343	44.886840491125426
chr1	93803468	93803763	35.23187340558585
chr1	93825139	93825538	33.915922743336004
chr1	94086763	94087038	36.60323389920321
chr1	94087386	94088035	41.262332713475395
chr1	94090607	94091332	28.26879415643626
chr1	95451927	95452340	51.70440286239181
chr1	95748827	95749395	20.00224594499024
chr1	96061681	96062110	30.48076337534231
chr1	96842997	96843965	36.91628533946581
chr1	97726955	97727298	27.738977165333385
chr1	97760267	97760658	12.553553745874664
chr1	97769839	97770445	21.847333908081055
chr1	97790618	97790982	25.969051633562362
chr1	97799516	97800714	38.736805876825805
chr1	98197841	98198252	18.17495289220137
chr1	98198540	98198798	14.912531656812329
chr1	103257978	103258978	25.66908656835556
chr1	103867974	103868547	17.844589051983952
chr1	105663420	105663719	20.384602435057776
chr1	105989875	105990230	14.29522155036389
chr1	106077223	106078019	15.38767806549168
chr1	106541189	106542420	36.52792076866962
chr1	107960787	107961105	14.092851329899434
chr1	108581226	108581740	29.354827413299205
chr1	108581992	108582334	28.89702824821249
chr1	109594742	109595155	13.676046736303888
chr1	110903872	110904364	25.478221691720854
chr1	111048176	111048803	13.435696007912618
chr1	112018208	112018464	16.614908166229725
chr1	112457314	112457718	19.41447135245446
chr1	114573707	114574505	20.72640253427931
chr1	116701582	116702002	19.634033532369706
chr1	118321140	118321667	22.86882666528112
chr1	118336939	118337302	23.429022909852755
chr1	118338977	118339252	21.695618282664906
chr1	118357321	118358043	25.463144668251523
chr1	118388527	118389161	33.659824087040654
chr1	118619258	118620702	22.891466183345404
chr1	118647886	118648531	19.75899954729302
chr1	118662538	118663085	14.339031392957
chr1	118757059	118757778	19.310202513682825
chr1	118975782	118976331	21.53120150331591
chr1	119369525	119369797	16.98012425619013
chr1	119521160	119522091	27.733356252520732
chr1	119582048	119582810	25.179715976314593
chr1	119649372	119650410	37.65552056318074
chr1	119913224	119913525	33.41370858227296
chr1	120033318	120033592	15.202635552761329
chr1	120042350	120042823	17.29907615492258
chr1	120084124	120084390	25.41531693666501
chr1	120120811	120121597	19.053973178523794
chr1	120212871	120213321	19.706288390689426
chr1	120213674	120214141	18.711078700978444
chr1	120239096	120240111	21.873372207134228
chr1	120266148	120267648	48.71877582486471
chr1	121506563	121506959	16.075760956966516
chr1	121528236	121528849	12.225071190620907
chr1	121578750	121579628	14.511858008717079
chr1	122539117	122540020	19.61415437580079
chr1	123133919	123134320	31.338340956671278
chr1	125165036	125165287	14.2737470869999
chr1	125430101	125430364	15.408832553674966
chr1	125514912	125515803	16.963577687941015
chr1	125560586	125560857	22.637495325940122
chr1	126512093	126512420	14.309738258338484
chr1	127107605	127108573	25.580465761590595
chr1	127170465	127170854	24.692811046590535
chr1	127171217	127171525	39.69338008954927
chr1	127321360	127321686	17.76871495451664
chr1	127789461	127789720	17.234491421909407
chr1	127868684	127869110	16.776000591510897
chr1	128097023	128097347	22.987416049580514
chr1	128102788	128103098	49.24598100108485
chr1	128108612	128109100	21.355844569987937
chr1	128244146	128244512	22.57373689432613
chr1	128268318	128268829	24.680369791452666
chr1	128278343	128278681	19.725893793726815
chr1	128302535	128302832	15.62834073397447
chr1	128323989	128324362	23.620039929653302
chr1	128459249	128459696	24.529558612729613
chr1	130241608	130242167	22.90928648366911
chr1	130245948	130246427	23.447877346349408
chr1	130351726	130352377	25.30369299934024
chr1	130462506	130463052	18.81516068846315
chr1	130715391	130715894	39.45762278972042
chr1	130734761	130735488	18.873183373079996
chr1	131160943	131161613	15.510983918318107
chr1	131227998	131228520	15.809530197888956
chr1	131527115	131527773	26.521334706106447
chr1	131561844	131562137	25.405252134433784
chr1	131853271	131853663	30.7498966479788
chr1	131859152	131859541	34.41122070253662
chr1	131867222	131867517	29.673806562262065
chr1	131969501	131970405	58.90927241439313
chr1	132114233	132114636	20.14810391158679
chr1	132115034	132115503	26.471114573448197
chr1	132205769	132206758	28.72546011227568
chr1	132211896	132212528	31.44847626625737
chr1	132292576	132293016	27.63318215716969
chr1	132316084	132316431	23.22477784555309
chr1	132450547	132450845	28.065374608007854
chr1	132477354	132477615	26.5957599764126
chr1	132595964	132596279	17.06714681595091
chr1	132733154	132733480	17.59861052401958
chr1	132784399	132784645	15.240140407066034
chr1	132893319	132893964	15.552521165951278
chr1	132935206	132935640	18.31116037984048
chr1	133084090	133084439	22.659955202337663
chr1	133113300	133113998	27.196133990684007
chr1	133118499	133118832	30.906631945131778
chr1	133146240	133146720	36.43697979052862
chr1	133177235	133177941	18.2355638050155
chr1	133309707	133310052	26.735013934149258
chr1	133326892	133327186	30.35128620692662
chr1	133424636	133425175	20.81249439649989
chr1	133475794	133476337	20.30460728773535
chr1	133617573	133617893	15.36501536667347
chr1	133649889	133650230	18.92330896819442
chr1	133650539	133650981	23.275401913742133
chr1	133760732	133761391	26.01110595419483
chr1	133885732	133886478	15.597088378492053
chr1	134070693	134071159	19.357494289782938
chr1	134225799	134226915	22.636250318592168
chr1	134244101	134244949	18.22231888771057
chr1	134261468	134262064	11.17629675257126
chr1	134276458	134277067	28.005782373237295
chr1	134338447	134340084	31.69414087527397
chr1	134382324	134382757	34.32658284035346
chr1	134405759	134406322	20.118552033473502
chr1	134435292	134435774	19.92843437986255
chr1	134494618	134494881	29.00739241190283
chr1	134498390	134498728	18.465945114045454
chr1	134610992	134611860	28.15020935271742
chr1	134895608	134896227	18.301853475740153
chr1	134918032	134919149	23.892771812240888
chr1	134936521	134936770	29.68442300237326
chr1	134961958	134962785	17.160414692280227
chr1	135177650	135178301	23.617638932211975
chr1	135245462	135245983	31.653610213933202
chr1	135258827	135259162	27.16453054058018
chr1	135260250	135261537	29.285631162025435
chr1	135313400	135314029	28.918544886032613
chr1	135381979	135382448	21.26389988449845
chr1	135430214	135430992	14.817039580455477
chr1	135447635	135447976	39.6846100983382
chr1	135460425	135460707	18.359378534005888
chr1	135489113	135489492	15.554466291593688
chr1	135631874	135632332	23.273315658735918
chr1	135668309	135668754	17.952564338084017
chr1	135691911	135692856	25.05706435410434
chr1	135730331	135731556	30.44069276615065
chr1	135833988	135834306	11.89484938885431
chr1	136017532	136017868	16.230903812817164
chr1	136139105	136139516	22.589466308445246
chr1	136158387	136158718	14.88918176230347
chr1	136390987	136391292	26.079867184748416
chr1	136415000	136415882	26.90142839998345
chr1	136436914	136437416	23.071826136919608
chr1	136438172	136438425	21.845155919493422
chr1	136576203	136576515	30.803622832665077
chr1	136735062	136735966	30.611550720392074
chr1	136758690	136759967	49.826597900808835
chr1	136774043	136774335	18.042385333204923
chr1	136953787	136954297	33.06264007792753
chr1	136980140	136980437	46.944852565675475
chr1	136988875	136990353	39.2905435149176
chr1	137003048	137003962	33.34927851679028
chr1	138955777	138956053	18.25427624453669
chr1	138956903	138957653	22.732325594584147
chr1	138962880	138963239	18.414614754466957
chr1	138975154	138975482	23.884246198142446
chr1	138975924	138976489	18.141693714445672
chr1	139494327	139494614	24.550960826541488
chr1	139494873	139495277	24.01944879494091
chr1	141244349	141245021	17.86583280989102
chr1	143543379	143543948	15.373461041173952
chr1	143549154	143549713	12.44952247906243
chr1	143762297	143762619	19.33150132990772
chr1	143776770	143777082	16.37606015572181
chr1	145557088	145558180	32.05263959444486
chr1	146331146	146331453	17.695954478136493
chr1	146426622	146426978	25.376941246932812
chr1	146485324	146485774	19.69931282467312
chr1	149465290	149465684	13.74598061372786
chr1	149649410	149649841	18.122995342290043
chr1	150392768	150393025	19.795169737552392
chr1	150480020	150480302	22.466854609496206
chr1	150556984	150557686	22.615791229780584
chr1	151055710	151056004	19.10481778942809
chr1	151254507	151255878	33.348138567133596
chr1	151270000	151270801	41.76519873020205
chr1	151289791	151290291	17.67287470817566
chr1	151343945	151344712	26.896812804519275
chr1	151399438	151399774	22.434266062009904
chr1	151437765	151438083	26.84318128621803
