chr	start	end	8Cell_siTfap2c_Tead4_ds
chr7	25265956	25266399	34.98125441402668
chr7	25267214	25268262	39.25060026518261
chr7	25309834	25310436	35.92294287443953
chr7	25316364	25316663	26.49935932861124
chr7	25395685	25396111	24.860015551249187
chr7	25600874	25601484	15.18739079725547
chr7	25619454	25619799	18.78539248480313
chr7	25636308	25636659	20.75292980704892
chr7	25658049	25658355	23.006464577967826
chr7	25694642	25694908	15.332591974645629
chr7	25700165	25700442	20.86276758104455
chr7	25754953	25755569	23.534217702877985
chr7	25816812	25817613	34.03317242883118
chr7	25825484	25826270	27.620713337080474
chr7	27011238	27012780	17.27121109504799
chr7	27145356	27145736	29.28433265686035
chr7	27178653	27179203	17.978900713487104
chr7	27195819	27196191	24.095321409163937
chr7	27219005	27219295	41.69813649407749
chr7	27270036	27270571	20.86987870653099
chr7	27300227	27301017	22.406006920488576
chr7	27315896	27316144	23.349683800051288
chr7	27326094	27326467	22.98392103057125
chr7	27447363	27447691	23.418099415011522
chr7	27447975	27448221	22.325254672911107
chr7	27473359	27473971	27.958826314390095
chr7	27474230	27474550	20.686393678188324
chr7	27507868	27508735	28.55447838463173
chr7	27520319	27520703	25.88716573516528
chr7	27525514	27525775	16.206748374120487
chr7	27540443	27540995	17.103973426680636
chr7	27553288	27553610	10.022194201161403
chr7	27646765	27647827	38.005881678586626
chr7	27695283	27695571	22.09216750992669
chr7	27704022	27704469	27.503539377677626
chr7	27763429	27763676	28.782664843416406
chr7	27774458	27775272	22.784695817738843
chr7	27782742	27783068	21.568845503169335
chr7	27794188	27794763	15.907741097160008
chr7	27818505	27819309	26.742260210549652
chr7	28124025	28124698	15.965901138169627
chr7	28172378	28172834	14.881726775253028
chr7	28179505	28179861	14.52498739756895
chr7	28255458	28255910	18.034530207119158
chr7	28263159	28263412	16.934245380959492
chr7	28325972	28326227	19.089883677164714
chr7	28373053	28373400	33.59114447931735
chr7	28392330	28392598	19.75614686866305
chr7	28436562	28437041	23.142743877179935
chr7	28447502	28448938	24.874995361795666
chr7	28646853	28647106	17.638458263261516
chr7	28726438	28726696	18.760406094928122
chr7	28732477	28733322	16.186692382880217
chr7	28786289	28786721	20.943826721774208
chr7	28846517	28846847	33.59204450087114
chr7	29017124	29017576	22.0894018147899
chr7	29137655	29138064	33.56193214640349
chr7	29140491	29140789	22.410462808288983
chr7	29155820	29156233	20.339407089547443
chr7	29170198	29170717	26.793944147510565
chr7	29180536	29181062	20.821334389226063
chr7	29187531	29187853	20.514844530117436
chr7	29216638	29217274	59.32115957272128
chr7	29247019	29247318	16.666004962347024
chr7	29248511	29249122	23.72505101205479
chr7	29277453	29277787	34.045763135670185
chr7	29287179	29288178	35.457236688058295
chr7	29296889	29297229	21.29254376187044
chr7	29306857	29307211	18.66037057348564
chr7	29350342	29351078	18.901346950427346
chr7	29383041	29383410	19.940068686880718
chr7	29404053	29404835	29.751034886635782
chr7	29455316	29455586	24.39075338575575
chr7	29469568	29470261	18.64556535360273
chr7	29494241	29494552	18.28352370982768
chr7	29565446	29565695	22.167671870036298
chr7	29628514	29628954	14.605799380215732
chr7	29629517	29629832	15.602730932689848
chr7	29725679	29726119	25.046130873940207
chr7	29819004	29819297	20.55366163611819
chr7	29883450	29884288	29.105971833686556
chr7	29913852	29914460	27.725164880878047
chr7	29914707	29915496	32.07910604440667
chr7	29967608	29967889	60.797628721732686
chr7	29968496	29969751	76.1704423182514
chr7	29974738	29975234	42.126670798947735
chr7	29980594	29982467	72.35273649599613
chr7	30077603	30078417	29.546061186591295
chr7	30090153	30090476	28.876925099375818
chr7	30156406	30156949	26.385735799814018
chr7	30169840	30170104	32.81696745121118
chr7	30197944	30198395	22.048502621788142
chr7	30231865	30232665	23.11008674800396
chr7	30264555	30265080	27.391990025838215
chr7	30265754	30266139	41.6394183468509
chr7	30280104	30280881	31.583225573045098
chr7	30373814	30374140	13.89489138492046
chr7	30490450	30490781	18.03931697257696
chr7	30551752	30552359	19.554337162162366
chr7	30588904	30589652	28.801404629161652
chr7	30602448	30602734	46.645603253291206
chr7	30625777	30626092	32.02844436887711
chr7	30681155	30681488	15.569871677650704
chr7	30717362	30717839	17.89893287082888
chr7	30829100	30829551	28.02838439687657
chr7	30829858	30830904	35.220516367122734
chr7	30902241	30902677	19.533160183407844
chr7	30973533	30974187	17.155645210079463
chr7	34133590	34133890	14.597723801930746
chr7	34233694	34233941	18.70613898535972
chr7	34369238	34369493	16.077666465908873
chr7	34409363	34410039	30.43606400348731
chr7	34420840	34421253	16.180597790216996
chr7	34598298	34598668	20.569525904268833
chr7	34619101	34619358	19.302471409511938
chr7	34721074	34722267	50.33570357400234
chr7	34917479	34918091	14.341116878526663
chr7	34943910	34944667	15.296321718349482
chr7	35076501	35076990	19.318471341045356
chr7	35388585	35388858	18.30013249645303
chr7	35396056	35396818	19.461836137796638
chr7	37280333	37280928	18.60038939884731
chr7	38030229	38030742	36.81064599764045
chr7	38109155	38109466	43.09834309789529
chr7	38111827	38112633	52.09308905873642
chr7	38201257	38201668	22.829000041432625
chr7	38227279	38227972	20.20654548711075
chr7	39447474	39447998	20.499720356846584
chr7	39469353	39469727	18.923284270546652
chr7	41393470	41393814	13.077888285004816
chr7	41499458	41499865	28.424191615505357
chr7	41528880	41529354	17.535079742785747
chr7	41574060	41574340	18.917076894215175
chr7	41582370	41582783	21.909943954707924
chr7	41633147	41633882	18.596138865931504
chr7	42513102	42513846	30.960851843639087
chr7	42852878	42853194	17.616104946860784
chr7	42987101	42987617	16.132613048997037
chr7	42995585	42995848	10.546540231305837
chr7	43167389	43167696	36.15735874735183
chr7	43178686	43179211	22.35658276149205
chr7	43256389	43256863	50.80245783761584
chr7	43267425	43267859	18.974229951058664
chr7	43276547	43276848	28.87516540071101
chr7	43328845	43329111	20.305759494465992
chr7	43442939	43443962	32.71595171446441
chr7	43450441	43451125	31.750508902365702
chr7	43465571	43466052	28.300802191181145
chr7	43556717	43557762	46.291018795396724
chr7	43672050	43672365	19.236706203884548
chr7	43855276	43856404	22.378725454316918
chr7	44297432	44297926	22.239180458702055
chr7	44305114	44305561	42.214739840036
chr7	44334246	44334981	15.983505670067405
chr7	44374931	44375996	33.73069127221623
chr7	44468055	44468358	12.337143737490814
chr7	44534972	44535430	23.905734520291656
chr7	44748176	44748843	15.162658950914329
chr7	44815588	44816227	25.97109067346755
chr7	44848694	44849191	31.242716067753566
chr7	44901380	44901758	17.67317282712018
chr7	44965927	44966602	18.39363796092846
chr7	44986896	44987202	38.64276447171479
chr7	44997280	44998030	24.885456822713216
chr7	45017376	45017669	36.25383406368945
chr7	45036943	45038520	57.3602676947962
chr7	45110407	45110817	28.452985740289456
chr7	45111699	45111958	29.541570096402555
chr7	45124747	45125074	34.43200116055456
chr7	45154341	45155452	30.86589348498601
chr7	45211931	45212526	22.795975965612076
chr7	45223973	45224249	13.58652098628058
chr7	45305106	45305671	14.187811858253141
chr7	45311735	45312362	19.126271261552876
chr7	45340955	45341306	18.081292051875014
chr7	45360965	45361320	20.6603270248628
chr7	45434401	45435060	20.200053767839584
chr7	45442067	45442716	31.93405203679677
chr7	45510002	45510630	19.656407638719887
chr7	45558800	45559171	27.58216384414714
chr7	45579970	45580383	28.37030832415343
chr7	45590753	45591228	24.411187635722914
chr7	45643400	45643672	21.556127113454483
chr7	45735196	45735598	20.66772323817163
chr7	45765922	45766467	23.16281953164197
chr7	45799735	45801264	42.8509085126918
chr7	45814032	45814673	24.610196222195203
chr7	45873625	45873949	12.380416247579786
chr7	45911272	45911959	20.28364582700327
chr7	46021662	46021972	21.924961422335716
chr7	46044218	46045296	31.93348638467311
chr7	46723039	46723502	23.205168483066764
chr7	46770385	46771112	74.96533888668601
chr7	46958135	46958452	12.499009454287942
chr7	47009788	47010128	21.3145289589377
chr7	49476262	49477188	20.254678791079098
chr7	49492794	49493423	17.90704381484864
chr7	49600239	49601317	28.219382289610458
chr7	49778357	49778666	8.893646956261694
chr7	49983290	49983767	13.11723915336017
chr7	52006074	52006506	16.659247625757146
chr7	52691165	52691884	15.867339810011947
chr7	53950922	53951465	15.271504135202088
chr7	59228180	59228751	12.381515949703557
chr7	60016708	60017077	24.92728357651046
chr7	60030181	60030479	16.30666385241003
chr7	63736996	63737911	13.676335511963224
chr7	63939196	63939571	36.095654876708984
chr7	63945857	63946539	31.61054686996594
chr7	63977843	63978518	15.765287010758012
chr7	64000610	64000977	24.077667540360537
chr7	64322776	64323252	17.961198512245627
chr7	64392330	64393153	17.21177642806043
chr7	64585154	64585494	14.508801906249102
chr7	64809567	64809986	21.922099816770714
chr7	64897397	64898129	25.99292220574259
chr7	64905108	64906251	25.648587911043474
chr7	65382699	65382983	51.22260609479018
chr7	65430159	65430883	40.99612775823688
chr7	65469309	65470319	31.463932111947845
chr7	65481843	65482851	36.65409887972332
chr7	65816878	65817452	26.263598415494382
chr7	65873054	65874181	26.514418309202423
chr7	66160570	66161411	24.42406650388992
chr7	66315815	66316886	18.09915517291435
chr7	66377208	66377543	14.505619797777774
chr7	66388982	66389256	13.755803786925156
chr7	66567776	66568712	18.668290053677357
chr7	68259599	68261483	35.53137238820394
chr7	68412533	68413181	18.07344283365909
chr7	70275625	70275896	9.896674715724819
chr7	70361832	70362153	13.719161895205298
chr7	70379962	70380799	18.72359415222952
chr7	70754425	70755544	17.515362019832907
chr7	71216852	71217382	12.852220888857572
chr7	71456745	71457022	12.108648985301544
chr7	71463912	71464493	28.1964889171817
chr7	72044291	72044990	17.59878976491729
chr7	73000426	73000709	13.838562594706936
chr7	73479828	73480388	20.772590728316988
chr7	73577846	73578183	16.879244623269102
chr7	73601839	73602090	32.93129753021605
chr7	73617531	73618039	47.14608661771759
chr7	73643776	73644813	41.52797249910802
chr7	75415283	75415650	23.441061422675443
chr7	75455261	75455576	14.959258791000124
chr7	75789735	75790211	24.2859430613638
chr7	75797912	75798984	49.8531509157437
chr7	75799304	75799727	36.48137263936072
chr7	75807414	75808136	31.840731756839066
chr7	75820390	75820700	20.923532362907164
chr7	78768903	78769343	16.92129125811837
chr7	78822323	78823086	18.920401840659924
chr7	78895061	78896158	18.858575839179153
chr7	79164388	79165080	29.050927820922322
chr7	79222375	79223443	54.501936666974416
chr7	79387408	79388131	31.73471771664969
chr7	79473077	79474151	33.37452537920222
chr7	79613171	79613459	10.505261050330269
chr7	79654391	79654774	46.97649937323428
chr7	79803613	79803986	24.30815677796228
chr7	79868168	79868485	16.7865013670094
chr7	79909475	79910055	15.882793081217798
chr7	80030742	80031034	27.463441927139073
chr7	80143926	80144310	34.566223402818046
chr7	80158195	80159007	49.468089672145
chr7	80168206	80169076	33.394069292353485
chr7	80215319	80215684	15.134285777888886
chr7	80232314	80232927	15.88402229109946
chr7	80256758	80257544	22.236368762931143
chr7	80261274	80261592	15.78767444202735
chr7	80283203	80283502	17.22975484344074
chr7	80294497	80294779	18.767784165997877
chr7	80526805	80527149	19.298965240633766
chr7	80534858	80535491	20.369091341280825
chr7	80556713	80557137	17.851687748477143
chr7	80567799	80568103	15.454912377031226
chr7	80797375	80797727	21.866869476708498
chr7	80798548	80798795	22.973439560245406
chr7	80823386	80824237	31.81919758188178
chr7	80930482	80931121	32.48054837210451
chr7	81083983	81084233	12.584254756927491
chr7	81166498	81167253	37.73450615863926
chr7	81212551	81213128	14.72106143548129
chr7	81731748	81732104	17.869299009944616
chr7	81762686	81763155	16.047856945981348
chr7	81823015	81823417	15.214194154264915
chr7	82040405	82040795	23.661623196724133
chr7	82260591	82261017	14.184257026009716
chr7	82778215	82778935	23.53680937157737
chr7	82785491	82785975	34.4183165849733
chr7	82794000	82795390	59.239456416891635
chr7	82866311	82867067	23.295157561226496
chr7	82890778	82891225	12.50355655448282
chr7	83631977	83632303	10.563513597827747
chr7	83849050	83849739	20.97881325581942
chr7	83891578	83892255	30.391104964421103
chr7	83902760	83903044	58.99091151062871
chr7	83903385	83903760	30.738767064412436
chr7	83994279	83994962	26.751835608028564
chr7	84141317	84141602	10.978921532212642
chr7	84167919	84168547	16.5714492144858
chr7	84248195	84248508	10.81820984008594
chr7	84831999	84832853	22.70061959092455
chr7	87202385	87203078	16.855215149696427
chr7	88460390	88460636	13.08378806928309
chr7	89403857	89404248	24.817984522456097
chr7	89808855	89809253	19.591507751138966
chr7	89938421	89938983	32.04460822305646
chr7	89949289	89950250	49.333707176311705
chr7	89975763	89976113	35.11681519099644
chr7	89997748	89998616	14.756102888265513
chr7	90129536	90129975	21.2076902530731
chr7	92586033	92586295	20.81936960001938
chr7	92614782	92615248	28.465431094681243
chr7	92637222	92637476	18.274618220141555
chr7	92874457	92875174	20.186340121877077
chr7	93389018	93389721	25.10147931803002
chr7	96630800	96631277	23.852585014807104
chr7	96916006	96916342	15.840432794321151
chr7	96984500	96984820	25.103718370199203
chr7	97438147	97438583	17.945156412387114
chr7	97448369	97448749	25.794696326004832
chr7	97449777	97450198	26.095389286865814
chr7	97734661	97734954	14.363894856423649
chr7	98169592	98169932	18.46547780317419
chr7	98181771	98182047	16.338636270467784
chr7	98322400	98322716	12.758003028133247
chr7	98347708	98348469	24.689764781004495
chr7	98423461	98423984	13.34040292863864
chr7	98815916	98816217	15.538057054792132
chr7	99079382	99079633	11.841325222258549
chr7	99141215	99141791	20.649346767200363
chr7	99380966	99381654	16.49856283775596
chr7	99485759	99486717	47.66189431447326
chr7	99598929	99599865	23.793826137852466
chr7	99743870	99744815	21.511470476786297
chr7	99753712	99753981	15.653372378154314
chr7	100227364	100227644	22.498557465417043
chr7	100433516	100434021	18.831039088787417
chr7	100537052	100537308	17.919311717152596
chr7	100677701	100678044	31.18984643919475
chr7	100678994	100679604	34.16112548171497
chr7	100716683	100717024	44.73469253719028
chr7	100725890	100726263	41.431702324915825
chr7	100930919	100931312	21.53735084145427
chr7	101294856	101295148	16.510194442043566
chr7	101306657	101307389	29.359543143725787
chr7	101354503	101354784	17.004645866855608
chr7	101663229	101663477	22.639906690966697
chr7	101663737	101663987	26.068924606323243
chr7	101715420	101715978	15.512924032826577
chr7	101806717	101806977	14.537524626805233
chr7	101812058	101813146	27.150102646911847
chr7	101853006	101853338	18.90079010538308
chr7	101866773	101867065	40.45164616467201
chr7	101873355	101873681	29.426050092545022
chr7	101883849	101884115	40.52329274944793
chr7	101896025	101896977	35.46295886781035
chr7	101933576	101933840	28.246598561604817
chr7	101934123	101934400	22.403309143837607
chr7	102065264	102065751	19.069206854645966
chr7	102202626	102202928	22.060644516092264
chr7	102209935	102210233	30.841256935324445
chr7	102224363	102224862	21.092767136369297
chr7	102232128	102232634	25.483611287806816
chr7	102269793	102270470	23.01944572429009
chr7	102351139	102351468	21.894219450675244
chr7	102419918	102420218	33.93925100326538
chr7	102472264	102472522	13.670238313748856
chr7	102967059	102967924	27.80033887686757
chr7	104217101	104217578	33.21246611797085
chr7	104724198	104725118	16.847710530654243
chr7	104835478	104836017	16.861367821914587
chr7	104845221	104845495	17.559763177467957
chr7	105545550	105546027	38.57566607573247
chr7	105561420	105561731	22.173481447520363
chr7	105650948	105651338	11.261825749812981
chr7	105736089	105736389	18.235592883427937
chr7	107573760	107574786	38.03239862728305
chr7	107594613	107595021	41.49897856805839
chr7	107600352	107601585	43.200778962728556
chr7	107757832	107758803	19.634630446821973
chr7	109613617	109614171	34.59477571632027
chr7	109629292	109629828	20.62593410797973
chr7	109649193	109649575	30.102894788013078
chr7	109708940	109709564	29.294944427334347
chr7	109767330	109768104	18.486109554921626
chr7	109792990	109793446	24.4082962839227
chr7	109793993	109794293	28.484220886230467
chr7	109964723	109965451	25.411824082280255
chr7	110005149	110005545	45.76569793681906
chr7	110005817	110006225	40.59947910495833
chr7	110060964	110061330	32.858785738710495
chr7	110068788	110069417	34.38262152254866
chr7	110081593	110082610	37.54866060277588
chr7	110164568	110165190	19.72251782156647
chr7	110556157	110556440	12.349519965505431
chr7	110645669	110646073	29.27958052229173
chr7	110733266	110733558	12.714207583910799
chr7	111083059	111083462	26.39267179332951
chr7	111105710	111106441	24.79090448476058
chr7	111122458	111123068	22.35958797423566
chr7	111254503	111254774	20.45075253630916
chr7	112497939	112498523	15.50913980970644
chr7	112595063	112595426	17.35719270942625
chr7	112615574	112615985	22.71480145419601
chr7	112678961	112679324	44.65086407306766
chr7	112780696	112781391	21.43011556254874
chr7	113206942	113207221	21.275312751852056
chr7	113369561	113369827	21.372580341826705
chr7	113961720	113962425	18.468926233602755
chr7	114116844	114117406	18.93329132918361
chr7	114183175	114183528	19.864695773246268
chr7	114275796	114276078	13.032655506269306
chr7	115784165	115785009	26.182711800692772
chr7	116374078	116374505	36.664296791201735
chr7	116374759	116375127	30.103004196415778
chr7	116444055	116445109	35.730523307590374
chr7	116461908	116462711	27.82246209378557
chr7	117229375	117230181	17.29287603297837
chr7	117506085	117506402	13.13841577584059
chr7	117965517	117966062	15.94950994089109
chr7	118129793	118130177	22.14215997606516
chr7	118169850	118170224	32.16162288380179
chr7	118205445	118205737	18.62193098786759
chr7	118243803	118244050	30.238226709095574
chr7	118276834	118277520	51.92760885422153
chr7	118451907	118452220	20.378740231449992
chr7	118532662	118533357	19.707862193978947
chr7	118548755	118549059	14.693408589614066
chr7	118554762	118555050	19.376943326658672
chr7	118740391	118740978	18.443157135932573
chr7	118798680	118798979	17.979012862495754
chr7	118841988	118842317	21.446731625356936
chr7	118855397	118856032	16.813811994537595
chr7	119749901	119750220	22.232737902937263
chr7	119769824	119770259	12.615509062251826
chr7	119808813	119809479	30.162625510413367
chr7	119861137	119861613	19.81469914292087
chr7	119935992	119936274	14.534542536904626
chr7	120101948	120102197	23.75291498789347
chr7	120661722	120662687	43.177121976743706
chr7	120815782	120816365	16.254881907899833
chr7	120823557	120824569	16.65278747618905
chr7	120847138	120847395	32.901361391238204
chr7	121995773	121996139	21.418105808112138
chr7	122109905	122110360	21.746802361456904
chr7	122919967	122920278	12.716129861077311
chr7	123051982	123052362	32.29951537282843
chr7	123052625	123052905	35.33857161658151
chr7	123226815	123227188	35.07364794140527
chr7	123227993	123228660	26.219572985190144
chr7	124358684	124359046	19.488703461641766
chr7	124639092	124639381	14.94662608572356
chr7	125393894	125394171	14.554262880814205
chr7	125444807	125445546	22.720901053071184
chr7	125484257	125484943	17.37399007697147
chr7	125491121	125491403	14.500484091170291
chr7	125610157	125610436	14.086666213141548
chr7	125716594	125717144	25.79969782742587
chr7	125765615	125766238	12.567282592504021
chr7	126033373	126033826	12.217848152514325
chr7	126219652	126220296	33.12290849300645
chr7	126226619	126226917	22.72909662387515
chr7	126227877	126228191	24.64227406690075
chr7	126262154	126262752	20.2036394658296
chr7	126322965	126323836	36.313680543691504
chr7	126329564	126329841	42.19541059418275
chr7	126377600	126377847	30.16477614954898
chr7	126392448	126392903	34.898063647092044
chr7	126427226	126428218	25.740367866331532
chr7	126428970	126429327	21.31260330670354
chr7	126505307	126506049	32.52952109642749
chr7	126516279	126516731	25.967272462043088
chr7	126525204	126525536	25.227830415748688
chr7	126565942	126566342	19.160177919864655
chr7	126614007	126614273	17.859280729652347
chr7	126649334	126649632	27.082299149276427
chr7	126670335	126670723	23.723111735176794
chr7	126693485	126693855	21.509475630682868
chr7	126695387	126695817	17.389234597183936
chr7	126722801	126723483	25.93541439117924
chr7	126729437	126729781	24.084182783614757
chr7	126856514	126857095	24.62326954564211
chr7	126862005	126862283	21.55522319052717
chr7	126920237	126921096	18.845167846146783
chr7	126933707	126933992	24.361033844529537
chr7	127017035	127017315	22.841458831514633
chr7	127111299	127111614	14.088856909010145
chr7	127195596	127196404	24.05504068997827
chr7	127208779	127209528	42.70005834755178
chr7	127231714	127232090	28.222623551145514
chr7	127253639	127253935	21.797820445653553
chr7	127264800	127265172	32.916703685637444
chr7	127366042	127366756	23.23107845843339
chr7	127406909	127407252	14.988409250887768
chr7	127422175	127422443	18.776910732041543
chr7	127469304	127469612	30.49455098362712
chr7	127470670	127471430	24.747524866932316
chr7	127478138	127478478	50.24116682725794
chr7	127516919	127517450	24.04473606116803
chr7	127562480	127563299	62.54145891122038
chr7	127617282	127617642	20.491906588607364
chr7	127668681	127669364	30.689563160584925
chr7	127745268	127745761	23.9678472070133
chr7	127759754	127760022	31.04538984796894
chr7	127788703	127789497	20.954901632794204
chr7	127800188	127800491	16.671325828375988
chr7	127809819	127810106	23.919907493458393
chr7	127825531	127825944	20.099173407289076
chr7	127876571	127877125	19.42043104843112
chr7	127895471	127896835	45.83121809686733
chr7	127903853	127904473	21.200556988869945
chr7	127966772	127967164	28.600145232920745
chr7	128233256	128233594	23.132407385922043
chr7	128238086	128238406	38.752415120601654
chr7	128238668	128239081	22.01067789183979
chr7	128315872	128316170	17.631226718825783
chr7	128499897	128500666	47.75323375272813
chr7	128602508	128602801	14.931893120853568
chr7	128603075	128603422	22.62158807210345
chr7	129662070	129662395	26.243889559232272
chr7	129807198	129807586	17.008703289572725
chr7	129949011	129949359	12.21942411345997
chr7	129954989	129955772	26.263230712325484
chr7	130091871	130092152	15.839116191524628
chr7	130164838	130165352	16.913523944899264
chr7	130236751	130237467	28.020540535782967
chr7	130435336	130435735	30.421882251749064
chr7	130447906	130448469	18.52256730860546
chr7	130492799	130493088	21.569055002865905
chr7	130846486	130847291	32.517609606322296
chr7	130982264	130983055	14.731884098535241
chr7	132875636	132875916	21.873716293062483
chr7	132957965	132958632	14.938740557280259
chr7	133029255	133029565	17.774669385725453
chr7	133040772	133041882	34.32099796200658
chr7	133310978	133311559	32.90629523141043
chr7	133709082	133709692	20.605451427522254
chr7	133782947	133783209	13.75876328417363
chr7	134271842	134272474	19.27879540980617
chr7	134895682	134896339	12.501498233237767
chr7	136444287	136444688	17.332565143518615
chr7	137410236	137411284	27.757793887880922
chr7	137426918	137427352	45.3572603436659
chr7	137649536	137649822	20.71727473252303
chr7	137765379	137765998	12.617479029302643
chr7	138776619	138777075	14.322578781529478
chr7	138845502	138846185	14.798097412198738
chr7	138861111	138861388	26.48188741112444
chr7	138913635	138913912	42.85399954069393
chr7	139108192	139109353	31.628913729073773
chr7	139118289	139118611	11.827834549897947
chr7	139188610	139188939	13.735772687975759
chr7	139281300	139281916	13.172503205088827
chr7	139363500	139364635	26.487319309805983
chr7	139388406	139389038	24.34115931052196
chr7	139699139	139700034	24.74436289824587
chr7	139802681	139803331	14.341394073046171
chr7	139975399	139976257	36.49087380029105
chr7	140001262	140001619	11.119472959128414
chr7	140036371	140036728	29.404913560349065
chr7	140120671	140121012	14.037653595820899
chr7	140857075	140857418	16.99141593299176
chr7	140881905	140882524	18.46864795453714
