chr	start	end	EXE_E65_Tead4_ds
chr8	66920370	66920643	21.390046797392568
chr8	69193220	69193519	16.056322927060336
chr8	69256632	69257161	28.38414814521775
chr8	69554454	69555049	10.727625108766956
chr8	69600315	69600856	17.292305278249238
chr8	69625240	69625579	38.73442463044923
chr8	69716525	69717343	25.027893390515615
chr8	69774643	69774930	32.278266823665604
chr8	69790904	69791352	16.491085923143796
chr8	69822322	69822956	17.813784029205515
chr8	69832305	69832919	24.63929321400894
chr8	69996269	69996833	27.874611421679774
chr8	70131495	70131796	15.18632905269382
chr8	70139021	70139655	21.69756548938691
chr8	70212368	70212756	41.805859885264915
chr8	70234200	70234476	33.43167669876762
chr8	70477099	70477582	28.643779422925867
chr8	70506447	70506813	31.8982902068258
chr8	70538924	70539492	36.30228748455853
chr8	70630077	70630819	18.843433985491647
chr8	70659970	70660313	19.86321757625213
chr8	70673306	70673738	30.34962703122033
chr8	70776840	70777219	32.764018358215495
chr8	70792540	70792881	48.12481698961901
chr8	70865721	70866202	29.569897229359203
chr8	71272359	71272966	17.242442951956534
chr8	71366976	71367493	33.50940398136928
chr8	71396822	71397106	18.995268663889924
chr8	71488258	71488527	18.923428400741635
chr8	71569543	71570508	58.10358762592849
chr8	71602675	71603147	16.243821408789035
chr8	71610488	71610990	17.25011656673781
chr8	71660567	71660892	18.506739117549017
chr8	71908186	71908894	15.741468273313705
chr8	71922803	71923104	21.076807693785607
chr8	71968103	71969047	26.80405898114382
chr8	72160774	72161199	25.519888817282283
chr8	72239690	72240607	22.690833733412017
chr8	72570781	72571135	33.78865331175637
chr8	72663940	72664262	33.093370893727176
chr8	72683264	72683640	22.06810405660183
chr8	74808542	74809167	19.948682707214356
chr8	75018058	75018938	39.63225587714802
chr8	75025987	75026368	26.616622979872496
chr8	75033568	75034219	36.5198847980177
chr8	75109397	75109811	24.814320278628436
chr8	77610617	77610883	17.803757502620382
chr8	78508985	78509291	18.119873956917157
chr8	78769411	78769914	14.671212651383568
chr8	79419212	79419571	13.194548699849163
chr8	83332037	83332449	17.8862300960763
chr8	83594435	83594771	19.580720736866905
chr8	83607902	83608228	18.4017006195396
chr8	83738069	83738363	27.291777584828488
chr8	83879350	83879682	66.2092460149742
chr8	83899387	83899771	31.394799947738647
chr8	83955147	83955646	26.749786281394577
chr8	84066565	84067153	22.16029952659088
chr8	84104416	84104788	20.69785996919037
chr8	84147436	84147874	23.05940182132808
chr8	84256747	84257253	13.041609658554137
chr8	84934671	84934982	13.793934162789986
chr8	84990061	84991282	26.21548658116346
chr8	85060128	85060404	23.415458167808644
chr8	85441689	85441974	18.91756650021202
chr8	86269699	86270001	10.251644608200781
chr8	86585431	86585782	12.38338122136912
chr8	88137891	88138241	17.22080800192697
chr8	91133609	91134043	24.874636575373636
chr8	91797716	91798007	15.297176924767772
chr8	91801626	91802294	25.597003108727005
chr8	91823163	91823681	22.84198078501639
chr8	91837044	91837319	30.928493576049803
chr8	92355976	92356390	15.491218387216762
chr8	94012701	94013018	19.887245391821637
chr8	94098163	94098504	21.5303408155693
chr8	94172754	94173058	25.28621616489009
chr8	94185974	94186465	44.79442705204919
chr8	94205760	94206057	18.167356121821033
chr8	94386478	94386771	12.614686819473631
chr8	94703163	94703721	17.382180323310223
chr8	94917305	94918012	16.89152924377139
chr8	94991034	94991398	19.019907267539057
chr8	95080684	95081104	26.50814033008757
chr8	95146292	95146588	42.02917934752799
chr8	95220515	95221190	26.927798518428094
chr8	95331800	95332210	19.575321755758146
chr8	95352213	95352529	18.13742316221889
chr8	95656235	95656796	17.595924895927443
chr8	95807714	95808082	21.042560354523037
chr8	104061368	104062079	30.082572534617494
chr8	104091339	104091773	19.167266834716095
chr8	105225249	105225543	14.352454513108649
chr8	105289252	105289576	23.314109643300373
chr8	105305567	105305961	21.115837375524684
chr8	105346784	105347200	33.16374849814635
chr8	105347543	105347921	22.004076987978014
chr8	105497112	105497589	14.79566683459332
chr8	105565799	105566088	15.544621045201707
chr8	105596624	105596940	18.61218591581417
chr8	105622660	105623201	26.969163646098647
chr8	105701164	105701479	22.038494618733726
chr8	105827363	105827730	43.41760074085371
chr8	106138099	106138587	25.890849023568826
chr8	106287278	106287899	15.598490334171412
chr8	106527071	106527660	20.895423874587884
chr8	106683148	106683423	13.989718010642312
chr8	107150098	107150495	24.338877368033383
chr8	107403266	107403535	23.053667345011544
chr8	109692991	109693295	20.2338195066703
chr8	109957508	109957778	18.596894444359673
chr8	111393652	111394143	10.69434753017853
chr8	111643508	111643844	19.190429406506674
chr8	111876452	111877064	25.468945232092164
chr8	111905678	111905962	32.087275498349904
chr8	111940113	111940455	24.050343265310367
chr8	113634965	113635802	22.312604564634846
chr8	114133781	114134050	10.978866642735705
chr8	114439689	114440065	15.430106104688441
chr8	116800036	116800304	13.607441866575781
chr8	116921631	116921911	18.978113085883006
chr8	116993233	116993499	24.508729404076597
chr8	117387976	117388450	28.671926655346834
chr8	117493448	117493853	14.87182167665458
chr8	117801615	117802419	18.99795489999192
chr8	119430427	119430721	19.216300889748293
chr8	119440242	119440794	32.31980965102928
chr8	119708747	119709081	18.86558448197599
chr8	119862144	119862554	15.916153872885355
chr8	120114151	120114500	20.679077744142372
chr8	120363713	120364268	20.789885720261584
chr8	120481465	120481761	18.629230183524054
chr8	120528229	120528953	24.693788376960963
chr8	120589145	120589461	34.81400576120691
chr8	121829310	121829875	12.682462190104797
chr8	121898076	121898615	39.63158852713449
chr8	121950185	121950521	36.83212432974861
chr8	122269266	122269604	16.177784524725737
chr8	122281158	122281887	31.166058905330704
chr8	122294367	122294991	33.08641298917624
chr8	122523057	122523634	23.9700951584497
chr8	122558892	122559428	21.810656734366916
chr8	122567568	122567900	28.238149746354804
chr8	122585591	122586343	21.597942075830826
chr8	122611053	122611337	17.687527159569967
chr8	122635914	122636275	25.155968615883275
chr8	122652558	122653307	23.91858794565035
chr8	122666554	122666835	13.63876233491185
chr8	122702476	122702853	14.12575595511682
chr8	122763115	122763550	14.289936054712054
chr8	122870479	122871059	32.577441585475
chr8	123101971	123102246	20.41045448996804
chr8	123332212	123332514	20.510241233749895
chr8	123426380	123427121	26.549761320415296
chr8	123427501	123428232	23.726812597501784
chr8	123446430	123447432	20.57016425599119
chr8	123753841	123754136	19.05868945687504
chr8	123805880	123806164	16.028874974855235
chr8	123993777	123994130	17.006092549721174
chr8	124487663	124487932	21.142589905891278
chr8	124722127	124722447	35.473877519369125
chr8	125013093	125013446	11.804996818726192
chr8	125523198	125523578	26.96276196429604
chr8	126538971	126539897	24.409949642535675
chr8	126594149	126594570	24.299558530793902
chr8	126852996	126853300	16.975977511782396
chr8	126902726	126903666	18.38663750506462
chr1	7397620	7397980	16.4364595413208
chr1	7498778	7499157	29.02699321555588
chr1	9768052	9768898	25.783174059351566
chr1	10285021	10285680	39.07907228657979
chr1	13854404	13854718	13.211078671133443
chr1	15079483	15079758	12.37216947035356
chr1	15805066	15805353	16.936035382207677
chr1	16104463	16104878	17.734184460467603
chr1	16824333	16824946	21.34723063277576
chr1	16889640	16890318	20.304931647657998
chr1	17542490	17542849	19.11529525342426
chr1	18223574	18224402	29.951030543460938
chr1	22466734	22467420	16.00466206330947
chr1	24107931	24108257	20.828223834008526
chr1	24611534	24612064	46.95374868320969
chr1	24615719	24616276	50.07407356293026
chr1	26687918	26688188	19.10202711953057
chr1	26979738	26980025	18.847893974091534
chr1	30908531	30908929	33.957175326706775
chr1	31601108	31601688	30.39959023903156
chr1	33584025	33584311	19.39432095147513
chr1	34107114	34107468	25.1436814588342
chr1	34433011	34433277	18.734561540130386
chr1	34439452	34439789	30.294148464938655
chr1	34536494	34537287	25.195114082827093
chr1	34752896	34753435	42.642754322080314
chr1	35232253	35232619	16.599849997973834
chr1	36013551	36014240	41.079177050874264
chr1	36060204	36061063	40.022229251262054
chr1	36444936	36445279	17.156274528614635
chr1	36457118	36457456	22.00080343393179
chr1	36511442	36511756	30.90937398193748
chr1	37299791	37300274	19.60340374300939
chr1	37864897	37865481	20.6575374815562
chr1	38987299	38987583	21.17109372918035
chr1	40085736	40086095	14.489163388116777
chr1	43098500	43098945	15.854903060398744
chr1	43168232	43168664	23.977099453961408
chr1	43202983	43203485	22.155133634924415
chr1	43423085	43423794	17.95514495349233
chr1	44463968	44464260	20.174285555539065
chr1	45572866	45573405	23.81866505858186
chr1	45795187	45795760	18.966818478303015
chr1	45925739	45926392	33.73137054034433
chr1	46409000	46409382	20.356520537930635
chr1	51400727	51401310	41.218578649426
chr1	52810013	52810584	34.5516276852262
chr1	54438775	54439076	16.085587913411796
chr1	54600190	54601184	35.32121979158889
chr1	55052216	55053034	18.95753924770868
chr1	56953167	56954343	31.02709624232078
chr1	58392545	58393004	22.49811776479085
chr1	58708644	58708978	21.997275643719885
chr1	59119856	59120278	17.807951258257102
chr1	59433354	59433646	18.453294159614877
chr1	59449175	59449517	21.3876469149227
chr1	59481655	59481943	25.354085432158577
chr1	60097791	60098194	18.496542450216214
chr1	60704696	60705096	21.475800926685334
chr1	62397723	62398355	25.375112379653544
chr1	62767703	62768096	22.555048420835693
chr1	64121919	64122264	18.17283738454183
chr1	64301451	64302065	22.54443599502116
chr1	65420849	65421894	55.46660852842924
chr1	66461677	66462143	27.03210157386223
chr1	66817050	66817378	19.687282966404425
chr1	69728032	69728391	19.87803517609918
chr1	71102520	71102937	20.20528667093181
chr1	72121718	72122030	21.900681388683807
chr1	72244627	72245107	19.273499292135238
chr1	72583213	72583531	28.412399525912303
chr1	74390947	74391289	19.951968491425987
chr1	74505827	74506526	25.453913058334155
chr1	74587839	74588115	21.46544839333797
chr1	75124409	75125227	22.07416135233014
chr1	75168344	75168971	27.595417766479784
chr1	75180066	75180400	15.366390470973032
chr1	75317061	75318059	33.65010119535641
chr1	75479053	75479472	19.242494901780013
chr1	75518287	75518623	21.407346631799424
chr1	75521386	75521812	21.41121988117415
chr1	75588397	75589365	18.942952809254987
chr1	75625326	75625603	16.960382072503815
chr1	75888721	75889002	13.92624091423279
chr1	78366189	78366578	17.29319272617448
chr1	79581309	79581604	16.31316434569278
chr1	82428945	82429375	14.346316703530245
chr1	84332668	84333296	18.814267800871733
chr1	84881482	84882238	22.24832291577859
chr1	85591064	85593261	20.698300073285626
chr1	86487275	86487863	18.05475647595464
chr1	86501247	86501942	18.789323713453552
chr1	86504284	86504556	23.744390999569614
chr1	86526126	86526550	28.640882091702156
chr1	87840616	87841182	18.865895731289058
chr1	88277206	88277607	58.86142714540858
chr1	88583585	88584329	29.199504752312937
chr1	88608504	88608937	29.42423931941149
chr1	88639473	88640078	23.701784362477703
chr1	88779792	88780703	18.914384100753836
chr1	89039625	89040011	21.909526844716442
chr1	89069774	89070299	31.002418176560173
chr1	89096420	89096722	24.480958022818662
chr1	89102328	89103118	28.94151262210894
chr1	89116580	89116848	24.41196008938462
chr1	89191342	89191612	41.44083390412507
chr1	89838113	89838457	28.9518589751665
chr1	90628635	90629070	16.701751500710674
chr1	91537586	91538011	37.05544171052821
chr1	92907047	92907340	14.336993666639101
chr1	92934185	92934725	27.957501040564644
chr1	93342801	93344027	18.724411629541468
chr1	93478115	93478809	30.482349964658535
chr1	93511649	93511936	30.209232170822727
chr1	93672329	93672696	22.154762218693623
chr1	93803626	93804181	19.534707804843112
chr1	95451927	95452313	47.124065646235806
chr1	95720541	95721051	24.16714553646013
chr1	105989914	105990194	14.313185819557734
chr1	106407336	106407614	16.32575848119722
chr1	106796323	106796887	14.057292375158756
chr1	108546406	108546744	22.568812937426145
chr1	110457208	110457606	34.3156719543227
chr1	118388693	118389244	35.90668523895762
chr1	118628049	118628375	17.922196487707595
chr1	119075242	119075520	14.842626098248598
chr1	119504702	119505043	17.456865170834
chr1	119649937	119650323	22.018242151626033
chr1	120121163	120121461	24.369496089500068
chr1	125550229	125550638	15.380474377377983
chr1	125560453	125560882	32.00961103194799
chr1	126443395	126443735	20.905568810070264
chr1	126601765	126602093	14.975758084436743
chr1	127204897	127205196	26.00731141591152
chr1	127773701	127774126	20.605006637573243
chr1	128102745	128103565	22.466839499589874
chr1	130186933	130187356	12.559858441634663
chr1	130462605	130463060	18.769141553522466
chr1	130902643	130902951	15.675723577474619
chr1	131745268	131745578	20.51566398374496
chr1	131818742	131819066	14.739702106993875
chr1	131946295	131946821	20.358399514463013
chr1	132139871	132140348	19.335327216414285
chr1	132333458	132334131	24.70532330148819
chr1	132335280	132335777	22.98386052436752
chr1	132655952	132656616	15.30885236665427
chr1	132790949	132791280	6.209230038334596
chr1	133363021	133363839	22.376834614061202
chr1	133493060	133493400	14.333035160513486
chr1	133661127	133661403	23.137972216675248
chr1	133670408	133671257	36.85317854774574
chr1	133694039	133694623	35.08133661910279
chr1	134210569	134210885	18.602228913126112
chr1	134226339	134226745	15.556139149689322
chr1	134382022	134382453	24.63641371804434
chr1	134405594	134406379	14.4045414626978
chr1	134455263	134455783	17.040378535710847
chr1	134962612	134962953	15.149379193258426
chr1	135260595	135261483	43.39850799027864
chr1	135724455	135724729	18.12246231093024
chr1	135731633	135731959	24.11722725593239
chr1	136007914	136008451	18.58745941680681
chr1	136466251	136466653	23.232323613332873
chr1	136695859	136696630	62.75485683693496
chr1	138571488	138572121	14.066362561772785
chr1	143093623	143094207	11.736299188169715
chr1	150301799	150302072	20.725229790795854
chr1	151154065	151154426	20.413094977592827
chr1	152201866	152202531	18.44900894165039
chr1	152902831	152903117	37.77986541828076
chr1	153333086	153333396	16.79970176450668
chr1	153751825	153752173	13.69603300368649
chr1	153969944	153970252	21.640102767325068
chr1	154118282	154118716	24.42259581517514
chr1	155071387	155071796	22.783405595420334
chr1	155417113	155417379	18.663569579447124
chr1	155438558	155439024	24.546616715934654
chr1	156558273	156558662	19.043565404445776
chr1	156956643	156957148	26.677121296495493
chr1	156961618	156961962	27.84172402149023
chr1	157070067	157070355	29.33204780684577
chr1	160906428	160907043	12.88986021367515
chr1	161034622	161034932	33.11545209577007
chr1	161876972	161877329	33.73101578506769
chr1	161962312	161963125	22.20603745567256
chr1	161969026	161969474	20.52370211482048
chr1	163779422	163779924	13.808033451141114
chr1	164248545	164248814	16.7276699711399
chr1	164307424	164307702	19.15992777639156
chr1	164458033	164458375	24.71601035023293
chr1	165086031	165086359	17.425880033795426
chr1	165460641	165461032	32.708301700289596
chr1	165652764	165653176	23.037680787947572
chr1	165667968	165668377	10.781210262792909
chr1	166002978	166003293	18.991014047652957
chr1	167349928	167350259	15.049241071741386
chr1	167393957	167394438	24.354752054829113
chr1	169949995	169950754	22.311043146884803
chr1	170530863	170531961	18.995266964743916
chr1	170889289	170889686	17.959485434765178
chr1	171287744	171288109	13.865832509080025
chr1	171439437	171439849	21.046361819054315
chr1	171540584	171540929	28.518216887764307
chr1	172289098	172289468	13.962014337488123
chr1	172326530	172326815	12.920932184185897
chr1	172457751	172458089	23.31687361813156
chr1	172481754	172482154	24.158940618038176
chr1	175625754	175626105	13.8479864848645
chr1	175692402	175693246	19.505954593278787
chr1	176813893	176814592	17.249943776874243
chr1	177441591	177441935	16.298199639763943
chr1	177982903	177983213	15.226001982535085
chr1	178187304	178187808	19.752459690684365
chr1	178291232	178291519	15.360508363836734
chr1	179651201	179651546	12.340262573352758
chr1	180195774	180196226	20.961821072924455
chr1	181038603	181039393	25.803406624854365
chr1	181853181	181853550	26.06345122939526
chr1	182528160	182528502	27.98307214424624
chr1	183299137	183299630	93.5283256940861
chr1	184824707	184825185	14.332319000276064
chr1	184845544	184845816	10.603201157906476
chr1	189688392	189688780	18.754645227156963
chr1	189727606	189728180	27.666811846689896
chr1	189761356	189761858	19.797720409484498
chr1	189799199	189799715	24.439142509948375
chr1	189867788	189868132	18.738037012344183
chr1	189875127	189875466	16.321959352071307
chr1	190789166	190789485	16.98349025630652
chr1	191126185	191126541	20.31372850664546
chr1	191166157	191166603	17.731788143448764
chr1	191397355	191397655	39.88460032145182
chr1	191454377	191454745	27.100745631300885
chr1	191575696	191576067	42.75718688964844
chr1	191802282	191803702	32.58672617858564
chr1	191821484	191821844	27.49023912747701
chr1	191906083	191906535	17.70300186207864
chr1	193035667	193036113	21.321435652506192
chr1	195241626	195241941	20.44979532635401
chr11	3100151	3100539	59.09224426623472
chr11	3101129	3102476	47.46964801570267
chr11	3124551	3124905	10.165344460535858
chr11	3131940	3132307	76.03510922632036
chr11	3133451	3133937	69.62498437229989
chr11	3134888	3135213	90.1415227332482
chr11	3138645	3139643	95.48698779241833
chr11	3141349	3141729	80.74195940118086
chr11	3142205	3142631	77.46359446350958
chr11	3152642	3152935	147.03645673628145
chr11	3159503	3160068	293.0836190552838
chr11	3177129	3177933	190.98289846543648
chr11	3192830	3193729	252.42023103945246
chr11	3199441	3199962	105.76722302866989
chr11	3348270	3349014	18.36692128642913
chr11	3409244	3409548	24.547674511608324
chr11	3535609	3535986	23.715463400519496
chr11	3539256	3539559	22.007582447316388
chr11	3913704	3914643	18.17942341955833
chr11	3963502	3964173	20.493310119640277
chr11	4637351	4638009	14.839365327974221
chr11	4895042	4895627	14.140917049310147
chr11	5064997	5065729	26.56231973601169
chr11	5227334	5227883	21.11456301607504
chr11	5239741	5240347	29.190534409123284
chr11	5242153	5242634	33.72717323025646
chr11	5434144	5434509	20.793000992030315
chr11	5762005	5762409	28.15525167531306
chr11	6291506	6292177	21.318863493497254
chr11	6444133	6444523	23.680851046244303
chr11	6546349	6546846	34.81355056532432
chr11	6773303	6773804	20.13459877958317
chr11	8700080	8700353	18.838302807930187
chr11	10729882	10730254	21.199846334354852
chr11	11808995	11809585	27.055221638437043
chr11	11822516	11822960	23.61262301496557
chr11	16240346	16240673	15.432236945592665
chr11	16591774	16592109	28.602219718249877
chr11	16752744	16753194	12.734165376027425
chr11	17525222	17525493	24.749509121659056
chr11	19830242	19830705	15.399403724505628
chr11	19926594	19926960	25.62355198886225
chr11	20200850	20201273	24.90641289568962
chr11	20332900	20333290	22.341190961691048
chr11	20542585	20543177	33.93206885054305
chr11	20631130	20632213	28.493264021305496
chr11	21034071	21034389	15.921782940438709
chr11	21370772	21371438	19.328661548482764
chr11	22482347	22482724	18.478137251552916
chr11	22610416	22610857	26.185549059152063
chr11	22981984	22982309	24.614299627450798
chr11	22990653	22990943	19.875693400152798
chr11	23095531	23096446	25.039345088812823
chr11	23124651	23124944	22.769455008132464
chr11	23255555	23255831	26.011701058650363
chr11	29692331	29692739	26.050946128134633
chr11	30750074	30751001	36.377923823483165
chr11	31870393	31870674	14.150247102106169
chr11	32345633	32346028	26.887075837050812
chr11	32455035	32455430	19.123467022859597
chr11	33527550	33527918	39.02609890440236
chr11	35769144	35769526	17.228344854884124
chr11	35920137	35920523	30.67768216009585
chr11	35921547	35921852	21.956147053202645
chr11	35948404	35948777	25.19048362506938
chr11	40210265	40210604	13.075507735080775
chr11	44417023	44417493	20.297415059678098
chr11	45424069	45424574	15.300755340274018
chr11	45955213	45955527	18.737419319760267
chr11	46246199	46246529	23.510172280398283
chr11	48800068	48800562	26.80816035521658
chr11	48816681	48817392	22.444994359076777
chr11	49243909	49244699	22.330639155906965
chr11	50252389	50252789	20.544684512615206
chr11	50915823	50916110	10.304912537232509
chr11	51688845	51689147	33.659148797294165
chr11	51809247	51810009	31.13259548527675
chr11	51916095	51916658	25.531428128745585
chr11	52000461	52000813	35.327824554660104
chr11	52076931	52077313	18.78007838364047
chr11	52098848	52099196	16.945937548560657
chr11	52224231	52224524	33.75492820479357
chr11	52346591	52346890	14.652800284101811
chr11	53300640	53301077	17.556804798833294
chr11	53891952	53892254	16.63679705866125
chr11	53904043	53904456	19.201966207194847
chr11	54140028	54140739	228.6848133478822
chr11	54787199	54787506	17.302176146243216
chr11	54955906	54956435	22.700190922713684
chr11	55077687	55077982	13.699217738135387
chr11	55097665	55098095	27.155510103979775
chr11	55113736	55114050	27.45125116360415
chr11	55394709	55395003	17.3357170066055
chr11	55417747	55418223	20.213475650098143
chr11	55469138	55469668	29.611320160919764
chr11	57560447	57560793	23.344769681809264
chr11	57599696	57600123	15.444652108453756
chr11	57616012	57616362	23.311784063066757
chr11	57832354	57832772	29.842599914404765
chr11	57970770	57971164	21.693666300797826
chr11	58239380	58239775	31.567011314102366
chr11	58330403	58330987	18.76766436557247
chr11	59163486	59163925	23.68320701659948
chr11	59218592	59219180	23.675125154508216
chr11	59450109	59450536	27.820478734143723
chr11	59662058	59662335	15.98320053802931
chr11	59839407	59840002	23.80389428018522
chr11	59892184	59892732	12.438377101926038
chr11	59947752	59948074	19.881440192275907
chr11	59965012	59965444	15.421318617131975
chr11	60046259	60046562	34.83958547107457
chr11	60115196	60115596	17.66219122171402
chr11	60352623	60353292	20.86351780399613
chr11	60416839	60417457	18.441353543290813
chr11	60439799	60440189	22.187856752444535
chr11	60537580	60538005	22.78473514108097
chr11	60776797	60777259	21.757061879872243
chr11	60810626	60811452	20.829009004135685
chr11	60830741	60831128	19.868504085590057
chr11	60878502	60878813	12.306242718957245
chr11	60976952	60977267	12.93598586491176
chr11	61175176	61175489	24.210539936638487
chr11	61266840	61267628	17.666208996990612
chr11	61494265	61494753	30.695799526621084
chr11	61579467	61579836	18.600114302906565
chr11	61684052	61684343	25.78493430278555
chr11	62076955	62077357	34.77803569053536
chr11	62511168	62511972	38.4943813304996
chr11	62648859	62649489	17.538869285583495
chr11	63486804	63487234	11.747881151909052
chr11	63745474	63745918	14.548458150915197
chr11	63956659	63957391	38.654597759246826
chr11	65806650	65807093	18.427365410677737
chr11	66966420	66966873	16.339175554827087
chr11	67649960	67650317	14.435158055035673
chr11	67861137	67861752	15.400984582668398
chr11	68691223	68691963	39.42053392513378
chr11	68967738	68968109	20.388843032549012
chr11	69124755	69125080	30.392626014122595
chr11	69133885	69134566	20.489717357484256
chr11	69366205	69366529	16.533600359787176
chr11	69395537	69396126	26.30673430852453
chr11	69408859	69409208	26.33057098060761
chr11	69411377	69411697	28.788923239707948
chr11	69417677	69418022	38.231087272754614
chr11	69418715	69418985	28.423776238052934
chr11	69471628	69472043	18.866741240168192
chr11	69581186	69581473	44.28298591985935
chr11	69795437	69796035	40.3811626322692
chr11	69837799	69838848	24.05909361171086
chr11	69880724	69881423	20.095675094615405
chr11	69901139	69901682	26.046754552514514
chr11	69921358	69921714	28.989703740966455
chr11	69980333	69981056	30.71802128202193
chr11	70020984	70021888	27.761450656747396
chr11	70029322	70029726	33.20355368132638
chr11	70410220	70410595	17.961190592447917
chr11	70451870	70452409	34.27108457844864
chr11	70668710	70669386	50.67197310430764
chr11	70970101	70970699	28.691554809493763
chr11	72042040	72042328	12.24720174074173
chr11	72207231	72207542	26.012464645974507
chr11	72795596	72796030	20.7433787820526
chr11	73176957	73177586	23.38286779643242
chr11	73199094	73199397	19.42112080413516
chr11	74830040	74830834	42.45428428121418
chr11	74832152	74832825	29.1918149171577
chr11	74837978	74838388	21.463767772767604
chr11	74848012	74848326	28.446929354576547
chr11	74925472	74926050	20.841116941511423
chr11	75460725	75461004	21.27976559054467
chr11	75531668	75532497	26.404285972742464
chr11	75653591	75654058	17.262423639889704
chr11	76217320	76217961	19.4458281729783
chr11	77491226	77491586	32.61352061165704
chr11	77643062	77643339	18.28222130868409
chr11	77653803	77654094	17.294509592744493
chr11	77785641	77785988	32.75900796236154
chr11	77836621	77837219	19.51600507748964
chr11	77981928	77982330	25.834296886007586
chr11	78194639	78194957	27.442446798648476
chr11	78245883	78246279	25.39117611779107
chr11	78360282	78360652	20.375910400699926
chr11	78435914	78436239	18.203307310251088
chr11	78463204	78463804	42.15598962148031
chr11	78536423	78536722	18.838812895044434
chr11	78697605	78697993	27.193690162344076
chr11	79002660	79003073	21.564421720712584
chr11	79196160	79196497	16.474849596221652
chr11	79703843	79704254	18.27179767673613
chr11	80141879	80142166	15.981955202614389
chr11	80183620	80184128	13.566466220720546
chr11	80779537	80780125	15.740585727756526
chr11	80818020	80818582	22.772952168013276
chr11	82011441	82011915	17.19784038278121
chr11	82840233	82840581	26.523793264367114
chr11	82845936	82846335	23.03363832076988
chr11	83271717	83272425	21.055301740344635
chr11	83291474	83291758	16.546057620518646
chr11	83440627	83440911	14.163316857646889
chr11	83472611	83472902	30.590747492419894
chr11	83582074	83582378	26.50790273202093
chr11	84079814	84080767	40.3493029243173
chr11	84738515	84738784	17.940596023899914
chr11	84944212	84945671	37.02819946974087
chr11	85276889	85277296	17.13930894467403
chr11	85352715	85353112	36.13568194026611
chr11	85844395	85844693	14.670289001208824
chr11	86200860	86201140	18.19127038546971
chr11	87108923	87109526	33.991615043943796
chr11	87423114	87423814	65.08082990373885
chr11	87462555	87462895	31.936890041126926
chr11	87470305	87470656	28.610585454522376
chr11	87490125	87490429	17.876721209601353
chr11	87592013	87592383	24.790776531116382
chr11	88100035	88100303	22.12579001953353
chr11	88123364	88123712	21.68212206062229
chr11	88139155	88139713	23.188135398331507
