chr	start	end	8Cell_Tead4
chr7	4460702	4461074	17.50053123248521
chr7	4464350	4464986	16.717052668145616
chr7	4501762	4502240	34.678009025222586
chr7	4506840	4507685	21.484270150844868
chr7	4509837	4510099	17.981549685237972
chr7	4513090	4513363	34.09802813757034
chr7	4526666	4527147	11.85139407734861
chr7	4545192	4545581	15.239653972243282
chr7	4556521	4556908	15.303805550863576
chr7	4659096	4659445	16.61557380927668
chr7	4672034	4672412	16.497780756975608
chr7	4675374	4675998	21.426520975736473
chr7	4684608	4685125	16.438125868599926
chr7	4687059	4687405	18.139514258831223
chr7	4693074	4694044	13.996850414866024
chr7	4739645	4739964	12.053239547346827
chr7	4752208	4753087	21.72158141564726
chr7	4802045	4802378	30.857386695014107
chr7	4807124	4807740	18.06607764572292
chr7	4812429	4812760	27.885857106695724
chr7	4813026	4813290	18.611526962482568
chr7	4821192	4821606	34.21394425544186
chr7	4822272	4823730	28.616226578282067
chr7	4835189	4836525	15.725496163982116
chr7	4842523	4843222	18.31434856054609
chr7	4843495	4843766	16.004120738743858
chr7	4851027	4851618	15.536702328728742
chr7	4870499	4871047	16.424869528652106
chr7	4876782	4877154	12.694804403089709
chr7	4881687	4882225	13.706540424141298
chr7	4887050	4887736	12.167772477986862
chr7	4940229	4940598	15.921717434394651
chr7	4948580	4949294	11.99210624400975
chr7	4950369	4950763	10.222041174845042
chr7	4973447	4973777	15.060440288890492
chr7	4974561	4974866	15.389012846399526
chr7	4995683	4997041	13.565969781777293
chr7	5014063	5015106	26.697486274880166
chr7	5019897	5020340	31.42320561032263
chr7	5031590	5031913	11.95644743007034
chr7	5037957	5038434	24.598063213020502
chr7	5053459	5053704	13.869588415963308
chr7	5060971	5062473	24.902031907387645
chr7	5079855	5080664	11.188016256089558
chr7	5093536	5094057	13.240625432722856
chr7	5110492	5110813	18.98373477258415
chr7	5117612	5118565	18.244971735655074
chr7	5123637	5123971	19.359667104161428
chr7	5124496	5125018	17.904316565999583
chr7	5125573	5125975	17.10953028047856
chr7	6145855	6146161	11.43155957826602
chr7	6171718	6172317	12.906877596509675
chr7	6203675	6204452	18.028392396531665
chr7	6220641	6220932	24.371720127223693
chr7	6222351	6222604	25.399255353000324
chr7	6222997	6223349	27.471039707010444
chr7	6362655	6363570	34.667119463936224
chr7	6366455	6366747	27.64164498080946
chr7	6382907	6383524	15.729997724536172
chr7	6696057	6696414	13.282005614593249
chr7	6727666	6728781	14.717459752206846
chr7	6940042	6941699	39.57761698269887
chr7	6955492	6955868	28.96347073798484
chr7	6967318	6968066	22.73765668512028
chr7	6975602	6975943	13.154612327251266
chr7	7005278	7005526	11.23895029867849
chr7	7040172	7041020	18.944263283936483
chr7	7041513	7042310	19.848136611086513
chr7	7053964	7054298	12.67412877296973
chr7	7108168	7108732	19.36506866056023
chr7	7121212	7121772	11.116835761070252
chr7	7171294	7171542	14.435437506245028
chr7	7277649	7278210	26.57220926131794
chr7	7298330	7299477	15.125580774355475
chr7	10809357	10809886	14.640403844909091
chr7	12395960	12396573	17.84570777046739
chr7	12535216	12536364	14.062581014965469
chr7	12780156	12780591	14.520449614250797
chr7	12818238	12818976	11.522494674698125
chr7	12833193	12834072	23.437213955750103
chr7	12834440	12835148	22.849138492918286
chr7	12880415	12881069	16.593895914357738
chr7	12897813	12898162	13.751614196252687
chr7	12909476	12909819	16.242372829782024
chr7	12921672	12922054	21.195771052575235
chr7	12949762	12950064	15.253761790446099
chr7	12965861	12966215	12.706640001070701
chr7	12977829	12978141	25.744790013019855
chr7	13001266	13001755	24.12384218282251
chr7	13009471	13009723	28.737726824624197
chr7	13012351	13013064	34.79688255181654
chr7	13013574	13014298	42.07317052229992
chr7	13014548	13014916	34.52476757505666
chr7	13023330	13024408	29.648002113172428
chr7	13034409	13034934	23.510358834039597
chr7	13041095	13041805	30.089491192723663
chr7	13054145	13054957	26.444064904903545
chr7	13103063	13104051	23.147659266043288
chr7	13150478	13151366	22.962351901842666
chr7	13278165	13278786	18.094391587851703
chr7	13297393	13297712	15.709060091957403
chr7	13298046	13298426	12.174771926277563
chr7	13432891	13433834	15.890755298913852
chr7	13579378	13579827	11.807605367460868
chr7	14116542	14117214	19.31337113891329
chr7	14120411	14121216	13.04888045387979
chr7	14324790	14325303	15.370175144128632
chr7	14594951	14595293	17.023399952559444
chr7	14623994	14624581	15.08428627547048
chr7	15670351	15670701	23.448457172938756
chr7	15841360	15842343	21.30074917433342
chr7	15854834	15855086	30.706336233350967
chr7	15872303	15872601	23.07874361460641
chr7	15882335	15883355	26.738906804253073
chr7	15888291	15888597	35.827282014235955
chr7	15890640	15891235	30.38307205969546
chr7	15894183	15894864	35.79559934226777
chr7	15900303	15900778	23.154058548776728
chr7	15901175	15901764	21.590802592615926
chr7	15907388	15907689	26.950310792637822
chr7	15914072	15914671	26.82116772057815
chr7	15922323	15922619	33.4509196410308
chr7	15929848	15930681	21.039484440779486
chr7	15945775	15946081	35.32319205415015
chr7	15952311	15953695	36.05453081282577
chr7	16010871	16011135	19.72017897981586
chr7	16011678	16012674	23.170493491682183
chr7	16030936	16031598	30.63075094424706
chr7	16036825	16037155	17.96946683074489
chr7	16048054	16048772	17.276486795260713
chr7	16052382	16052824	16.95197855401363
chr7	16097907	16098768	16.113329363478464
chr7	16119862	16120782	30.531530558544656
chr7	16121056	16122501	23.45257180553819
chr7	16147621	16148026	11.031206029727135
chr7	16156306	16156967	23.95067654579382
chr7	16221819	16222544	20.654136303868786
chr7	16262926	16263393	11.529141120788116
chr7	16273144	16273914	22.73229092560805
chr7	16285488	16286771	40.394988231703536
chr7	16294657	16295728	16.854158662391754
chr7	16332066	16332396	15.702511431954123
chr7	16355313	16355835	15.807670081712278
chr7	16356507	16356771	16.27866144613786
chr7	16364610	16365719	42.70946021720673
chr7	16387536	16387787	27.294474354778153
chr7	16391619	16392141	23.648721546962342
chr7	16392842	16393385	24.156571593732465
chr7	16399584	16401033	23.13163980210214
chr7	16417246	16417534	13.083824740515816
chr7	16463254	16463640	10.03427752929648
chr7	16474628	16475610	16.33735180095354
chr7	16507500	16507825	15.168692222008339
chr7	16515648	16515953	24.371954058037428
chr7	16516356	16516900	31.20714618177975
chr7	16539488	16539815	13.268551861474274
chr7	16579436	16579875	16.420421836044902
chr7	16581704	16582168	12.570558835720194
chr7	16592958	16593296	18.86975555307061
chr7	16598221	16598874	23.328644587471512
chr7	16601619	16602395	28.138307353884905
chr7	16614806	16615778	21.985916337849183
chr7	16627967	16628236	18.40002262016211
chr7	16660488	16660905	11.492873387371036
chr7	16712340	16713482	29.214978666940212
chr7	16727941	16728235	18.513159537801936
chr7	16729982	16730351	14.679890467222467
chr7	16755285	16756278	20.690201680585815
chr7	16777457	16777772	13.345308648972285
chr7	16874370	16875059	19.9373781566869
chr7	16891786	16892160	17.906995691717626
chr7	16923735	16924584	19.829056402819738
chr7	16950143	16951265	22.44180496406215
chr7	16989899	16990193	10.164648059274064
chr7	17052532	17052835	18.746471524632017
chr7	17056307	17056649	16.686387106689097
chr7	17074050	17074454	13.690634847867607
chr7	17152323	17153135	13.045635647961658
chr7	17237454	17238366	17.64644593470975
chr7	17942633	17943096	18.522523210579067
chr7	17943393	17944011	12.234852695156455
chr7	18729277	18730019	13.278808348905043
chr7	18747334	18747864	22.032718597268158
chr7	18749703	18750273	23.566427839848032
chr7	18910020	18910894	15.365536692213412
chr7	18918525	18918999	10.882056996289185
chr7	18959683	18960061	10.6636994238253
chr7	18986608	18987282	20.572215467956724
chr7	18990755	18991040	41.20706668652986
chr7	19003033	19003306	23.507451553484458
chr7	19020118	19020617	23.468277115143373
chr7	19023828	19024209	27.950118753227976
chr7	19071320	19071599	10.964294884794501
chr7	19073254	19073634	15.309164476394653
chr7	19092453	19094387	14.21356988190865
chr7	19118565	19118838	27.098349986932217
chr7	19149037	19150083	19.863867994020364
chr7	19164534	19165130	12.862810482914815
chr7	19171888	19172526	17.109225652808306
chr7	19179374	19179702	11.887883907411156
chr7	19198253	19198566	18.95266356483435
chr7	19202104	19202607	14.21994285033664
chr7	19208589	19210097	13.557560083088255
chr7	19228173	19228713	54.47348408875642
chr7	19239778	19240059	13.878271163994732
chr7	19246591	19247254	25.754153975174617
chr7	19253020	19253550	21.29497928439446
chr7	19266443	19266737	17.238975680604273
chr7	19271913	19272531	15.073683504147823
chr7	19281862	19282545	23.392632745544525
chr7	19300591	19301039	32.63892110117844
chr7	19308241	19308866	19.644737237548828
chr7	19310047	19310311	35.56437853610877
chr7	19325489	19326086	14.999146989442195
chr7	19328619	19328870	29.74365280348941
chr7	19345039	19345580	31.529560995190067
chr7	19349215	19349705	17.55032558830417
chr7	19359506	19360291	20.646037680024556
chr7	19392530	19393044	11.329046349581114
chr7	19421051	19421713	12.718146148044898
chr7	19431399	19431983	17.429602009792852
chr7	19432263	19432640	18.471917979597098
chr7	19460854	19461623	14.747178061575822
chr7	19503772	19504141	21.668411446134574
chr7	19508408	19508984	29.581328380439018
chr7	19509490	19510036	30.470909216465095
chr7	19510590	19510948	21.975938530607596
chr7	19528168	19528661	15.518097254615768
chr7	19556213	19556545	14.083037680890186
chr7	19569042	19570283	38.221705744863996
chr7	19573157	19573769	36.18089104010389
chr7	19604073	19604403	15.668266608498314
chr7	19609392	19610413	29.808434902979506
chr7	19610702	19611384	27.538674723717474
chr7	19628362	19629485	28.62852468091467
chr7	19642228	19642664	12.922959253328656
chr7	19654672	19655278	14.752143192606004
chr7	19665188	19665609	29.177203153487905
chr7	19669161	19670176	23.555072423624875
chr7	19674635	19676186	26.282510759905797
chr7	19686631	19687683	39.84059943173775
chr7	19691766	19692403	29.24107865074553
chr7	19696312	19697056	38.515753974196734
chr7	19697477	19697737	31.356617087584276
chr7	19715355	19716349	31.237151811780105
chr7	19736181	19736633	17.3682236165072
chr7	19749899	19750234	20.750692347626188
chr7	19752305	19752671	17.514178148384303
chr7	19789953	19790492	17.5587009525476
chr7	19796916	19797365	14.831554272658044
chr7	19816085	19816368	28.929983786053878
chr7	19817839	19818228	17.39661452825394
chr7	19825723	19826301	18.617425281696253
chr7	19849573	19850056	15.992618865848328
chr7	19851817	19852204	13.144463337053008
chr7	19876572	19877517	11.359657395579827
chr7	19890103	19890512	10.624923722376742
chr7	19955157	19955520	13.453153019109049
chr7	19956311	19956645	11.019640871150765
chr7	19962115	19962377	10.575872446744496
chr7	23470042	23470340	12.240899956466368
chr7	23781508	23781805	17.314063393307052
chr7	23783194	23783443	13.592337378536362
chr7	24019565	24019903	11.427514654644847
chr7	24074058	24074981	12.368684238111468
chr7	24081891	24082160	17.419102239786028
chr7	24133852	24134430	16.65155745872577
chr7	24175047	24175557	13.321253552156335
chr7	24176297	24176627	12.555511231855913
chr7	24253649	24254635	18.22228628723423
chr7	24316254	24317018	14.096000179570384
chr7	24326822	24327830	20.948469535935494
chr7	24347941	24349297	12.644269110178877
chr7	24364741	24365195	11.94514222817274
chr7	24399245	24400189	16.893244048296395
chr7	24407561	24408463	15.625843999655443
chr7	24440422	24440782	20.538605128394234
chr7	24441724	24442243	17.508109872740818
chr7	24449346	24449726	29.38271601827521
chr7	24450094	24450553	21.325626772213607
chr7	24453965	24454223	19.166994331419005
chr7	24469143	24469578	19.187409503980614
chr7	24481696	24481942	23.61385864940116
chr7	24488160	24489015	16.00899126655177
chr7	24497750	24498092	43.6621082540144
chr7	24500193	24500491	22.968783429805065
chr7	24506355	24506778	19.368417277685577
chr7	24530543	24531198	21.586474056098297
chr7	24563593	24563852	13.447118265748484
chr7	24586731	24587459	14.145757027379759
chr7	24611039	24611645	24.396703147258695
chr7	24614242	24615061	27.905531668983244
chr7	24651139	24651516	21.67323162574667
chr7	24769435	24770285	27.227473522635066
chr7	24770677	24771534	28.63883539064067
chr7	24800264	24800537	22.166287450126674
chr7	24842610	24843001	11.996996211273895
chr7	24869389	24869962	11.936474918278932
chr7	24882045	24882320	15.748738323558461
chr7	24883724	24884636	26.496005443104526
chr7	24891030	24892267	23.49253845985801
chr7	24904054	24904648	14.030469523535835
chr7	24936221	24936501	13.013716513769968
chr7	24945933	24946806	34.32080429881162
chr7	24965415	24965718	23.52399437340966
chr7	24972197	24972560	15.884478174950466
chr7	24975059	24975738	22.328817930769322
chr7	24983601	24984068	11.526720365569219
chr7	25075665	25076034	19.792653556761703
chr7	25076490	25076884	15.376093627232585
chr7	25084418	25084736	26.883032606832636
chr7	25094555	25095195	9.8834860175848
chr7	25105810	25106860	15.061904146557762
chr7	25118676	25119121	12.821578087967433
chr7	25128472	25128976	13.271311303925893
chr7	25133445	25133706	11.84599661553043
chr7	25155311	25156275	18.176287887502014
chr7	25166199	25167015	16.03807990808113
chr7	25182045	25182297	11.719741132524279
chr7	25195416	25196905	22.966737978405565
chr7	25208367	25208688	16.318786015020354
chr7	25218871	25219307	24.654981005082437
chr7	25220024	25220419	27.770545162732088
chr7	25237896	25238681	32.44817308195078
chr7	25254627	25255131	17.727607931409562
chr7	25266231	25266676	28.249896081645836
chr7	25267567	25268269	48.53808697540196
chr7	25276144	25276535	27.381235010483685
chr7	25278477	25278781	22.288679028812208
chr7	25281664	25282396	23.05634573509133
chr7	25297646	25298341	21.69202547553632
chr7	25300756	25301101	22.456808814449587
chr7	25309834	25310436	36.114570738073205
chr7	25316354	25316656	28.92469834965586
chr7	25317659	25318516	20.092280787375593
chr7	25345381	25346291	16.984847943861407
chr7	25356422	25357017	10.942455629140388
chr7	25395482	25396648	21.83238857360892
chr7	25409257	25409556	21.96787724447091
chr7	25430370	25430882	15.28322116844356
chr7	25437514	25437853	18.160742785023377
chr7	25479492	25479858	10.454463094961447
chr7	25530751	25531402	12.534663414991762
chr7	25531781	25532497	17.01462034273414
chr7	25600214	25601136	14.520852010317325
chr7	25619422	25619826	18.912893873630185
chr7	25626086	25627030	19.76085076897831
chr7	25627331	25627819	12.943426474196013
chr7	25636195	25636687	30.99359609053387
chr7	25651017	25651638	13.258479245810886
chr7	25657955	25659407	17.15927464114733
chr7	25668729	25669591	18.613002720675723
chr7	25684159	25684536	19.339672103800886
chr7	25700102	25700376	25.31262606599905
chr7	25705458	25705758	16.169097509384155
chr7	25743899	25744307	11.696542400939792
chr7	25754919	25756197	17.127545670164583
chr7	25780540	25781318	14.476370002432777
chr7	25810035	25810423	21.5582633264286
chr7	25816861	25817648	41.38311610167332
chr7	25825501	25826569	18.06011088599873
chr7	25864732	25865337	12.90120278429394
chr7	25872103	25872511	9.85604578256607
chr7	25878731	25879113	13.909631382108358
chr7	25903801	25904623	12.025646882625681
chr7	25963114	25963497	27.44567843703626
chr7	25963917	25964391	15.83494952358777
chr7	26251776	26252394	17.56600946438737
chr7	26417207	26418221	17.973759678929046
chr7	27011433	27012841	19.338408917527307
chr7	27130460	27131010	17.22293476191434
chr7	27143180	27143427	25.05319167534832
chr7	27145356	27146347	27.58009925018526
chr7	27166013	27167075	19.340608526757883
chr7	27178612	27179403	21.88876176814816
chr7	27195779	27196192	31.334862810647518
chr7	27196449	27196746	19.562728541467326
chr7	27218474	27219253	29.135331625197757
chr7	27221622	27222022	25.979785861968995
chr7	27222747	27223249	28.96138470866291
chr7	27232710	27233146	16.40769947340729
chr7	27240502	27241427	13.31255892727826
chr7	27258354	27258624	11.453227279804372
chr7	27262879	27263323	13.653455633300918
chr7	27269964	27270420	29.529907941818237
chr7	27274005	27274496	23.812688874130092
chr7	27285302	27285759	15.84786134423521
chr7	27288532	27288900	18.469205454639766
chr7	27295474	27295908	14.67368553091304
chr7	27300299	27301164	21.02017278946893
chr7	27301966	27302622	26.996222154396335
chr7	27315912	27316158	19.376153806360758
chr7	27322199	27322479	17.747780288968766
chr7	27325741	27326444	24.342624534075156
chr7	27330387	27330798	25.351803382817845
chr7	27343125	27343465	15.130992524764117
chr7	27345150	27345920	23.070557160810992
chr7	27356049	27356296	25.72799883004625
chr7	27396094	27396446	12.51238100366159
chr7	27408623	27409124	12.66622156535318
chr7	27419153	27419564	13.777764765885625
chr7	27446890	27448225	20.017063726646622
chr7	27473069	27474620	24.483256523875095
chr7	27482461	27482748	23.638455726543786
chr7	27483417	27484950	26.918769502670877
chr7	27490952	27491408	26.877011529186316
chr7	27496518	27496976	23.785252410772067
chr7	27502042	27502421	16.607810818111048
chr7	27502966	27503342	21.42429716536339
chr7	27507763	27508119	41.48953659079048
chr7	27508396	27508735	28.244516845298023
chr7	27520123	27520974	14.522624863580868
chr7	27525508	27526887	14.065354937137773
chr7	27540210	27541270	22.848805121655733
chr7	27552805	27553634	12.794466384501163
chr7	27562054	27562578	14.82754676760608
chr7	27571330	27571692	12.007529211307757
chr7	27572067	27572746	10.662210619677852
chr7	27646794	27647862	34.572765262832355
chr7	27694022	27694373	28.185178664335158
chr7	27694773	27695547	26.782402022556433
chr7	27703571	27704674	23.556820065350504
chr7	27723827	27724304	16.640353432741303
chr7	27731378	27731806	29.180563051009848
chr7	27742461	27742848	13.690500106614381
chr7	27763430	27763696	15.419191392740808
chr7	27774458	27774880	18.764945253941686
chr7	27782680	27783106	22.01734747237443
chr7	27783880	27784162	13.187891922943981
chr7	27804595	27805386	15.20849309769352
chr7	27858550	27858805	11.400174496220608
chr7	27876096	27876345	14.776841477696676
chr7	27881693	27882006	16.921815832582908
chr7	27921988	27923332	15.223265147634915
chr7	27978951	27979278	11.205435808280921
chr7	27982162	27982641	10.92771018571794
chr7	28013308	28013653	12.181577453060427
chr7	28043472	28044101	24.34271445524522
chr7	28049838	28050287	14.130618596661064
chr7	28123760	28124200	9.367828976024281
chr7	28169033	28169549	13.648163821346076
chr7	28179438	28179895	20.133137062289784
chr7	28213891	28214789	28.735656412247824
chr7	28215124	28215522	33.644442002377914
chr7	28239218	28239478	16.98764682182899
chr7	28241516	28241889	16.04331363493891
chr7	28250443	28250955	14.13551465049386
chr7	28251902	28252420	18.77557927024871
chr7	28269652	28269992	17.617091532314525
chr7	28277650	28278002	15.912147112868048
chr7	28297373	28297783	18.541038182886634
chr7	28298054	28299566	22.456313404456647
chr7	28325372	28326351	32.936991006775216
chr7	28332827	28333168	23.563630375344733
chr7	28338508	28339013	27.362798433964794
chr7	28350093	28350399	32.30234791874106
chr7	28356735	28358036	42.81452954502677
chr7	28358354	28358771	61.25829118961911
chr7	28373053	28374334	32.638154183952814
chr7	28379358	28379908	38.99381061207164
chr7	28381061	28381377	18.67974588539027
chr7	28391061	28391705	17.28586050590373
chr7	28418268	28418711	16.629290169571647
chr7	28424808	28425087	19.617840250760423
chr7	28436495	28437508	21.451924302853342
chr7	28447650	28449141	35.75260066282501
chr7	28490190	28491104	13.33182450144244
chr7	28527884	28528430	16.15697786310217
chr7	28532204	28532482	13.3837384834564
chr7	28538684	28540373	20.21540426160543
chr7	28540794	28541129	25.54748812433499
chr7	28545287	28545589	15.880526488979921
chr7	28581432	28581677	15.58541829245431
chr7	28596826	28597137	25.72581311437478
chr7	28620136	28620675	15.267157030901794
chr7	28634082	28634415	14.600695157552266
chr7	28645041	28645516	26.107645498576918
chr7	28668560	28668938	24.106160880396605
chr7	28670796	28671564	21.030199358860653
chr7	28676712	28678053	36.010655368290045
chr7	28693313	28694053	22.77883673358608
chr7	28697465	28698005	19.70780363789311
chr7	28706887	28707363	16.10079878117858
chr7	28716792	28717110	13.532124801251873
chr7	28719606	28720172	18.327328619603133
chr7	28732428	28733402	18.30582631980614
chr7	28741688	28742301	27.124817156675007
chr7	28752351	28752753	16.89446634083838
chr7	28763157	28763610	16.87085841980991
chr7	28763916	28764266	17.78693100793021
chr7	28766257	28766502	30.419019442188496
chr7	28795563	28795958	37.01691050469121
chr7	28801088	28801585	30.635178301176076
chr7	28809363	28810121	23.583382393879752
chr7	28810400	28810657	38.322657893140025
chr7	28824622	28825212	18.19566305451474
chr7	28846591	28848076	33.249251705388026
chr7	28852903	28853351	24.03241239488125
chr7	28854123	28854516	20.547868301546906
chr7	28903078	28904289	15.152982290080518
chr7	28938180	28938441	15.857467760984925
chr7	28951772	28952224	17.621974280450196
chr7	28962575	28962935	55.65479596455892
chr7	28965662	28966047	49.69564983813794
chr7	28966442	28966882	42.21623657399958
chr7	28972444	28972816	38.26210637246409
chr7	28981541	28982340	18.076500945156894
chr7	28990350	28990807	34.77676705458493
chr7	29001024	29001537	14.269873853315387
chr7	29017006	29017687	21.190452239586918
chr7	29021281	29021551	19.359359377401848
chr7	29039817	29040372	19.456145126755175
chr7	29052585	29052967	20.07607577109212
chr7	29061694	29061969	17.657491073608398
chr7	29122697	29122972	15.255636301907627
chr7	29137657	29138010	27.99665887092396
chr7	29140197	29141128	21.1680475075186
chr7	29155412	29156214	20.68534529773969
chr7	29165815	29166379	33.369458083565355
chr7	29170091	29170731	50.29325709044933
chr7	29180210	29181108	20.863705061591812
chr7	29185804	29186382	15.4032401675584
chr7	29186982	29187811	15.7920229834728
chr7	29193049	29193331	9.84983413946544
chr7	29194551	29195004	24.458142653206327
chr7	29211523	29211841	27.33788521484759
chr7	29214485	29214971	34.63500577824597
chr7	29216593	29217771	45.68918895235693
chr7	29228390	29228789	29.160301069866744
chr7	29238439	29238751	30.190731091377064
chr7	29246981	29247255	20.516117423120207
chr7	29248290	29249114	27.431750873917515
chr7	29276704	29277149	35.45300042656031
chr7	29284103	29284435	34.641721139471215
chr7	29287180	29288457	34.20316231316109
chr7	29296799	29297218	29.390654714124583
chr7	29307567	29308166	14.19160984274939
chr7	29319810	29320248	13.984965781642966
chr7	29326199	29326606	10.08711964609582
chr7	29341821	29342234	11.264887024646233
chr7	29350142	29351159	30.00513267610863
chr7	29383035	29383396	19.880683140741493
chr7	29390334	29390873	13.413815071941086
chr7	29403915	29404954	26.75730457113154
chr7	29420191	29420504	17.185385094663967
chr7	29430396	29430805	16.733796632668792
chr7	29454570	29455339	18.51939711924182
chr7	29466988	29467261	14.41534291780912
chr7	29469504	29470020	13.2397273344587
chr7	29494282	29494870	12.928263721011934
chr7	29507592	29507938	13.896967107850003
chr7	29565375	29565671	14.896774034242373
chr7	29627025	29627284	14.932765673486422
chr7	29628364	29628800	19.205614597425548
chr7	29629337	29629881	12.796121804153218
chr7	29676957	29677259	15.667235516554472
chr7	29709161	29709629	26.927937181586895
chr7	29725678	29726085	20.832289742603347
chr7	29728003	29728387	16.62403021256129
chr7	29766907	29767217	19.660984654580393
chr7	29768272	29768812	20.63276851530428
chr7	29781539	29781879	13.64696784440209
chr7	29816018	29816402	24.013505769272644
chr7	29818768	29819369	15.231179752286382
chr7	29828433	29829928	18.513113358028757
chr7	29883450	29884124	17.732002402271643
chr7	29892285	29892556	16.969481939759202
chr7	29892976	29893473	16.735836433932576
chr7	29905897	29906510	17.43276699215514
chr7	29908221	29908711	30.95520970091528
chr7	29915159	29915716	18.685337804592276
chr7	29944362	29944807	12.368281656972478
chr7	29963936	29964932	56.607848468075794
chr7	29968523	29970057	58.117480588860744
chr7	29980537	29982472	55.231941080729165
chr7	29989901	29990446	33.38510973344155
chr7	30033643	30034316	22.54216468493616
chr7	30090202	30091331	20.17068160541085
chr7	30094827	30095232	27.490827664033866
chr7	30132191	30132493	10.552086514352963
chr7	30155284	30155632	13.141666497307263
chr7	30169842	30170543	18.541792245122064
chr7	30182446	30182713	15.268322087405773
chr7	30184132	30184895	18.453973278930583
chr7	30193237	30194381	17.52708212895827
chr7	30198608	30198857	30.413667893313978
chr7	30231885	30232999	22.799755224847708
chr7	30264701	30267239	20.4713145640368
chr7	30279491	30280974	35.770968133665306
chr7	30292788	30293180	14.41530936348195
chr7	30293591	30293963	24.69547038949946
chr7	30336669	30337037	13.729448924893918
chr7	30350694	30351648	25.975081986601246
chr7	30384094	30384921	10.392462679091503
chr7	30440911	30441294	11.872869660897916
chr7	30489980	30490850	13.541071880822894
chr7	30535363	30535652	14.89590353454273
chr7	30551806	30552729	19.28057898524523
chr7	30563323	30563714	23.703529335958574
chr7	30588769	30589790	24.688924738055462
chr7	30599717	30600598	20.79427655357508
chr7	30602050	30602758	31.646891185792825
chr7	30610246	30610528	14.522321065266928
chr7	30619453	30619709	18.608252339065075
chr7	30625916	30626415	17.219055342053124
chr7	30634350	30634786	14.471595307008936
chr7	30650412	30651109	12.024377281730795
chr7	30656052	30656992	12.037400969545892
chr7	30669493	30669994	13.031627540816803
chr7	30671486	30671910	13.45260563211621
chr7	30681139	30682200	15.732244992683116
chr7	30685922	30686480	18.18707540385612
chr7	30687975	30688536	11.076866126102985
chr7	30698368	30699299	13.45131506392318
chr7	30705717	30707089	21.149664664059966
chr7	30728842	30729792	14.397383828414114
chr7	30743899	30744434	10.489358274513316
chr7	30789738	30790423	19.299046691838843
chr7	30810585	30810969	16.195859265824158
chr7	30829173	30830905	36.31646280900986
chr7	30835635	30835895	13.364977084673368
chr7	30873379	30873687	12.25991516918331
chr7	30886584	30887012	14.476738348185458
chr7	30895478	30895908	14.42910980402037
chr7	30902357	30902615	18.899805268575978
chr7	30973533	30974193	15.76586907271183
chr7	31057051	31057308	10.045105266199965
chr7	34133377	34134024	26.787526577296543
chr7	34168169	34168792	12.960168814008538
chr7	34192640	34194005	22.151807002532177
chr7	34195604	34196620	20.66450748199553
chr7	34233655	34234653	16.166576338196567
chr7	34268225	34268931	19.853448944118814
chr7	34272398	34272878	15.440447785456975
chr7	34290441	34290787	12.376630412360836
chr7	34313885	34314140	12.762894069447237
chr7	34407781	34408074	15.704947494402681
chr7	34408666	34409143	17.932669203736246
