chr	start	end	8Cell_Tfap2c
chr19	28743087	28743377	9.422131625537215
chr19	28785852	28786329	11.6577351908014
chr19	28790986	28791702	10.500088763303596
chr19	28834045	28835044	16.427712978424132
chr19	28856033	28856456	12.071416441148617
chr19	28963735	28964668	10.02423128309996
chr19	28975044	28975441	10.676489599405668
chr19	28990382	28990668	10.527302950412244
chr19	29054409	29054733	8.77316262692581
chr19	29067001	29067542	12.988142354651432
chr19	29088167	29088970	11.194905975835855
chr19	29100824	29101205	17.924338383311675
chr19	29109998	29110492	13.040860830530946
chr19	29251086	29251840	14.56634781784341
chr19	29324970	29325332	12.1200712333068
chr19	29356440	29356872	12.083393904897902
chr19	29362342	29362586	8.518881846646794
chr19	29492084	29492356	10.244580111082863
chr19	29493171	29493483	15.638820605400282
chr19	29501375	29501640	7.907169503985711
chr19	29521598	29522185	15.2901674502956
chr19	29641963	29642701	14.012916195360303
chr19	29647801	29648388	19.11604557329792
chr19	29665938	29666293	13.8759429260039
chr19	29684071	29685284	11.425483808375938
chr19	29704689	29704985	12.28716056733518
chr19	29805085	29806449	10.676087396585347
chr19	29936546	29937142	8.605654753294568
chr19	30030080	30030813	11.377121199364552
chr19	30124071	30124338	11.480481722828154
chr19	30139311	30139753	12.726076755049002
chr19	30175045	30175741	16.23436015775834
chr19	30183107	30183380	16.052170840811815
chr19	30193389	30193967	14.95232931470376
chr19	30197567	30198037	15.06531110317149
chr19	30205219	30205477	15.68363753769749
chr19	30222232	30222674	16.03908877135402
chr19	30222942	30223252	15.407475896035471
chr19	30229375	30230317	12.928947284216587
chr19	30244511	30244841	7.70670895431981
chr19	30254624	30254943	15.75657739310429
chr19	30260540	30260871	10.057782848796096
chr19	30549100	30549467	8.812919096985695
chr19	31018470	31019081	7.571682529636764
chr19	31074653	31074974	11.17560968220791
chr19	31081439	31082718	14.531223859332146
chr19	31097310	31098023	13.769933322703187
chr19	31106951	31107618	13.996725529208891
chr19	31114050	31115169	13.15097390465485
chr19	31136215	31137039	14.984677355555656
chr19	32142314	32142923	12.135978093875453
chr19	32180165	32180487	7.531957780352291
chr19	32210244	32211728	13.66926362052381
chr19	32263797	32264251	13.69912232281353
chr19	32362723	32363040	11.10353815668389
chr19	32389207	32389507	7.629017578760783
chr19	32454229	32454832	12.474565089243166
chr19	32476035	32476980	16.712099355364604
chr19	32485523	32485836	17.566829129910698
chr19	32486508	32486963	17.112093108040945
chr19	32577618	32577928	11.490290118801978
chr19	32638201	32638848	8.704240971407529
chr19	32711770	32712608	12.159038147095565
chr19	32733163	32733639	12.764908946862741
chr19	32756576	32757378	15.34082044865425
chr19	32846399	32846664	11.485451676710596
chr19	32884562	32885023	19.055594181549004
chr19	32905666	32906248	23.650056458830424
chr19	32958040	32958894	26.15092922764584
chr19	34161139	34161762	13.461996901666755
chr19	34192221	34193213	9.903536561035342
chr19	34661929	34662439	11.570745389601763
chr19	34844827	34845416	11.0319043493028
chr19	34878130	34878550	13.390018553960891
chr19	34882091	34882522	10.447269810324755
chr19	34921622	34922844	22.68572861746368
chr19	35761505	35761856	10.616990741501507
chr19	36057420	36057884	10.853554527307379
chr19	36059320	36059676	11.872540120328411
chr19	36083290	36084134	10.54318276499685
chr19	36235071	36235601	13.153509283065796
chr19	36236510	36237282	14.222367189091104
chr19	36244925	36245371	19.550069798268545
chr19	36245678	36245990	14.019313631913601
chr19	36281651	36282599	14.666565206483446
chr19	36283309	36283676	12.61690168094895
chr19	36346966	36347329	19.19352574519218
chr19	36348059	36349474	17.349525362450404
chr19	36357696	36358052	13.900919737440816
chr19	36367252	36367902	20.356044789827788
chr19	36368200	36369074	25.63576055882452
chr19	36398305	36398934	20.66248534480036
chr19	36399513	36399843	12.427981148344097
chr19	36408332	36408687	15.615706559302101
chr19	36409171	36409530	16.51655664417405
chr19	36447774	36448260	13.490494060908816
chr19	36643073	36643479	15.525529873194953
chr19	36736342	36737144	13.671747274232327
chr19	36789935	36790499	8.824621973308266
chr19	36809179	36809630	8.715503705314417
chr19	36815432	36816103	11.06355631724555
chr19	36834321	36835240	17.936548527747686
chr19	36850356	36850718	11.461330658823087
chr19	36915749	36916073	11.170022231561166
chr19	36925684	36926352	11.728878393858492
chr19	37018397	37019656	14.227036635964707
chr19	37074885	37075150	9.836428669263732
chr19	37145663	37145969	10.88315612350414
chr19	37150612	37150882	10.489085511808042
chr19	37161505	37161810	13.691377780476554
chr19	37174643	37175279	12.28849111038184
chr19	37178602	37178997	12.567158808889268
chr19	37207591	37208036	14.051652173245891
chr19	37260439	37260802	8.59956471256645
chr19	37340884	37341405	10.00276339671891
chr19	37362782	37363119	15.582704761969229
chr19	37375559	37376549	11.016310042082662
chr19	37399571	37399905	9.10824445621696
chr19	37434229	37435579	21.15344176257098
chr19	37442176	37442865	19.5661650077698
chr19	37443680	37444091	15.150520491774065
chr19	37468701	37469648	12.994669317569754
chr19	37488368	37488725	9.019008084839465
chr19	37510401	37511955	15.489693460121925
chr19	37527888	37528236	13.817273375631748
chr19	37529450	37529786	19.388649145762127
chr19	37550414	37551063	17.6291113825535
chr19	37559805	37560351	13.970977926428938
chr19	37690675	37690947	16.467886440894183
chr19	37692892	37693608	17.08074900557875
chr19	37706356	37706649	8.124600329089898
chr19	37740110	37740584	10.756054208248477
chr19	37743699	37744274	9.025086669092593
chr19	37792925	37793225	7.7123608986536665
chr19	37809888	37810136	10.930519380877096
chr19	37877500	37878749	14.141359423140319
chr19	37886717	37887228	8.613791432632626
chr19	38054354	38054795	22.768143567368558
chr19	38055039	38055410	24.921517922229203
chr19	38096049	38097002	11.214556260224029
chr19	38109240	38109756	10.703575279361518
chr19	38223774	38224142	15.995993866868641
chr19	38303399	38303751	9.747180051424287
chr19	38339974	38340552	19.46470650669613
chr19	38340826	38341075	20.85756241365609
chr19	38341734	38342069	17.360066860825267
chr19	38342426	38343084	19.834630238611286
chr19	38351061	38351824	17.787870725829197
chr19	38373954	38374574	10.147454680165938
chr19	38383712	38383963	12.1127179039427
chr19	38389642	38389998	12.768793789188514
chr19	38395216	38395984	16.128805991262197
chr19	38413629	38413986	16.35611375707204
chr19	38429086	38430158	21.150062546356402
chr19	38716940	38717241	9.236489207245583
chr19	38818807	38819742	12.509673325135745
chr19	38836145	38836815	11.320686877663455
chr19	38930656	38931861	17.797695218478
chr19	40217954	40218871	9.159363932801957
