													RNA-seq												WGBS				
chr11	106939903	106940106	Smurf2	204	Distal Intergenic	11	106820066	106920715	100650	-19188	ENSMUSG00000018363	SMAD specific E3 ubiquitin protein ligase 2	3.215858728	2.899622294	3.399194341	4.021186539	3.578721387	3.54057289	6.754587761	4.005696401	3.005818542	1.435127164	1.180198794	1.690318752	0.666666667	1	0.833333333	0.21875	0.307692308
chr11	114831796	114831939	Gprc5c	144	Distal Intergenic	11	114851152	114863733	12582	-19213	ENSMUSG00000051043	G protein-coupled receptor, family C, group 5, member C	4.565974859	5.025042087	4.983331114	3.684639231	3.777493361	3.019739271	3.076023838	2.815032267	3.030378458	4.965248657	3.554380106	0.053544706	0.666430996	0.944077411	0.805254203	0.159551954	0.139285714
chr11	115538589	115538694	Sumo2	106	Distal Intergenic	11	115523102	115536276	13175	-2313	ENSMUSG00000020738	small ubiquitin-like modifier 2	6.62507611	6.81823704	6.303039122	6.794064898	4.993583794	2.960124295	4.737583282	6.455582033	8.059912233	8.925171648	7.28175388	8.720733341	0.777777778	0.983606557	0.880692168	0.103448276	0
chr11	115870859	115870976	Llgl2	118	Intron (ENSMUST00000093911.10/ENSMUST00000093911.10, intron 15 of 63)	11	115855032	115855780	749	15827	ENSMUSG00000020782	LLGL2 scribble cell polarity complex component	3.827260126	4.20349875	3.939283005	4.780420344	4.281772423	3.935921713	3.581438318	4.229149511	4.285454007	2.707208918	3.301792477	2.564058618	0.708333333	0.963855422	0.836094378	0.052631579	0.146666667
chr11	4582137	4582289	Mtmr3	153	Intron (ENSMUST00000109943.9/74302, intron 1 of 17)	11	4480868	4594815	113948	12526	ENSMUSG00000034354	myotubularin related protein 3	2.214289587	2.187612576	1.973100594	2.218049562	1.896473366	1.788881954	3.77613799	2.851902921	3.45236217	1.561614524	1.580545909	1.614342352	0.85	0.977272727	0.913636364	0.245283019	0.45
chr11	77611580	77611691	Taok1	112	Distal Intergenic	11	77529162	77607815	78654	-3765	ENSMUSG00000017291	TAO kinase 1	2.892756268	2.392223988	2.618926944	3.427902458	3.386279838	3.28912622	6.779177016	4.233688694	3.777325023	3.473670037	2.477946675	2.976576266	0.78125	0.955555556	0.868402778	0.212765957	0
chr11	77653356	77653501	Nufip2	146	Distal Intergenic	11	77686155	77712741	26587	-32654	ENSMUSG00000037857	nuclear fragile X mental retardation protein interacting protein 2	2.232958474	1.536963003	1.484978492	2.552305746	2.564719594	2.582676423	4.976667978	3.063375234	3.462405749	3.7083528	2.909767345	3.722914065	0.819444444	1	0.909722222	0.169811321	0.108116883
chr11	82918364	82918499	Unc45b	136	Intron (ENSMUST00000108160.7/217012, intron 7 of 19)	11	82911253	82943403	32151	7111	ENSMUSG00000018845	unc-45 myosin chaperone B	0.024157101	0	0	0	0	0.047938826	1.201030396	1.028463068	1.664050422	2.429929239	0.177365477	0.060186319	0.9	0.951181128	0.925590564	0.164473684	0.061552028
chr11	87006493	87006638	Ypel2	146	Distal Intergenic	11	86936425	86993707	57283	-12786	ENSMUSG00000018427	yippee like 2	3.713684819	4.280800459	4.452167096	4.968445621	4.958309104	3.979065013	6.175224439	4.017467655	5.471223235	6.149946238	3.294514886	0.51127371	0.662150921	0.946160628	0.804155774	0.106507323	0.058468315
chr11	87475801	87475929	Tex14	129	Intron (ENSMUST00000060835.11/83560, intron 3 of 30)	11	87427591	87484766	57176	48210	ENSMUSG00000010342	testis expressed gene 14	2.535552845	2.289356438	2.545528577	3.112741829	3.074416378	3.134802501	2.049158681	2.409662477	1.307620872	0.481139782	0.307975188	1.645544885	0.933333333	0.971428571	0.952380952	0.117647059	0.551724138
chr11	87699400	87699523	Rnf43	124	Promoter (<=1kb)	11	87699897	87735539	35643	-374	ENSMUSG00000034177	ring finger protein 43	1.209765266	1.118605581	1.971236359	1.049721369	1.36232961	1.202286063	0.355547675	0.643220802	0.407428895	0.147241564	0	0	0.75	0.894736842	0.822368421	0.227272727	0
chr11	95664644	95664774	Phb	131	Distal Intergenic	11	95666957	95680773	13817	-2183	ENSMUSG00000038845	prohibitin	3.732225777	3.81416073	4.404003882	2.350143602	3.621665096	3.873025701	4.498711999	3.336481923	3.881165364	5.004299131	4.847776478	5.880964635	0.842962963	0.951612903	0.897287933	0.23757764	0.209375
chr11	97580143	97580284	Srcin1	142	Distal Intergenic	11	97551890	97575226	23337	-4917	ENSMUSG00000038453	SRC kinase signaling inhibitor 1	0	0	0.015229501	0	0	0.005931865	0.042243586	0.017303518	0	0.018523938	0	0.03015256	0.696992481	0.958363223	0.827677852	0.176548016	0.040100083
chr11	98521968	98522114	Ikzf3	147	Intron (ENSMUST00000103141.3/22780, intron 1 of 7)	11	98464902	98545800	80899	23686	ENSMUSG00000018168	IKAROS family zinc finger 3	0.100624094	0.050840034	0.165008907	0	0.075219209	0.239759739	0	0.131411425	0.062778237	0.198538157	0	0.051913715	0.7	0.964285714	0.832142857	0.148148148	0.033333333
chr12	31497602	31497745	Cbll1	144	Intron (ENSMUST00000064240.13/104836, intron 1 of 5)	12	31484829	31499555	14727	1810	ENSMUSG00000020659	Casitas B-lineage lymphoma-like 1	4.252801654	3.771748273	3.271403265	3.247009971	3.148389128	3.337728216	8.401013217	5.158914604	5.379180795	4.696800651	4.13874076	2.724458191	0.705208333	0.912652625	0.808930479	0.071560847	0.033971471
chr12	4150047	4150192	Adcy3	146	Intron (ENSMUST00000152792.7/104111, intron 2 of 20)	12	4159600	4182945	23346	-9408	ENSMUSG00000020654	adenylate cyclase 3	0.268351746	0.094654425	0.18937674	0.3155187	0.502011778	0.27611547	0.177589043	0.511765555	0.422251303	0.338826003	0.120768231	0.055921263	0.707936508	0.967654321	0.837795414	0.245111972	0.097354497
chr13	51647442	51647590	Cks2	149	Intron (ENSMUST00000075853.5/66197, intron 1 of 2)	13	51645232	51650660	5429	2210	ENSMUSG00000062248	CDC28 protein kinase regulatory subunit 2	6.635272639	6.747293401	7.244896571	8.611832628	8.518920624	8.986848911	11.55029396	9.652425545	9.879967611	9.590525299	6.350313362	8.646133849	0.697435897	0.930980726	0.814208312	0.181065462	0.243894049
chr14	121380700	121380837	Stk24	138	Promoter (<=1kb)	14	121337422	121380011	42590	-689	ENSMUSG00000063410	serine/threonine kinase 24	3.719479179	4.099926351	5.046482329	5.392441077	5.917424594	6.013243382	6.096076127	5.238374165	3.49971835	3.942795979	3.188799684	2.10659288	1	0.72	0.86	0.214285714	0.32
chr14	20186577	20186723	Kcnk5	147	Distal Intergenic	14	20140057	20181809	41753	-4768	ENSMUSG00000023243	potassium channel, subfamily K, member 5	0.718414675	0.698937646	0.536906325	0.618148426	0.389164783	0.560873398	4.067997702	2.851095371	4.955638285	5.922376271	3.339838604	1.464678721	0.751587302	0.950172789	0.850880046	0.240945513	0.064393939
chr14	54525503	54525647	Prmt5	145	Distal Intergenic	14	54507187	54517525	10339	-7978	ENSMUSG00000023110	protein arginine N-methyltransferase 5	3.462562801	3.484292836	3.505751225	4.661185224	3.638178125	2.798307708	5.435596153	5.632102412	6.339046501	7.43226628	6.651835271	5.251802395	0.715820106	0.933311569	0.824565837	0.217879358	0.215715181
chr14	55911032	55911153	Sdr39u1	122	Distal Intergenic	14	55897931	55900293	2363	-10739	ENSMUSG00000022223	short chain dehydrogenase/reductase family 39U, member 1	1.176297238	0.980138663	0.106940018	0.665135319	0.19713065	0.895751648	1.13404693	2.701120953	2.396803406	3.865008185	3.874698619	3.241850859	0.7	0.909090909	0.804545455	0.166666667	0.047619048
chr14	65832141	65832280	Esco2	140	Intron (ENSMUST00000022613.9/71988, intron 2 of 10)	14	65831426	65833908	2483	1628	ENSMUSG00000022034	establishment of sister chromatid cohesion N-acetyltransferase 2	7.421593605	7.492510174	6.973565358	7.601748507	7.376325117	7.483017641	7.890476591	6.725045813	7.383894336	7.595123184	4.667466405	5.530551477	0.799679487	0.929941464	0.864810476	0.232931235	0.087416823
chr14	99272058	99272210	Klf5	153	Distal Intergenic	14	99298691	99315036	16346	-26481	ENSMUSG00000005148	Kruppel-like factor 5	0.054898753	0.132943704	0	0	0	0.809280253	5.292573635	3.452173687	3.593580855	6.270779337	5.166759625	4.492340324	0.777777778	0.975609756	0.876693767	0.058823529	0
chr15	76619130	76619236	Slc39a4	107	Promoter (1-2kb)	15	76612391	76617384	4994	-1746	ENSMUSG00000063354	solute carrier family 39 (zinc transporter), member 4	0.228556442	0.320724963	0.151258759	0.044697945	0.049906456	0.378093181	5.431439944	5.681438021	7.614268135	8.58458675	6.509157422	2.461408068	0.674561404	0.928066378	0.801313891	0.173892774	0.057330057
chr15	81576057	81576206	Ep300	150	Distal Intergenic	15	81585397	81652077	66681	-9191	ENSMUSG00000055024	E1A binding protein p300	1.905766779	1.68614191	1.409836236	2.27485502	1.875697509	1.808372693	5.37735362	3.623515741	4.20892298	3.155610007	2.48156503	1.324424681	0.625	1	0.8125	0.147058824	0
chr15	97785676	97785822	Slc48a1	147	Intron (ENSMUST00000230531.1/67739, intron 1 of 2)	15	97784489	97791247	6759	1187	ENSMUSG00000081534	solute carrier family 48 (heme transporter), member 1	3.147769069	3.168064328	2.946088896	1.498358108	2.353537844	2.119366138	1.802555224	1.424196528	0.274031408	0.158788122	0	1.306069712	0.838383838	0.958333333	0.898358586	0.206862745	0.120454546
chr15	98687193	98687326	Rnd1	134	Distal Intergenic	15	98669205	98677461	8257	-9732	ENSMUSG00000054855	Rho family GTPase 1	0.988856255	1.447848933	1.327911511	0.213165592	1.512191483	0.843358407	4.713730101	2.473924552	2.346491749	2.211460824	0.742534887	0.192162596	0.647836539	0.956302521	0.80206953	0.12	0.022289886
chr16	91593993	91594121	Tmem50b	129	Intron (ENSMUST00000023686.14/77975, intron 1 of 6)	16	91575758	91597664	21907	3543	ENSMUSG00000022964	transmembrane protein 50B	3.379052532	3.4425919	3.28551615	4.463596302	3.610723682	3.556552036	6.759353221	6.629965629	7.075265203	7.809118569	2.746061187	2.086168928	0.689357585	0.972098516	0.83072805	0.194839693	0.13290258
chr17	12994590	12994727	Wtap	138	Promoter (<=1kb)	17	12975417	12994169	18753	-421	ENSMUSG00000060475	Wilms tumour 1-associating protein	5.641459326	5.560397037	6.132657036	7.034699937	6.741817505	7.283171717	10.6489477	8.180655119	8.053708714	8.107959813	6.372079742	6.706171354	0.642857143	0.97826087	0.810559006	0.16	0.058823529
chr17	23780453	23780599	Flywch2	147	Promoter (<=1kb)	17	23776959	23779791	2833	-662	ENSMUSG00000023911	FLYWCH family member 2	0	0	0.128504048	0	0	0	1.16840797	3.049163733	3.982035261	3.262245216	0	3.145494865	0.710239651	0.970588235	0.840413943	0.177723178	0.078548086
chr17	25708229	25708375	Gng13	147	Distal Intergenic	17	25717171	25719406	2236	-8796	ENSMUSG00000025739	guanine nucleotide binding protein (G protein), gamma 13	0	0	0	0	0	0	1.428697709	0	0	0.449132398	2.26594691	4.224950935	0.659375	0.964912281	0.81214364	0.152394775	0.176046671
chr17	29412842	29413010	Fgd2	169	Distal Intergenic	17	29376501	29378452	1952	36341	ENSMUSG00000024013	FYVE, RhoGEF and PH domain containing 2	0.130618186	0.122073387	0.064592766	0	0.081806723	0.050304704	0.028077444	0.120019166	0	0.416357682	0	0	0.842105263	1	0.921052632	0.230769231	0.032786885
chr17	46195418	46195564	Polh	147	Exon (ENSMUST00000233924.1/ENSMUST00000233924.1, exon 1 of 1)	17	46172225	46202622	30398	7058	ENSMUSG00000023953	polymerase (DNA directed), eta (RAD 30 related)	1.188533857	1.117429084	0.867279728	0.213619774	0.502020947	0.366493998	2.242596135	3.683382058	3.047477315	2.570686361	1.655567072	0.505684671	1	0.956582633	0.978291317	0.236111111	0.420745921
chr17	83709792	83709938	Mta3	147	Intron (ENSMUST00000112350.7/116871, intron 2 of 13)	17	83706191	83814905	108715	3601	ENSMUSG00000055817	metastasis associated 3	5.336469069	5.595936237	5.600210274	5.237311316	5.864522941	5.320842058	5.714691026	4.971883783	5.236978537	6.493986707	4.263094517	4.324083313	0.708333333	0.979166667	0.84375	0.056267806	0.067857143
chr18	38462422	38462567	Ndfip1	146	Exon (ENSMUST00000238135.1/65113, exon 4 of 4)	18	38451310	38464383	13074	11112	ENSMUSG00000024425	Nedd4 family interacting protein 1	7.787595709	7.860913152	7.293030151	7.858646223	6.066276513	5.269942027	1.831743293	5.223854985	5.686685404	6.253253743	7.67478547	4.976895154	0.896428571	0.912612613	0.904520592	0.205958042	0.231481482
chr18	57960192	57960329	Fbn2	138	Distal Intergenic	18	58025101	58026880	1780	66551	ENSMUSG00000024598	fibrillin 2	0.023080018	0.074962012	0.365364437	0.522161235	0.470847106	0.483202332	0.637027324	0.171655198	0.052770333	0	0	0	0.691669961	0.966438743	0.829054352	0.210811329	0.117775701
chr18	67500445	67500572	Spire1	128	Intron (ENSMUST00000045105.12/68166, intron 10 of 14)	18	67496574	67497729	1156	-2716	ENSMUSG00000024533	spire type actin nucleation factor 1	4.475396222	4.333895967	5.563057431	6.465977729	5.99683387	4.830255324	5.799557486	4.192052099	3.54811599	0.605585359	0.495174266	0.884068022	0.640740741	0.979302359	0.81002155	0.192680776	0.176441103
chr19	23088217	23088362	Klf9	146	Distal Intergenic	19	23141226	23168134	26909	-52864	ENSMUSG00000033863	Kruppel-like factor 9	0	0	0	0	0	0.176062298	4.173670031	1.951363988	2.415980353	2.231767237	2.781407977	4.207939692	1	0.857142857	0.928571429	0.142857143	0.307692308
chr19	23124865	23125000	Klf9	136	Distal Intergenic	19	23141226	23168134	26909	-16226	ENSMUSG00000033863	Kruppel-like factor 9	0	0	0	0	0	0.176062298	4.173670031	1.951363988	2.415980353	2.231767237	2.781407977	4.207939692	0.733333333	0.944444444	0.838888889	0.216216216	0.05
chr19	4123868	4124004	Aip	137	Intron (ENSMUST00000117831.7/11632, intron 1 of 6)	19	4118256	4124564	6309	560	ENSMUSG00000024847	aryl-hydrocarbon receptor-interacting protein	4.696366684	4.934374961	5.575775202	1.895930755	3.35421376	2.995397683	5.915796975	4.860888328	5.424508967	4.183017979	3.274443571	3.52625665	0.734623016	0.966520793	0.850571904	0.225026497	0.048076923
chr19	44393611	44393761	Scd1	151	Downstream (<1kb)	19	44397993	44406690	8698	12929	ENSMUSG00000037071	stearoyl-Coenzyme A desaturase 1	0.156803025	0.107678497	0.178307984	0.152626059	0.073499858	0.244434091	4.470712735	3.489761276	4.092545742	4.049700461	4.698307394	3.334478176	0.781590414	0.969142646	0.87536653	0.09157754	0.022988506
chr2	144323917	144324037	Ovol2	121	Intron (ENSMUST00000103171.9/107586, intron 2 of 3)	2	144317777	144331326	13550	7289	ENSMUSG00000037279	ovo like zinc finger 2	0.449543415	0.204128193	0.434667188	0	0.919909801	0.733687532	5.447622042	4.804993153	4.62743758	5.280087764	1.919481198	0.768075046	1	1	1	0	0.136363636
chr2	150741002	150741147	Entpd6	146	Distal Intergenic	2	150749042	150771675	22634	-7895	ENSMUSG00000033068	ectonucleoside triphosphate diphosphohydrolase 6	6.208169966	6.409805015	6.104500212	6.375181956	6.176129257	5.074543969	3.060094325	3.818329085	2.624484626	2.299921587	4.136708183	1.485194947	0.70699476	0.962942974	0.834968867	0.238966334	0.044301312
chr2	152100770	152100893	Srxn1	124	Distal Intergenic	2	152105516	152109211	3696	-4623	ENSMUSG00000032802	sulfiredoxin 1 homolog (S. cerevisiae)	0	0	0	0	0.038408929	0.076811357	0	1.441435672	1.199562421	0.350304875	0.42139621	2.115625918	0.644321476	0.993939394	0.819130435	0.095968696	0.114045618
chr2	155951204	155951347	Cep250	144	Distal Intergenic	2	155956458	155986613	30156	-5111	ENSMUSG00000038241	centrosomal protein 250	1.600550462	1.846144259	1.274691051	1.146466239	0.862740199	0.561439543	0.372196997	1.136099492	1.812087435	1.426559974	1.752324711	0.602757113	0.857142857	0.972222222	0.91468254	0.162790698	0.269230769
chr2	165997591	165997735	Ncoa3	145	Intron (ENSMUST00000109252.7/17979, intron 1 of 22)	2	165992637	166073242	80606	4954	ENSMUSG00000027678	nuclear receptor coactivator 3	4.281305071	4.341366707	4.640568873	5.153679703	4.926763275	4.763310646	6.6605949	5.011813161	5.156234798	5.250279466	5.248098349	3.448978897	0.845238095	0.975	0.910119048	0.179227941	0.281818182
chr2	27479490	27479632	Brd3	143	Intron (ENSMUST00000154316.7/67382, intron 1 of 11)	2	27445579	27475686	30108	-3804	ENSMUSG00000026918	bromodomain containing 3	2.989600451	3.067501049	2.861167322	3.657822903	3.418820062	2.691949494	4.491506627	3.140572542	5.044210492	5.690087395	4.026720399	3.474150461	0.652173913	0.96	0.806086957	0.222222222	0.042553191
chr2	30089056	30089202	Zdhhc12	147	Intron (ENSMUST00000148650.7/263803, intron 17 of 20)	2	30090944	30093019	2076	3817	ENSMUSG00000015335	zinc finger, DHHC domain containing 12	3.904291405	4.098529043	4.370289848	1.541192663	2.834786038	2.262526368	2.39413942	3.075672958	4.017815038	3.543619608	5.550996062	4.305029326	0.786086957	1	0.893043478	0.091666667	0.223214286
chr2	30156884	30157027	Endog	144	Distal Intergenic	2	30171493	30174069	2577	-14466	ENSMUSG00000015337	endonuclease G	1.320218932	1.468614595	1.170771134	0.134297969	4.01E-09	0.184006013	2.33374001	1.318889467	2.103346564	1.612645019	1.235432977	2.526113895	1	0.933333333	0.966666667	0.186046512	0.216216216
chr2	84728879	84729022	Clp1	144	Promoter (1-2kb)	2	84723122	84727350	4229	-1529	ENSMUSG00000027079	CLP1, cleavage and polyadenylation factor I subunit	3.09490827	2.909022285	1.981439874	0.161828361	1.351159038	3.597233189	8.056133467	6.855017942	6.972979786	5.873975566	5.345126661	4.966961044	0.699731183	0.95320197	0.826466577	0.070485036	0.223684211
chr3	116856948	116857097	Frrs1	150	Distal Intergenic	3	116859464	116903478	44015	-2367	ENSMUSG00000033386	ferric-chelate reductase 1	0.035521862	0.044010329	0.045610716	0.282145602	0.16709069	0.182143079	5.55886233	3.418948209	5.574949191	6.612308262	5.76270227	4.204657214	0.727161319	0.944677871	0.835919595	0.066722038	0.078431373
chr3	145972263	145972403	Syde2	141	Distal Intergenic	3	145987870	146021720	33851	-15467	ENSMUSG00000036863	synapse defective 1, Rho GTPase, homolog 2 (C. elegans)	0.72144091	0.544169809	0.23519154	0.289542946	0.349210129	0.21893984	1.707848701	1.314168649	0.718657533	1.055202597	2.59034572	0.720281968	0.75	0.96875	0.859375	0.21875	0
chr3	40960133	40960280	Larp1b	148	Promoter (1-2kb)	3	40961632	40964035	2404	-1352	ENSMUSG00000025762	La ribonucleoprotein domain family, member 1B	1.625401425	1.8061508	0.814717754	0.427114822	0.825608993	1.012504314	8.182274337	5.074646719	6.016654541	5.250457603	1.300592341	1.752221933	1	0.960784314	0.980392157	0.181818182	0.171428571
chr3	88423719	88423818	Slc25a44	100	Intron (ENSMUST00000168755.6/229517, intron 1 of 2)	3	88410498	88425107	14610	1289	ENSMUSG00000050144	solute carrier family 25, member 44	3.399119129	3.343359495	3.913645804	4.533351538	4.152118504	3.925667181	7.319963432	5.895385031	6.916799065	5.804982831	2.940491908	2.158511536	0.740740741	0.888888889	0.814814815	0.186046512	0.45945946
chr4	10977586	10977730	Plekhf2	145	Distal Intergenic	4	10988662	11007676	19015	29946	ENSMUSG00000049969	pleckstrin homology domain containing, family F (with FYVE domain) member 2	1.735192876	1.119648339	0.298596149	0.158065527	0.271355153	0.802802847	6.245727361	4.294069295	4.496117166	5.331157009	4.46080808	4.693648642	0.648045674	0.966049383	0.807047528	0.111111111	0.046296296
chr4	116554965	116555112	Tmem69	148	Intron (ENSMUST00000106478.8/230657, intron 1 of 4)	4	116552955	116555935	2981	823	ENSMUSG00000055900	transmembrane protein 69	0.952412596	0.265157212	0.264516014	0.069934464	0.058807725	0.197913187	0.808178784	1.640708838	2.173428097	3.251341898	2.754372315	4.864260445	0.804511278	0.827096774	0.815804026	0.164983165	0.115740741
chr4	117736706	117736785	Klf17	80	Distal Intergenic	4	117757836	117765648	7813	28863	ENSMUSG00000048626	Kruppel-like factor 17	6.81422996	7.006926317	7.522738444	9.087340843	8.789122785	8.492217731	9.427269426	7.744342767	8.231864369	6.526264476	1.125174973	0.324659703	0.647058824	0.96	0.803529412	0.189189189	0.27027027
chr4	149447915	149448062	Rbp7	148	Downstream (1-2kb)	4	149449687	149453424	3738	5362	ENSMUSG00000028996	retinol binding protein 7, cellular	0.258492392	0	0.992391396	0.487968882	0.946189608	1.426441893	5.351782845	5.258379473	4.799092488	2.290949246	0	2.592521621	0.683333333	0.940415374	0.811874354	0.124242424	0.006535948
chr4	149743594	149743729	Tmem201	136	Downstream (<1kb)	4	149724864	149738044	13181	-5550	ENSMUSG00000044700	transmembrane protein 201	5.657434218	5.544265899	5.244734868	6.557252308	4.915453975	5.198741654	5.638835928	4.844481066	6.195528711	4.856811441	4.003305392	1.642290305	0.875	0.960526316	0.917763158	0.204081633	0.195652174
chr4	150218508	150218621	Car6	114	Distal Intergenic	4	150187015	150201332	14318	-17176	ENSMUSG00000028972	carbonic anhydrase 6	0	0.090410801	0.093066168	0	0.397617891	0.416236602	0.982251903	0.613218564	0.563835623	0.165560827	0	0.16594023	0.678571429	1	0.839285714	0.121212121	0.034482759
chr4	150293400	150293550	Rere	151	Intron (ENSMUST00000105682.8/68703, intron 1 of 22)	4	150281812	150282466	655	11588	ENSMUSG00000039852	arginine glutamic acid dipeptide (RE) repeats	1.820571118	1.630992495	0.951361004	1.726905311	1.796265489	1.79756089	4.168346208	1.788552083	2.18268912	1.216287227	2.111645663	1.68909784	0.705596909	0.950745157	0.828171033	0.219417819	0.132483701
