name,logpval,time
NFkB-p65-Rel(RHD)/ThioMac-LPS-Expression(GSE23622)/Homer,1,early_2-cell_rep1
YY1(Zf)/Promoter/Homer,1,early_2-cell_rep1
Stat3(Stat)/mES-Stat3-ChIP-Seq(GSE11431)/Homer,1,early_2-cell_rep1
Phox2a(Homeobox)/Neuron-Phox2a-ChIP-Seq(GSE31456)/Homer,1,early_2-cell_rep1
Zfp809(Zf)/ES-Zfp809-ChIP-Seq(GSE70799)/Homer,1,early_2-cell_rep1
Bach1(bZIP)/K562-Bach1-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
PBX1(Homeobox)/MCF7-PBX1-ChIP-Seq(GSE28007)/Homer,1,early_2-cell_rep1
"Brn1(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer",1,early_2-cell_rep1
Hand2(bHLH)/Mesoderm-Hand2-ChIP-Seq(GSE61475)/Homer,1,early_2-cell_rep1
Hoxc9(Homeobox)/Ainv15-Hoxc9-ChIP-Seq(GSE21812)/Homer,1,early_2-cell_rep1
"GFY-Staf(?,Zf)/Promoter/Homer",1,early_2-cell_rep1
PRDM9(Zf)/Testis-DMC1-ChIP-Seq(GSE35498)/Homer,1,early_2-cell_rep1
Nrf2(bZIP)/Lymphoblast-Nrf2-ChIP-Seq(GSE37589)/Homer,1,early_2-cell_rep1
"Oct6(POU,Homeobox)/NPC-Pou3f1-ChIP-Seq(GSE35496)/Homer",1,early_2-cell_rep1
MafK(bZIP)/C2C12-MafK-ChIP-Seq(GSE36030)/Homer,1,early_2-cell_rep1
EBNA1(EBV-virus)/Raji-EBNA1-ChIP-Seq(GSE30709)/Homer,1,early_2-cell_rep1
Tlx?(NR)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer,1,early_2-cell_rep1
Jun-AP1(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
Lhx2(Homeobox)/HFSC-Lhx2-ChIP-Seq(GSE48068)/Homer,1,early_2-cell_rep1
TEAD(TEA)/Fibroblast-PU.1-ChIP-Seq(Unpublished)/Homer,1,early_2-cell_rep1
ZNF143|STAF(Zf)/CUTLL-ZNF143-ChIP-Seq(GSE29600)/Homer,1,early_2-cell_rep1
Phox2b(Homeobox)/CLBGA-PHOX2B-ChIP-Seq(GSE90683)/Homer,1,early_2-cell_rep1
LEF1(HMG)/H1-LEF1-ChIP-Seq(GSE64758)/Homer,1,early_2-cell_rep1
"Oct2(POU,Homeobox)/Bcell-Oct2-ChIP-Seq(GSE21512)/Homer",1,early_2-cell_rep1
ZNF317(Zf)/HEK293-ZNF317.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
Rfx2(HTH)/LoVo-RFX2-ChIP-Seq(GSE49402)/Homer,1,early_2-cell_rep1
Sp5(Zf)/mES-Sp5.Flag-ChIP-Seq(GSE72989)/Homer,1,early_2-cell_rep1
Pbx3(Homeobox)/GM12878-PBX3-ChIP-Seq(GSE32465)/Homer,1,early_2-cell_rep1
"GATA3(Zf),DR8/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer",1,early_2-cell_rep1
"NFkB-p50,p52(RHD)/Monocyte-p50-ChIP-Chip(Schreiber_et_al.)/Homer",1,early_2-cell_rep1
"VDR(NR),DR3/GM10855-VDR+vitD-ChIP-Seq(GSE22484)/Homer",1,early_2-cell_rep1
MYNN(Zf)/HEK293-MYNN.eGFP-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
STAT1(Stat)/HelaS3-STAT1-ChIP-Seq(GSE12782)/Homer,1,early_2-cell_rep1
Elk1(ETS)/Hela-Elk1-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
ETS(ETS)/Promoter/Homer,1,early_2-cell_rep1
ZNF165(Zf)/WHIM12-ZNF165-ChIP-Seq(GSE65937)/Homer,1,early_2-cell_rep1
ZNF528(Zf)/HEK293-ZNF528.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
"Pax7(Paired,Homeobox),longest/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer",1,early_2-cell_rep1
STAT5(Stat)/mCD4+-Stat5-ChIP-Seq(GSE12346)/Homer,1,early_2-cell_rep1
ZNF189(Zf)/HEK293-ZNF189.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
PGR(NR)/EndoStromal-PGR-ChIP-Seq(GSE69539)/Homer,1,early_2-cell_rep1
EWS:FLI1-fusion(ETS)/SK_N_MC-EWS:FLI1-ChIP-Seq(SRA014231)/Homer,1,early_2-cell_rep1
MafA(bZIP)/Islet-MafA-ChIP-Seq(GSE30298)/Homer,1,early_2-cell_rep1
MafF(bZIP)/HepG2-MafF-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
"OCT4-SOX2-TCF-NANOG(POU,Homeobox,HMG)/mES-Oct4-ChIP-Seq(GSE11431)/Homer",1,early_2-cell_rep1
ELF1(ETS)/Jurkat-ELF1-ChIP-Seq(SRA014231)/Homer,1,early_2-cell_rep1
"LXRE(NR),DR4/RAW-LXRb.biotin-ChIP-Seq(GSE21512)/Homer",1,early_2-cell_rep1
Prop1(Homeobox)/GHFT1-PROP1.biotin-ChIP-Seq(GSE77302)/Homer,1,early_2-cell_rep1
COUP-TFII(NR)/K562-NR2F1-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
NFkB-p65(RHD)/GM12787-p65-ChIP-Seq(GSE19485)/Homer,1,early_2-cell_rep1
Zic3(Zf)/mES-Zic3-ChIP-Seq(GSE37889)/Homer,1,early_2-cell_rep1
"Tbox:Smad(T-box,MAD)/ESCd5-Smad2_3-ChIP-Seq(GSE29422)/Homer",1,early_2-cell_rep1
Elk4(ETS)/Hela-Elk4-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
SCRT1(Zf)/HEK293-SCRT1.eGFP-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
GFY(?)/Promoter/Homer,1,early_2-cell_rep1
CArG(MADS)/PUER-Srf-ChIP-Seq(Sullivan_et_al.)/Homer,1,early_2-cell_rep1
SPDEF(ETS)/VCaP-SPDEF-ChIP-Seq(SRA014231)/Homer,1,early_2-cell_rep1
NFE2L2(bZIP)/HepG2-NFE2L2-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer,1,early_2-cell_rep1
RORgt(NR)/EL4-RORgt.Flag-ChIP-Seq(GSE56019)/Homer,1,early_2-cell_rep1
RORgt(NR)/EL4-RORgt.Flag-ChIP-Seq(GSE56019)/Homer,1,early_2-cell_rep1
Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)/Homer,1,early_2-cell_rep1
"GATA:SCL(Zf,bHLH)/Ter119-SCL-ChIP-Seq(GSE18720)/Homer",1,early_2-cell_rep1
NF-E2(bZIP)/K562-NFE2-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
Max(bHLH)/K562-Max-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
Lhx3(Homeobox)/Neuron-Lhx3-ChIP-Seq(GSE31456)/Homer,1,early_2-cell_rep1
"GATA3(Zf),DR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer",1,early_2-cell_rep1
p53(p53)/mES-cMyc-ChIP-Seq(GSE11431)/Homer,1,early_2-cell_rep1
"Pax7(Paired,Homeobox),long/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer",1,early_2-cell_rep1
Bach2(bZIP)/OCILy7-Bach2-ChIP-Seq(GSE44420)/Homer,1,early_2-cell_rep1
THRb(NR)/HepG2-THRb.Flag-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
ZNF416(Zf)/HEK293-ZNF416.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872)/Homer,1,early_2-cell_rep1
TEAD4(TEA)/Tropoblast-Tead4-ChIP-Seq(GSE37350)/Homer,1,early_2-cell_rep1
EBF(EBF)/proBcell-EBF-ChIP-Seq(GSE21978)/Homer,1,early_2-cell_rep1
DMRT6(DM)/Testis-DMRT6-ChIP-Seq(GSE60440)/Homer,1,early_2-cell_rep1
Six4(Homeobox)/MCF7-SIX4-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
"Pax7(Paired,Homeobox)/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer",1,early_2-cell_rep1
Tcf7(HMG)/GM12878-TCF7-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
PBX2(Homeobox)/K562-PBX2-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
TEAD1(TEAD)/HepG2-TEAD1-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
Bcl11a(Zf)/HSPC-BCL11A-ChIP-Seq(GSE104676)/Homer,1,early_2-cell_rep1
Sox2(HMG)/mES-Sox2-ChIP-Seq(GSE11431)/Homer,1,early_2-cell_rep1
"RAR:RXR(NR),DR5/ES-RAR-ChIP-Seq(GSE56893)/Homer",1,early_2-cell_rep1
"Oct4(POU,Homeobox)/mES-Oct4-ChIP-Seq(GSE11431)/Homer",1,early_2-cell_rep1
Unknown-ESC-element(?)/mES-Nanog-ChIP-Seq(GSE11724)/Homer,1,early_2-cell_rep1
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer,1,early_2-cell_rep1
FoxL2(Forkhead)/Ovary-FoxL2-ChIP-Seq(GSE60858)/Homer,1,early_2-cell_rep1
PRDM1(Zf)/Hela-PRDM1-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
ZNF652/HepG2-ZNF652.Flag-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
Smad2(MAD)/ES-SMAD2-ChIP-Seq(GSE29422)/Homer,1,early_2-cell_rep1
Bcl6(Zf)/Liver-Bcl6-ChIP-Seq(GSE31578)/Homer,1,early_2-cell_rep1
GABPA(ETS)/Jurkat-GABPa-ChIP-Seq(GSE17954)/Homer,1,early_2-cell_rep1
Pit1+1bp(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)/Homer,1,early_2-cell_rep1
EAR2(NR)/K562-NR2F6-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
ZFP3(Zf)/HEK293-ZFP3.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
ZNF519(Zf)/HEK293-ZNF519.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
STAT6(Stat)/Macrophage-Stat6-ChIP-Seq(GSE38377)/Homer,1,early_2-cell_rep1
Pit1(Homeobox)/GCrat-Pit1-ChIP-Seq(GSE58009)/Homer,1,early_2-cell_rep1
Nur77(NR)/K562-NR4A1-ChIP-Seq(GSE31363)/Homer,1,early_2-cell_rep1
Hoxa10(Homeobox)/ChickenMSG-Hoxa10.Flag-ChIP-Seq(GSE86088)/Homer,1,early_2-cell_rep1
TEAD2(TEA)/Py2T-Tead2-ChIP-Seq(GSE55709)/Homer,1,early_2-cell_rep1
BATF(bZIP)/Th17-BATF-ChIP-Seq(GSE39756)/Homer,1,early_2-cell_rep1
Stat3+il21(Stat)/CD4-Stat3-ChIP-Seq(GSE19198)/Homer,1,early_2-cell_rep1
Fra1(bZIP)/BT549-Fra1-ChIP-Seq(GSE46166)/Homer,1,early_2-cell_rep1
Fra2(bZIP)/Striatum-Fra2-ChIP-Seq(GSE43429)/Homer,1,early_2-cell_rep1
RORa(NR)/Liver-Rora-ChIP-Seq(GSE101115)/Homer,1,early_2-cell_rep1
HOXA2(Homeobox)/mES-Hoxa2-ChIP-Seq(Donaldson_et_al.)/Homer,1,early_2-cell_rep1
Rfx1(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer,1,early_2-cell_rep1
Mouse_Recombination_Hotspot(Zf)/Testis-DMC1-ChIP-Seq(GSE24438)/Homer,1,early_2-cell_rep1
Tbx20(T-box)/Heart-Tbx20-ChIP-Seq(GSE29636)/Homer,1,early_2-cell_rep1
STAT6(Stat)/CD4-Stat6-ChIP-Seq(GSE22104)/Homer,1,early_2-cell_rep1
DMRT1(DM)/Testis-DMRT1-ChIP-Seq(GSE64892)/Homer,1,early_2-cell_rep1
AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer,1,early_2-cell_rep1
Sox17(HMG)/Endoderm-Sox17-ChIP-Seq(GSE61475)/Homer,1,early_2-cell_rep1
Egr2(Zf)/Thymocytes-Egr2-ChIP-Seq(GSE34254)/Homer,1,early_2-cell_rep1
ISRE(IRF)/ThioMac-LPS-Expression(GSE23622)/Homer,1,early_2-cell_rep1
PU.1:IRF8(ETS:IRF)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer,1,early_2-cell_rep1
GRHL2(CP2)/HBE-GRHL2-ChIP-Seq(GSE46194)/Homer,1,early_2-cell_rep1
"HNF4a(NR),DR1/HepG2-HNF4a-ChIP-Seq(GSE25021)/Homer",1,early_2-cell_rep1
T1ISRE(IRF)/ThioMac-Ifnb-Expression/Homer,1,early_2-cell_rep1
IRF4(IRF)/GM12878-IRF4-ChIP-Seq(GSE32465)/Homer,1,early_2-cell_rep1
E2F3(E2F)/MEF-E2F3-ChIP-Seq(GSE71376)/Homer,1,early_2-cell_rep1
MafB(bZIP)/BMM-Mafb-ChIP-Seq(GSE75722)/Homer,1,early_2-cell_rep1
"ETS:RUNX(ETS,Runt)/Jurkat-RUNX1-ChIP-Seq(GSE17954)/Homer",1,early_2-cell_rep1
Gfi1b(Zf)/HPC7-Gfi1b-ChIP-Seq(GSE22178)/Homer,1,early_2-cell_rep1
Lhx1(Homeobox)/EmbryoCarcinoma-Lhx1-ChIP-Seq(GSE70957)/Homer,1,early_2-cell_rep1
SpiB(ETS)/OCILY3-SPIB-ChIP-Seq(GSE56857)/Homer,1,early_2-cell_rep1
Rfx6(HTH)/Min6b1-Rfx6.HA-ChIP-Seq(GSE62844)/Homer,1,early_2-cell_rep1
Barx1(Homeobox)/Stomach-Barx1.3xFlag-ChIP-Seq(GSE69483)/Homer,1,early_2-cell_rep1
ZNF692(Zf)/HEK293-ZNF692.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer,1,early_2-cell_rep1
E2F6(E2F)/Hela-E2F6-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
"NFAT:AP1(RHD,bZIP)/Jurkat-NFATC1-ChIP-Seq(Jolma_et_al.)/Homer",1,early_2-cell_rep1
IRF1(IRF)/PBMC-IRF1-ChIP-Seq(GSE43036)/Homer,1,early_2-cell_rep1
STAT4(Stat)/CD4-Stat4-ChIP-Seq(GSE22104)/Homer,1,early_2-cell_rep1
"NF1:FOXA1(CTF,Forkhead)/LNCAP-FOXA1-ChIP-Seq(GSE27824)/Homer",1,early_2-cell_rep1
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer,1,early_2-cell_rep1
X-box(HTH)/NPC-H3K4me1-ChIP-Seq(GSE16256)/Homer,1,early_2-cell_rep1
ELF3(ETS)/PDAC-ELF3-ChIP-Seq(GSE64557)/Homer,1,early_2-cell_rep1
"TR4(NR),DR1/Hela-TR4-ChIP-Seq(GSE24685)/Homer",1,early_2-cell_rep1
PRDM14(Zf)/H1-PRDM14-ChIP-Seq(GSE22767)/Homer,1,early_2-cell_rep1
ZSCAN22(Zf)/HEK293-ZSCAN22.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
IRF8(IRF)/BMDM-IRF8-ChIP-Seq(GSE77884)/Homer,1,early_2-cell_rep1
"GRE(NR),IR3/RAW264.7-GRE-ChIP-Seq(Unpublished)/Homer",1,early_2-cell_rep1
Srebp1a(bHLH)/HepG2-Srebp1a-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
Srebp2(bHLH)/HepG2-Srebp2-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
Elf4(ETS)/BMDM-Elf4-ChIP-Seq(GSE88699)/Homer,1,early_2-cell_rep1
"OCT:OCT(POU,Homeobox)/NPC-Brn1-ChIP-Seq(GSE35496)/Homer",1,early_2-cell_rep1
Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)/Homer,1,early_2-cell_rep1
Fli1(ETS)/CD8-FLI-ChIP-Seq(GSE20898)/Homer,1,early_2-cell_rep1
Tbet(T-box)/CD8-Tbet-ChIP-Seq(GSE33802)/Homer,1,early_2-cell_rep1
Zic(Zf)/Cerebellum-ZIC1.2-ChIP-Seq(GSE60731)/Homer,1,early_2-cell_rep1
Znf263(Zf)/K562-Znf263-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
p73(p53)/Trachea-p73-ChIP-Seq(PRJNA310161)/Homer,1,early_2-cell_rep1
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer,1,early_2-cell_rep1
Nkx2.2(Homeobox)/NPC-Nkx2.2-ChIP-Seq(GSE61673)/Homer,1,early_2-cell_rep1
MyoD(bHLH)/Myotube-MyoD-ChIP-Seq(GSE21614)/Homer,1,early_2-cell_rep1
Pitx1(Homeobox)/Chicken-Pitx1-ChIP-Seq(GSE38910)/Homer,1,early_2-cell_rep1
IRF:BATF(IRF:bZIP)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer,1,early_2-cell_rep1
"Reverb(NR),DR2/RAW-Reverba.biotin-ChIP-Seq(GSE45914)/Homer",1,early_2-cell_rep1
HRE(HSF)/HepG2-HSF1-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
HNF6(Homeobox)/Liver-Hnf6-ChIP-Seq(ERP000394)/Homer,1,early_2-cell_rep1
TFE3(bHLH)/MEF-TFE3-ChIP-Seq(GSE75757)/Homer,1,early_2-cell_rep1
c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)/Homer,1,early_2-cell_rep1
ZNF7(Zf)/HepG2-ZNF7.Flag-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
JunB(bZIP)/DendriticCells-Junb-ChIP-Seq(GSE36099)/Homer,1,early_2-cell_rep1
HOXA1(Homeobox)/mES-Hoxa1-ChIP-Seq(SRP084292)/Homer,1,early_2-cell_rep1
"Oct4:Sox17(POU,Homeobox,HMG)/F9-Sox17-ChIP-Seq(GSE44553)/Homer",1,early_2-cell_rep1
Dlx3(Homeobox)/Kerainocytes-Dlx3-ChIP-Seq(GSE89884)/Homer,1,early_2-cell_rep1
TCFL2(HMG)/K562-TCF7L2-ChIP-Seq(GSE29196)/Homer,1,early_2-cell_rep1
ZKSCAN1(Zf)/HepG2-ZKSCAN1-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
"OCT:OCT(POU,Homeobox,IR1)/NPC-Brn2-ChIP-Seq(GSE35496)/Homer",1,early_2-cell_rep1
"PPARE(NR),DR1/3T3L1-Pparg-ChIP-Seq(GSE13511)/Homer",1,early_2-cell_rep1
Six1(Homeobox)/Myoblast-Six1-ChIP-Chip(GSE20150)/Homer,1,early_2-cell_rep1
EBF2(EBF)/BrownAdipose-EBF2-ChIP-Seq(GSE97114)/Homer,1,early_2-cell_rep1
Chop(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer,1,early_2-cell_rep1
ZBTB12(Zf)/HEK293-ZBTB12.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
PRDM15(Zf)/ESC-Prdm15-ChIP-Seq(GSE73694)/Homer,1,early_2-cell_rep1
Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)/Homer,1,early_2-cell_rep1
GLI3(Zf)/Limb-GLI3-ChIP-Chip(GSE11077)/Homer,1,early_2-cell_rep1
ZNF136(Zf)/HEK293-ZNF136.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
FOXA1(Forkhead)/MCF7-FOXA1-ChIP-Seq(GSE26831)/Homer,1,early_2-cell_rep1
Sox9(HMG)/Limb-SOX9-ChIP-Seq(GSE73225)/Homer,1,early_2-cell_rep1
IRF2(IRF)/Erythroblas-IRF2-ChIP-Seq(GSE36985)/Homer,1,early_2-cell_rep1
Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
ELF5(ETS)/T47D-ELF5-ChIP-Seq(GSE30407)/Homer,1,early_2-cell_rep1
c-Jun-CRE(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
HLF(bZIP)/HSC-HLF.Flag-ChIP-Seq(GSE69817)/Homer,1,early_2-cell_rep1
ZNF669(Zf)/HEK293-ZNF669.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
Atf7(bZIP)/3T3L1-Atf7-ChIP-Seq(GSE56872)/Homer,1,early_2-cell_rep1
RORg(NR)/Liver-Rorc-ChIP-Seq(GSE101115)/Homer,1,early_2-cell_rep1
