chr	start	end	EPI_E65_Nanog
chrX	94183423	94183930	18.395743247790215
chrX	94212734	94213572	16.439420053668695
chrX	94234560	94234890	11.777978044567686
chrX	94366279	94367270	16.719678871085495
chrX	94540674	94541057	11.663405814307788
chrX	94542148	94542538	19.179162986461932
chrX	95444404	95444823	11.140531608199163
chrX	95711700	95711980	14.519573041370936
chrX	95881422	95881676	10.80728818112471
chrX	95967867	95968751	13.9706758201392
chrX	98150576	98151249	10.223641715822035
chrX	98890311	98890813	13.504660412609814
chrX	98937698	98937952	12.696844543997697
chrX	99042581	99042843	14.71585202399101
chrX	99136020	99136388	19.658152787581734
chrX	99152593	99153466	21.76243091093852
chrX	99186430	99186926	13.149719407481532
chrX	99285551	99285986	17.924252757806887
chrX	99456494	99456776	20.82787486001955
chrX	99470452	99470716	16.430973175800208
chrX	99522044	99522939	20.09634346882058
chrX	99556511	99557526	16.56639052658833
chrX	99567548	99568441	14.001077946196212
chrX	99819639	99819993	16.36608230192109
chrX	99975408	99975848	14.541546472636137
chrX	100493785	100494246	14.365859923290326
chrX	100767394	100767633	9.967535329164322
chrX	100776742	100777046	23.02107504794472
chrX	101222279	101222531	19.157205328108773
chrX	101253871	101254547	14.467409636141985
chrX	101260445	101261280	23.369509177293605
chrX	101273578	101274228	26.06681965020987
chrX	101329588	101329839	14.906221560747975
chrX	101332401	101333092	22.410026710388802
chrX	101396280	101396836	18.149385728424402
chrX	101419594	101420199	14.904247614962996
chrX	101429110	101430033	17.419118581587934
chrX	101532542	101533067	17.986718441191172
chrX	101637069	101637306	15.35348742923656
chrX	101692925	101693597	19.618618420192174
chrX	102157139	102157431	17.632161013067584
chrX	102251935	102252269	14.979988480756383
chrX	103026087	103026669	16.91516287466095
chrX	103481769	103482111	13.395247660185161
chrX	103509579	103509837	17.32607017931088
chrX	103533227	103533988	15.479131286310304
chrX	103617068	103617411	19.560852164777305
chrX	103636606	103636972	17.188622776927843
chrX	103652705	103653182	12.099657092704213
chrX	103987183	103987817	21.050037047088335
chrX	104115110	104115416	10.332910830678504
chrX	104413588	104413878	16.340087713044266
chrX	104482825	104483095	13.662866610067862
chrX	105079419	105079973	15.051633151429655
chrX	105391943	105392362	11.83216559403267
chrX	105929088	105929341	13.546726000638818
chrX	106026758	106027049	8.513117269142386
chrX	106485282	106485827	15.023877695066119
chrX	106602410	106602894	13.664334287328169
chrX	106894132	106894373	15.518405296990485
chrX	106917352	106917730	18.427765432488982
chrX	106987774	106988103	20.612850548648545
chrX	107456595	107457709	26.586655489204173
chrX	109113678	109114314	26.2615036154693
chrX	111463219	111463476	12.536798662712602
chrX	111696601	111697039	10.771886142965865
chrX	112311351	112311628	14.756448842127831
chrX	112370828	112371209	27.963031268182387
chrX	118595989	118596408	16.6245750550154
chrX	121232309	121232877	15.900571156555499
chrX	123103263	123103783	16.003598042634817
chrX	126655902	126656271	11.444242526522174
chrX	127091163	127091426	14.119071318622778
chrX	128576438	128576987	12.377625132736178
chrX	128673285	128673592	13.82236587574117
chrX	129413473	129413760	16.791808191492166
chrX	130188974	130189782	20.670237004166783
chrX	133688726	133689039	16.398157174594868
chrX	134276691	134277080	12.130719273133266
chrX	134686334	134686941	11.833990561314037
chrX	134717974	134718224	9.960995399475097
chrX	135008860	135009283	9.8160460784362
chrX	135069514	135069911	25.644367830579167
chrX	135742241	135742873	20.890400457985795
chrX	135885509	135885859	15.533902988433837
chrX	136115587	136115877	15.212260344932819
chrX	136172208	136172449	21.975747045144995
chrX	136181249	136181582	13.775563257234591
chrX	136203369	136203808	11.338160619105729
chrX	136244767	136245053	27.126773180661502
chrX	136741311	136742021	35.08892608964947
chrX	137037631	137038364	24.087479789130196
chrX	137118191	137118592	21.388215386064868
chrX	139442163	139442500	12.424860243981245
chrX	139610117	139610452	17.56905143225371
chrX	139684434	139684741	16.029858713429604
chrX	139782465	139783026	14.614362840771463
chrX	140600563	140600949	15.003401741462667
chrX	140956435	140957011	12.94495020310084
chrX	141190901	141191256	12.50191341991156
chrX	141725339	141725954	20.102462373128752
chrX	141855453	141855909	21.155391674292716
chrX	142227957	142228344	13.634043959684151
chrX	142390645	142390925	16.43468955584935
chrX	142467734	142468401	16.01850242271595
chrX	142624742	142625201	15.12942450654273
chrX	142817293	142817849	18.139816215570026
chrX	142934483	142934917	10.270028272532098
chrX	143664232	143664763	9.965327552931907
chrX	147241969	147242228	11.876144851036514
chrX	150458776	150459175	17.353048728522204
chrX	150588251	150588494	16.86810239156087
chrX	150812896	150813726	18.302381497118848
chrX	151016955	151017590	14.822992429958553
chrX	151168571	151169705	12.350240522381279
chrX	151653669	151654260	15.449077252809166
chrX	151715856	151716471	22.569818369547527
chrX	151792611	151792934	18.480777994397993
chrX	152016278	152016830	14.887079625889875
chrX	152232935	152233439	22.29473252712734
chrX	152336414	152336949	15.05304689496477
chrX	152342486	152342976	13.118244476707615
chrX	152544827	152545137	8.889362313670496
chrX	152769496	152769801	16.282119369506837
chrX	153037564	153037945	19.314785636941906
chrX	153118996	153119286	16.295481412164097
chrX	153359220	153359455	15.018080893983232
chrX	156303909	156304161	18.61994215041872
chrX	157492146	157492439	11.783015189317306
chrX	157817239	157817578	16.302698872434004
chrX	159254757	159255656	12.421941023647321
chrX	159626605	159627072	21.968208513116938
chrX	160047097	160047665	18.56539357212228
chrX	160502115	160502621	13.421981308300033
chrX	160611379	160611766	11.908418063969576
chrX	160773344	160773654	11.006811132738667
chrX	160994411	160995223	25.100255450591664
chrX	161053746	161054356	12.575050729220031
chrX	161284292	161284549	13.036965496345253
chrX	161926275	161926724	15.219047053619589
chrX	162009827	162010252	11.05484935872695
chrX	162756107	162756672	20.500214693187612
chrX	162759395	162760232	17.990291890562506
chrX	162829326	162829593	19.060916704185
chrX	162832198	162832565	22.629813308611876
chrX	162901572	162901832	13.79342143719013
chrX	163908465	163909087	17.200627415893162
chrX	163958268	163958660	16.081548301541076
chrX	164065594	164066308	15.208016835007014
chrX	164076175	164076578	21.5651768218199
chrX	164381652	164382219	21.68485762749189
chrX	164419410	164419838	17.45324694330447
chrX	166510273	166510558	18.139968406944945
chrX	167207178	167207542	32.79624036380223
chrX	169759642	169760055	10.81802145793998
chrX	169879515	169879896	13.15800730637678
chr18	3004234	3004918	22.587111630634954
chr18	3006311	3006668	13.904093170700287
chr18	3009491	3010398	24.793312549065334
chr18	3337364	3338163	20.523231157820874
chr18	3382936	3383248	19.086025109657875
chr18	3507268	3507970	18.563523071104306
chr18	3638870	3639238	34.39502049350868
chr18	3856408	3856643	13.522739597077065
chr18	4375579	4375827	15.702980079958516
chr18	4920221	4921124	18.103110426420127
chr18	4993500	4994176	22.998434535145055
chr18	5162009	5162632	14.982743619915762
chr18	5334237	5334916	30.258754082737333
chr18	5591903	5592149	20.536561341789678
chr18	5989751	5990177	26.262589074076622
chr18	6135744	6136639	28.15375607027022
chr18	6275504	6276292	22.43133640168282
chr18	6516184	6516562	22.947201128359193
chr18	6764865	6765462	19.75684212280478
chr18	7004362	7005144	25.560314461398306
chr18	7180918	7181327	9.320767569367051
chr18	7297682	7297997	13.971140428573365
chr18	7626368	7627144	20.347399922990306
chr18	8470306	8471176	26.993041542754778
chr18	8871942	8872238	11.360366618311083
chr18	8966660	8967001	19.298624144970848
chr18	9211005	9211418	27.17397307425954
chr18	9211868	9212395	31.843293332963107
chr18	9450082	9450652	17.124475991098503
chr18	9554795	9555132	15.952582747009458
chr18	9674674	9675006	11.67494826431734
chr18	9707590	9707899	16.0319617620178
chr18	9957616	9958287	16.42063495618931
chr18	10181835	10182371	16.923654773342076
chr18	10311185	10311525	12.225740622071658
chr18	10324912	10325186	11.275950038520088
chr18	10340729	10341038	14.808584923111505
chr18	10461060	10461600	23.902974941112376
chr18	10609780	10610501	18.959420169772123
chr18	10706240	10706888	14.68992680531961
chr18	10882842	10883474	13.896846907048285
chr18	11052147	11052862	43.19647147705505
chr18	11097062	11097471	14.96122086485324
chr18	11239828	11240061	14.076257112200167
chr18	11351927	11352250	23.246990321959505
chr18	11396159	11396402	9.787808820543956
chr18	11883368	11883722	23.291103309157204
chr18	11884178	11884605	19.239782232869704
chr18	12128389	12128958	22.060462666731098
chr18	12168730	12168980	12.930441284179688
chr18	12234619	12234896	29.101028111867524
chr18	12236169	12237078	27.020613759526587
chr18	12741132	12741708	12.04304469625155
chr18	12941105	12942053	15.1665356591784
chr18	12949211	12949585	32.13083039248053
chr18	12973487	12973867	14.793923483396831
chr18	13064872	13065143	12.254015581194325
chr18	13357328	13357778	13.658930210537381
chr18	13972356	13972642	19.20947205270087
chr18	14063284	14063559	16.047559023770418
chr18	14502923	14503233	14.517909846767303
chr18	14682826	14683297	16.376621546006252
chr18	15063364	15064677	28.76138387739613
chr18	15076275	15077052	16.407516942214475
chr18	15149766	15150477	22.731749214032867
chr18	15150776	15151257	20.077983168207435
chr18	15215672	15216299	32.985398430953566
chr18	15312484	15313267	16.121505130753206
chr18	15759962	15760516	13.207773218946766
chr18	15814301	15814777	13.39543275272145
chr18	16037857	16038613	21.016481737611155
chr18	16358045	16358504	21.156318091099557
chr18	16614601	16614952	14.187270645402435
chr18	16808198	16808913	19.872759361533852
chr18	16809418	16809694	16.98704230958137
chr18	16899355	16899851	16.764178162620915
chr18	17565532	17565811	7.897842244862655
chr18	17612374	17612881	18.889311903327176
chr18	18943785	18944244	14.3439389085458
chr18	18947161	18947679	20.482237051812838
chr18	19831136	19831383	16.67807286760585
chr18	20042449	20043234	25.13415550426313
chr18	20059261	20059619	18.4629312813615
chr18	20741089	20741363	14.18514899789852
chr18	20896432	20896801	15.074156262364168
chr18	20944272	20944538	17.854415370109386
chr18	20961350	20961609	9.153795669437836
chr18	21001271	21002135	19.382432689269383
chr18	21044806	21045134	17.116122818574674
chr18	21300117	21300676	35.377380748127784
chr18	21636500	21636944	17.213164595870285
chr18	21652744	21653106	15.210175256044167
chr18	21709478	21709846	15.253603870454041
chr18	22343450	22343736	17.946218590636352
chr18	22649480	22649782	15.660585700281409
chr18	23039557	23040014	15.663306839356537
chr18	23041584	23042084	20.93817685508728
chr18	23310468	23310732	8.591476857662201
chr18	23803543	23804410	18.981116071566852
chr18	24020154	24021145	16.11947836332196
chr18	24070009	24070895	27.63447769931423
chr18	24121293	24122153	22.88209037891654
chr18	24326651	24326938	18.376625984803308
chr18	24402042	24403102	31.96514284565764
chr18	24459402	24459651	13.837691908380593
chr18	24603848	24604121	17.85909545814598
chr18	24714253	24714869	10.232475404615526
chr18	24868422	24868800	9.574078773064588
chr18	24912700	24913111	19.189302370205993
chr18	25116096	25116526	13.897988672034685
chr18	25168607	25169258	21.734157549071423
chr18	25486646	25486930	13.522301761197372
chr18	25567160	25567409	17.827083514876154
chr18	25621565	25621970	10.977235117076356
chr18	25679135	25679447	13.517938702534407
chr18	27291921	27292281	19.63016544977824
chr18	27626724	27627003	11.542780100231102
chr18	27660376	27660624	10.332688504649747
chr18	28504542	28505151	18.609428127019473
chr18	28522509	28522994	14.517523055715658
chr18	29579328	29579639	15.464183276872543
chr18	30121489	30122093	16.70452388232907
chr18	30269300	30269719	8.105347615153237
chr18	30272513	30273104	13.10416943248355
chr18	30375158	30375509	11.17082807481119
chr18	31221876	31222113	12.619126999931497
chr18	31568510	31568764	12.51119780352735
chr18	31609480	31609902	10.181759480616492
chr18	31633976	31635239	19.50735606679063
chr18	31759536	31760075	16.24664592035184
chr18	31788905	31789388	17.72245756982523
chr18	31803686	31804277	14.052678232467315
chr18	32067440	32068018	12.077707427595726
chr18	32162896	32163152	20.272141456604004
chr18	32240015	32240535	10.692470667453913
chr18	32376801	32377830	12.789979734504188
chr18	33213622	33214130	16.631691399521713
chr18	33463559	33464500	24.85290350189371
chr18	33470390	33471616	15.57830166311093
chr18	33787782	33788167	10.565610912867955
chr18	34006229	34007431	16.562643958804216
chr18	34025328	34025674	15.33097853412518
chr18	34031812	34032252	10.996043437177486
chr18	34092751	34093526	30.641448435629567
chr18	34102714	34103260	12.795298877653185
chr18	34107499	34107735	18.24505268517187
chr18	34220557	34220843	13.355942242629045
chr18	34247364	34247904	16.444746202892727
chr18	34313887	34314425	20.80800883388874
chr18	34330751	34331419	15.997928336708846
chr18	34373625	34374034	16.00264827196639
chr18	34409420	34409852	11.493718611973303
chr18	34506522	34507689	15.04411031368357
chr18	34541579	34542298	15.824787401191383
chr18	34549059	34549393	23.670107396062978
chr18	34551774	34552055	27.428102011358188
chr18	34561437	34561913	19.389258254475955
chr18	34578882	34579237	16.617810249328613
chr18	34624148	34624945	36.86256099734432
chr18	34651238	34652019	14.577289362723025
chr18	34751193	34751874	16.175043216710925
chr18	34758894	34759925	15.280886685235425
chr18	34776881	34777231	16.153254855019707
chr18	34840661	34841106	13.458582134461135
chr18	34860201	34861533	38.096918935890315
chr18	34931811	34932091	19.216374932016645
chr18	34954326	34954897	32.99411959739992
chr18	35022066	35022387	14.03699714743831
chr18	35118488	35119104	21.781202714164536
chr18	35296443	35296854	13.753961361237685
chr18	35553004	35553239	14.584355853466278
chr18	35598678	35599154	19.75358632231961
chr18	35661801	35662219	21.590136441317473
chr18	35671109	35671742	20.006654920171222
chr18	35675836	35676159	21.702205542809455
chr18	35702867	35703255	18.838913843803798
chr18	35730030	35730416	11.188506453766106
chr18	35751981	35752239	16.701063998909884
chr18	35757474	35758301	51.16068757690282
chr18	35771362	35771715	19.013201932393795
chr18	35814759	35815280	25.672527477974626
chr18	35822906	35823147	20.31880607446694
chr18	35831081	35831741	33.97982978820801
chr18	35848136	35848627	13.574851824649725
chr18	35849323	35849790	14.505404074135889
chr18	35873840	35874302	25.482192328481965
chr18	35874556	35875378	22.66109421073375
chr18	35887826	35888563	27.33771484354296
chr18	35889208	35889966	17.015471715096748
chr18	35918766	35919240	20.461145050918
chr18	35919713	35920333	20.63593907971536
chr18	35930360	35930901	19.698630287114
chr18	35939676	35939916	18.270570516586304
chr18	35959074	35959507	15.814788302978798
chr18	36068966	36069505	21.024825807405094
chr18	36197099	36197784	18.874318917824404
chr18	36242490	36242829	11.90954390669291
chr18	36274387	36274636	15.969845488368268
chr18	36274905	36275319	24.903656266161786
chr18	36281937	36282343	27.78300115745056
chr18	36284674	36284938	34.6885789307681
chr18	36286438	36286975	28.79141035204271
chr18	36328335	36329084	21.84251342819275
chr18	36348395	36349029	16.5991312381973
chr18	36454235	36454828	16.931022655300506
chr18	36515758	36516037	13.066739601900927
chr18	36541260	36541670	12.141984602300132
chr18	36559576	36560565	42.43285378937292
chr18	36679220	36679812	13.991688660673193
chr18	36730373	36730898	27.825421447753907
chr18	36735061	36735351	19.4690814478644
chr18	36766085	36766592	12.553874138074043
chr18	37143579	37144294	11.54643562890433
chr18	37178101	37178886	18.12779490719935
chr18	37217994	37218335	20.67930863400009
chr18	37685222	37685464	17.47838831341956
chr18	37707037	37707278	12.460183642217233
chr18	37725717	37726122	21.152572288042233
chr18	37730902	37731157	25.52082026612525
chr18	37736633	37737150	19.45669511946304
chr18	37741988	37742316	35.17141454975779
chr18	37755788	37756356	27.416893149765446
chr18	37766111	37766346	20.381200904034554
chr18	37771702	37771986	16.72010111137175
chr18	37806030	37806788	32.73046548385419
chr18	37813984	37815651	42.021734719370826
chr18	37822295	37822895	35.45726461410523
chr18	37826295	37826668	29.802586982461147
chr18	37835523	37836480	30.895853152220276
chr18	37840458	37841378	31.740731637374214
chr18	37935150	37935680	23.78710173660854
chr18	37954791	37955060	18.97010079990089
chr18	37969532	37970179	15.219322795661562
chr18	38013923	38014597	25.171343370431963
chr18	38068126	38068385	14.234330114710746
chr18	38077381	38077619	17.77215559342328
chr18	38095540	38096019	17.279741183701038
chr18	38097735	38097978	15.534672540892299
chr18	38144840	38145112	34.977042604895196
chr18	38148592	38149187	33.144848357128495
chr18	38174314	38175600	23.699683429664624
chr18	38208064	38208359	17.963368638895325
chr18	38216911	38217661	23.58713317235311
chr18	38250142	38250888	31.428837338976823
chr18	38296612	38297151	29.575025958342543
chr18	38338104	38338905	12.286607696471291
chr18	38349945	38350358	12.604441243280222
chr18	38378669	38379287	20.195635375853108
chr18	38379996	38380406	18.97453056661094
chr18	38384133	38384719	18.02367862987844
chr18	38418877	38419204	20.883140648541467
chr18	38483700	38484024	14.860131849477321
chr18	38573649	38574239	30.87833633746131
chr18	38601070	38602002	28.05944914060601
chr18	38631514	38632274	26.54641672184593
chr18	38662507	38663123	17.06564653229404
chr18	38678802	38679725	17.021921068978852
chr18	38742284	38742960	15.436182221012002
chr18	38804163	38804563	11.146791169643402
chr18	38890442	38890850	15.288690125240999
chr18	38992566	38993394	19.359814828144756
chr18	39491086	39491890	16.786474968070415
chr18	39992355	39992943	14.090751000002127
chr18	40295179	40295419	10.56618778705597
chr18	40308014	40308485	621.4344537890894
chr18	40344582	40344858	9.408458733904189
chr18	41951001	41951285	16.862057477655544
chr18	42065271	42065541	15.448905213673909
chr18	42261909	42262550	18.13488249696919
chr18	42275140	42275593	14.933554504091376
chr18	42394328	42394713	22.816421429522627
chr18	42416773	42417129	13.53720577915063
chr18	42467226	42467941	18.721730456318888
chr18	42511089	42511523	31.87917453792238
chr18	42740473	42741460	22.826882947904362
chr18	42821246	42821895	18.6168656797365
chr18	43152471	43152932	14.365858818600339
chr18	43248234	43248508	11.570205524890092
chr18	43392837	43393621	16.161097473027755
chr18	43687523	43688102	13.073616854679193
chr18	44041606	44041976	15.107427965628133
chr18	44380207	44380727	11.922615164976854
chr18	44644067	44644313	14.201219543208921
chr18	44660700	44661389	11.35731954256232
chr18	44811880	44812152	12.379533297875348
chr18	44828525	44828975	14.113604386647543
chr18	44869710	44870293	13.456201818345138
chr18	44946831	44947520	15.218886621804646
chr18	45558231	45558989	15.718010419276899
chr18	46197814	46199251	19.96438898273699
chr18	46311517	46312013	12.870618414494299
chr18	46465233	46465544	18.12266655826875
chr18	46525658	46526160	28.43967753292555
chr18	46529369	46530057	21.050646395184273
chr18	46597166	46597927	14.971380115965193
chr18	46742836	46743252	14.471754415677143
chr18	46958837	46959391	20.212549089094363
chr18	47040579	47040814	20.895826120579496
chr18	47326995	47327464	14.764658088114723
chr18	47368913	47369376	35.45806038199439
chr18	47369871	47370573	28.933658029279137
chr18	47432830	47433705	51.61740952627999
chr18	47461499	47461781	16.337017201362773
chr18	47474919	47475726	26.02204164341923
chr18	47492641	47493812	55.18702751179214
chr18	47495785	47496045	29.941867131453293
chr18	47536967	47537471	18.60031082895067
chr18	47569395	47570106	52.63745672759795
chr18	47703512	47704461	42.600771708031225
chr18	47789645	47789974	16.442188349900636
chr18	49559346	49559713	13.78223554574826
chr18	49755240	49756031	22.80879892139459
chr18	49832242	49833009	14.842375893325507
chr18	49979296	49979656	21.476763738526238
chr18	51879547	51879781	12.30959106918074
chr18	53176351	53176631	15.42415177822113
chr18	53417409	53417769	10.11615207725101
chr18	53469273	53469648	40.64921745808919
chr18	53639058	53639366	12.955125511466683
chr18	53649696	53649945	16.993163016905267
chr18	53744688	53745425	34.19563151117581
chr18	54551907	54552369	18.378202335142987
chr18	54576544	54577039	14.663710702067673
chr18	54747895	54748217	13.440654902724745
chr18	54760466	54760826	14.426303945647346
chr18	54827752	54828944	34.327153538697516
chr18	54846887	54847144	13.537155492760329
chr18	54902207	54902813	22.02515772703064
chr18	54911085	54911527	22.601581972648656
chr18	54952352	54952884	16.131582640167466
chr18	54962955	54963631	30.09373950958252
chr18	54982773	54983129	29.935271134537256
chr18	54990440	54991165	37.763164651804956
chr18	54992240	54992493	21.261118146270633
chr18	55014598	55015912	13.5191271526447
chr18	55126968	55127426	15.506216299065336
chr18	55133654	55134059	17.42086114294735
chr18	55190302	55190561	19.129888298888925
chr18	55197066	55197674	13.214415776102166
chr18	55426934	55427473	12.124655836809543
chr18	55539581	55539923	17.231669465003655
chr18	55546232	55546547	22.719417254130047
chr18	55548677	55549623	16.979533969725917
chr18	55573974	55574301	4.940498420587009
chr18	55769878	55770556	18.74273196504531
chr18	55815933	55816712	12.529131290695327
chr18	55985616	55986286	11.280917664428255
chr18	56431445	56432406	24.06340208956652
chr18	56446732	56447325	15.298207072343232
chr18	56510668	56511405	34.249276685261826
chr18	56561950	56562627	27.99889691013353
chr18	56611911	56612154	21.90441587628651
chr18	56620713	56620959	8.920205397334525
chr18	56651871	56652487	11.84878666989215
